VARIABLES = "y","u'u'_nok","v'v'_nok","w'w'_nok"
ZONE T="SA, X=0.97008"
 4.066125676E-02 -3.533878745E-10 3.486815559E-10 4.706306525E-12
 4.192052409E-02 -3.538035420E-10 3.490909506E-10 4.712611378E-12
 4.321879148E-02 -3.541952009E-10 3.494765310E-10 4.718643878E-12
 4.455726221E-02 -3.545627125E-10 3.498381029E-10 4.724639083E-12
 4.593718797E-02 -3.549075200E-10 3.501771373E-10 4.730397931E-12
 4.735985026E-02 -3.552306505E-10 3.504945500E-10 4.736090426E-12
 4.882656783E-02 -3.555341022E-10 3.507925617E-10 4.741542228E-12
 5.033871159E-02 -3.558190687E-10 3.510720603E-10 4.746997934E-12
 5.189768597E-02 -3.560876038E-10 3.513354330E-10 4.752166976E-12
 5.350494012E-02 -3.563406792E-10 3.515832070E-10 4.757459184E-12
 5.516197160E-02 -3.565786832E-10 3.518163261E-10 4.762377992E-12
 5.687032267E-02 -3.568066675E-10 3.520392589E-10 4.767384404E-12
 5.863158032E-02 -3.570214957E-10 3.522493963E-10 4.772098081E-12
 6.044737995E-02 -3.572261653E-10 3.524492642E-10 4.776911072E-12
 6.231941655E-02 -3.574222585E-10 3.526407777E-10 4.781472961E-12
 6.424943358E-02 -3.576107743E-10 3.528246584E-10 4.786125055E-12
 6.623921543E-02 -3.577928509E-10 3.530023496E-10 4.790538192E-12
 6.829062104E-02 -3.579698205E-10 3.531749615E-10 4.794848112E-12
 7.040556520E-02 -3.581420993E-10 3.533430215E-10 4.799088644E-12
 7.258599997E-02 -3.583112695E-10 3.535080007E-10 4.803268460E-12
 7.483396679E-02 -3.584781638E-10 3.536707871E-10 4.807369780E-12
 7.715155184E-02 -3.586433373E-10 3.538319360E-10 4.811388701E-12
 7.954090834E-02 -3.588078168E-10 3.539925575E-10 4.815299635E-12
 8.200427145E-02 -3.589722131E-10 3.541530957E-10 4.819145517E-12
 8.454391360E-02 -3.591366649E-10 3.543137728E-10 4.822896423E-12
 8.716221154E-02 -3.593018383E-10 3.544751992E-10 4.826614802E-12
 8.986160159E-02 -3.594680942E-10 3.546378191E-10 4.830240374E-12
 9.264458716E-02 -3.596356546E-10 3.548018268E-10 4.833820410E-12
 9.551376104E-02 -3.598047138E-10 3.549674166E-10 4.837318480E-12
 9.847179055E-02 -3.599756604E-10 3.551349215E-10 4.840740656E-12
 1.015214324E-01 -3.601481335E-10 3.553040362E-10 4.844106453E-12
 1.046655178E-01 -3.603227716E-10 3.554753714E-10 4.847397223E-12
 1.079069749E-01 -3.604996024E-10 3.556489270E-10 4.850679320E-12
 1.112488210E-01 -3.606780152E-10 3.558241202E-10 4.853867308E-12
 1.146941632E-01 -3.608590649E-10 3.560020612E-10 4.857035347E-12
 1.182462052E-01 -3.610416965E-10 3.561816120E-10 4.860095833E-12
 1.219082549E-01 -3.612258825E-10 3.563627171E-10 4.863167594E-12
 1.256837100E-01 -3.614108735E-10 3.565447104E-10 4.866157390E-12
 1.295761019E-01 -3.615876487E-10 3.567186546E-10 4.868983255E-12
 1.335890293E-01 -3.617782185E-10 3.569062823E-10 4.871947030E-12
 1.377262473E-01 -3.619699540E-10 3.570950757E-10 4.874871340E-12
 1.419915855E-01 -3.621598021E-10 3.572820650E-10 4.877718455E-12
 1.463890225E-01 -3.623487621E-10 3.574682217E-10 4.880516130E-12
 1.509226412E-01 -3.625372225E-10 3.576539620E-10 4.883272172E-12
 1.555966735E-01 -3.627249889E-10 3.578390362E-10 4.885984412E-12
 1.604154557E-01 -3.629120060E-10 3.580233610E-10 4.888646779E-12
 1.653834581E-01 -3.630975798E-10 3.582063257E-10 4.891263176E-12
 1.705053449E-01 -3.632813494E-10 3.583875141E-10 4.893853118E-12
 1.757858396E-01 -3.634629542E-10 3.585665653E-10 4.896384079E-12
 1.812298745E-01 -3.636418666E-10 3.587430353E-10 4.898868203E-12
 1.868425012E-01 -3.638176982E-10 3.589163966E-10 4.901292913E-12
 1.926289499E-01 -3.639896995E-10 3.590860387E-10 4.903658209E-12
 1.985946149E-01 -3.641572321E-10 3.592512676E-10 4.905950212E-12
 2.047450244E-01 -3.643187141E-10 3.594105846E-10 4.908149408E-12
 2.110859156E-01 -3.644798074E-10 3.595694853E-10 4.910341665E-12
 2.176231891E-01 -3.646313529E-10 3.597189491E-10 4.912396444E-12
 2.243629098E-01 -3.647756264E-10 3.598612797E-10 4.914349743E-12
 2.313113511E-01 -3.649124614E-10 3.599962550E-10 4.916205897E-12
 2.384749949E-01 -3.650409697E-10 3.601230425E-10 4.917933248E-12
 2.458604872E-01 -3.651603186E-10 3.602407816E-10 4.919544373E-12
 2.534747124E-01 -3.652696756E-10 3.603486676E-10 4.921012382E-12
 2.613247335E-01 -3.653680414E-10 3.604456733E-10 4.922338578E-12
 2.694178820E-01 -3.654544167E-10 3.605309384E-10 4.923495639E-12
 2.777616680E-01 -3.655278580E-10 3.606033805E-10 4.924485732E-12
 2.863638699E-01 -3.655873659E-10 3.606620558E-10 4.925280669E-12
 2.952324748E-01 -3.656319691E-10 3.607060761E-10 4.925879583E-12
 3.043757379E-01 -3.656605019E-10 3.607342480E-10 4.926258186E-12
 3.138021529E-01 -3.656718817E-10 3.607454890E-10 4.926410842E-12
 3.235205114E-01 -3.656649983E-10 3.607386612E-10 4.926312396E-12
 3.335398436E-01 -3.656387138E-10 3.607127652E-10 4.925959380E-12
 3.438694775E-01 -3.655919456E-10 3.606666077E-10 4.925324038E-12
 3.545189798E-01 -3.655235281E-10 3.605991061E-10 4.924402466E-12
 3.654983342E-01 -3.654324066E-10 3.605092336E-10 4.923171679E-12
 3.768177032E-01 -3.653175540E-10 3.603959353E-10 4.921623872E-12
 3.884876370E-01 -3.651779157E-10 3.602581844E-10 4.919740830E-12
 4.005189836E-01 -3.650126035E-10 3.600950926E-10 4.917513011E-12
 4.129229188E-01 -3.648207014E-10 3.599057996E-10 4.914926105E-12
 4.257110059E-01 -3.646014879E-10 3.596895282E-10 4.911972305E-12
 4.388951659E-01 -3.643543522E-10 3.594456954E-10 4.908640768E-12
 4.524875879E-01 -3.640787394E-10 3.591738018E-10 4.904926292E-12
 4.665009975E-01 -3.637743440E-10 3.588735142E-10 4.900824538E-12
 4.809483886E-01 -3.634410828E-10 3.585447494E-10 4.896329869E-12
 4.958432019E-01 -3.630789835E-10 3.581875352E-10 4.891452694E-12
 5.111992955E-01 -3.626884626E-10 3.578022878E-10 4.886183472E-12
