VARIABLES = "y","u'u'","v'v'","w'w'"
ZONE T="SA, X=0.97008"
 2.649677335E-04 2.775249770E-03 2.774542896E-03 2.774897264E-03
 2.731891291E-04 2.779503120E-03 2.778768307E-03 2.779136412E-03
 2.816647175E-04 2.783550881E-03 2.782787196E-03 2.783169970E-03
 2.904023277E-04 2.787403762E-03 2.786610741E-03 2.787008183E-03
 2.994100796E-04 2.791071543E-03 2.790247789E-03 2.790660597E-03
 3.086963843E-04 2.794563072E-03 2.793707652E-03 2.794136293E-03
 3.182698856E-04 2.797885332E-03 2.796997782E-03 2.797442721E-03
 3.281394893E-04 2.801046474E-03 2.800125163E-03 2.800586866E-03
 3.383143339E-04 2.804052318E-03 2.803096548E-03 2.803575713E-03
 3.488039365E-04 2.806909150E-03 2.805917291E-03 2.806414384E-03
 3.596180177E-04 2.809621627E-03 2.808592981E-03 2.809108701E-03
 3.707666765E-04 2.812194871E-03 2.811128041E-03 2.811662853E-03
 3.822602448E-04 2.814632840E-03 2.813526662E-03 2.814081265E-03
 3.941094328E-04 2.816939726E-03 2.815792803E-03 2.816367662E-03
 4.063252709E-04 2.819119021E-03 2.817930188E-03 2.818526234E-03
 4.189191386E-04 2.821173519E-03 2.819941379E-03 2.820559079E-03
 4.319027066E-04 2.823106013E-03 2.821828704E-03 2.822468989E-03
 4.452880821E-04 2.824919065E-03 2.823595190E-03 2.824258991E-03
 4.590877215E-04 2.826615470E-03 2.825243631E-03 2.825931413E-03
 4.733144306E-04 2.828195924E-03 2.826774493E-03 2.827487187E-03
 4.879814805E-04 2.829662757E-03 2.828190103E-03 2.828928409E-03
 5.031024921E-04 2.831017366E-03 2.829491626E-03 2.830256708E-03
 5.186916096E-04 2.832261147E-03 2.830680460E-03 2.831473015E-03
 5.347632105E-04 2.833394567E-03 2.831757069E-03 2.832578029E-03
 5.513323122E-04 2.834418789E-03 2.832722617E-03 2.833573148E-03
 5.684143398E-04 2.835334046E-03 2.833577106E-03 2.834458137E-03
 5.860251840E-04 2.836141502E-03 2.834321698E-03 2.835234394E-03
 6.041811430E-04 2.836840460E-03 2.834955696E-03 2.835900756E-03
 6.228992715E-04 2.837431384E-03 2.835479332E-03 2.836458152E-03
 6.421967992E-04 2.837913577E-03 2.835891908E-03 2.836905653E-03
 6.620918284E-04 2.838287503E-03 2.836193889E-03 2.837243723E-03
 6.826028111E-04 2.838551765E-03 2.836383646E-03 2.837470965E-03
 7.037487812E-04 2.838706365E-03 2.836461179E-03 2.837587148E-03
 7.255495293E-04 2.838750137E-03 2.836424857E-03 2.837590873E-03
 7.480251952E-04 2.838681918E-03 2.836274216E-03 2.837481676E-03
 7.711967919E-04 2.838500310E-03 2.836007159E-03 2.837257460E-03
 7.950857980E-04 2.838203683E-03 2.835622057E-03 2.836916829E-03
 8.197145071E-04 2.837790642E-03 2.835117746E-03 2.836458385E-03
 8.451058529E-04 2.837259788E-03 2.834492363E-03 2.835880267E-03
 8.712833514E-04 2.836608328E-03 2.833742881E-03 2.835179912E-03
 8.982714498E-04 2.835833700E-03 2.832866972E-03 2.834354993E-03
 9.260951774E-04 2.834934508E-03 2.831862774E-03 2.833403414E-03
 9.547804948E-04 2.833907027E-03 2.830727026E-03 2.832322149E-03
 9.843540611E-04 2.832748229E-03 2.829456003E-03 2.831107471E-03
 1.014843350E-03 2.831455786E-03 2.828047611E-03 2.829757286E-03
 1.046276768E-03 2.830025740E-03 2.826497424E-03 2.828267170E-03
 1.078683534E-03 2.828453900E-03 2.824801253E-03 2.826633630E-03
 1.112093800E-03 2.826736541E-03 2.822955605E-03 2.824852243E-03
 1.146538649E-03 2.824869240E-03 2.820955589E-03 2.822918817E-03
 1.182050211E-03 2.822848037E-03 2.818796784E-03 2.820829162E-03
 1.218661433E-03 2.820667112E-03 2.816474065E-03 2.818577690E-03
 1.256406307E-03 2.818321344E-03 2.813981147E-03 2.816158580E-03
 1.295320108E-03 2.815805376E-03 2.811313607E-03 2.813567175E-03
 1.335438923E-03 2.813112922E-03 2.808463993E-03 2.810796490E-03
 1.376800123E-03 2.810237696E-03 2.805426717E-03 2.807840472E-03
