Experimental data for Smits, Young, Bradshaw - JFM 94(2):209-242, 1979
Convex wall (30 deg turn)
*TENTATIVE CORRECTION FILE* November 2012

Note that some inconsistencies were discovered in the experimental data 
as posted from Oct 30, 1981, in comparison with JFM (1979).  The data were 
revisited with the help of the original author (Lex Smits) during 
Oct-Nov 2012. The corrected data appear below.  (Note that higher-order
moments were NOT looked at; it is unknown whether those posted data are
valid or not.)

In particular:
  (1) the reference velocity (Uref) (at a point just prior to the end 
      of the upstream contraction) = 31.9 m/s
  (2) local Ue and delta values were posted incorrectly

Note that "s" given in the following files are streamwise lengths along the
convex wall, with s=0 at the end of the curve; "d" is distance across
the channel from the convex wall (normal to the wall).
Similarly, the u, uu, vv, and uv values in the experimental data
are aligned with the local wall directions.

If one aligns the downstream channel with the x-axis (with x=0 y=0
at the end of the curve on the convex wall), then no translations are
necessary when comparing CFD with the downstream data (s>=0).  
However, the upstream channel will be canted at a 30 deg angle relative 
to the x-axis.  To translate upstream s to (absolute) x:
  if s<-0.066497, then x=-0.0635+[(s+0.0665)*cos(30)]
    0.3988839E-01    0.3621520E+02
    0.4219476E-01    0.3625072E+02

----------

 variables="d, m","uu, m2/s2","vv, m2/s2","uv, m2/s2"
# These turbulence data are from the nondimensional Oct 30, 1981 posted data;
# however, the delta used to recover dimensional values are from
# Smits Oct-Nov 2012 (corrected dataset given above)
# The Ue values used to recover dimensional values need to be those
# near 40 m/s (given in the Oct 30, 1981 posted data)
# in order to agree with the JFM reference
 zone, t="exp, s=-0.185m"
    0.2997560E-02    0.6267896E+01    0.2032406E+01   -0.1603201E+01
    0.4157200E-02    0.5989301E+01    0.1961904E+01   -0.1516901E+01
    0.5316831E-02    0.5462701E+01    0.1828404E+01   -0.1423102E+01
    0.6542128E-02    0.5024396E+01    0.1727503E+01   -0.1345701E+01
    0.8773879E-02    0.4108601E+01    0.1518504E+01   -0.1144100E+01
    0.1069931E-01    0.3423500E+01    0.1281404E+01   -0.9749000E+00
    0.1301860E-01    0.2486897E+01    0.9934115E+00   -0.7041401E+00
    0.1520659E-01    0.1738101E+01    0.6885906E+00   -0.4477503E+00
    0.1713203E-01    0.1184599E+01    0.5180416E+00   -0.2943602E+00
    0.1938568E-01    0.5407094E+00    0.2963007E+00   -0.1302601E+00
    0.2161743E-01    0.1542203E+00    0.1392204E+00   -0.3078932E-01
    0.2483380E-01    0.3799906E-01    0.4907003E-01   -0.1365200E-02
 zone, t="exp, s= 0.030m"
    0.3002280E-02    0.7014391E+01    0.3749902E+01   -0.2278704E+01
    0.4160643E-02    0.4778899E+01    0.2315602E+01   -0.1259803E+01
    0.5319003E-02    0.3011401E+01    0.1172101E+01   -0.5008609E+00
    0.6524652E-02    0.2388295E+01    0.8225087E+00   -0.2088411E+00
    0.8770439E-02    0.2156000E+01    0.7509116E+00   -0.1038510E+00
    0.1070892E-01    0.1896696E+01    0.7026704E+00   -0.3353269E-01
    0.1295473E-01    0.1683298E+01    0.6340204E+00   -0.1201639E-01
    0.1520052E-01    0.1239701E+01    0.4662915E+00    0.1106583E-01
    0.1716264E-01    0.9099772E+00    0.3697300E+00    0.2824930E-01
    0.1940845E-01    0.5768896E+00    0.2556600E+00    0.3090304E-01
    0.2163063E-01    0.2890701E+00    0.1584498E+00    0.1726712E-01
    0.2484567E-01    0.1072799E+00    0.6064388E-01    0.2090693E-02
    0.2869896E-01    0.6962591E-01    0.1952695E-01   -0.8979388E-03
 zone, t="exp, s= 0.183m"
    0.2992850E-02    0.6032896E+01    0.2649705E+01   -0.1968797E+01
    0.4149750E-02    0.6123895E+01    0.2792305E+01   -0.2093197E+01
    0.5306651E-02    0.5817792E+01    0.2681105E+01   -0.1960298E+01
    0.6539006E-02    0.5501998E+01    0.2464504E+01   -0.1861497E+01
    0.8777352E-02    0.4100699E+01    0.1739302E+01   -0.1289899E+01
    0.1071392E-01    0.2430700E+01    0.1110301E+01   -0.7571697E+00
    0.1295226E-01    0.1365298E+01    0.6953110E+00   -0.4286689E+00
    0.1519061E-01    0.1065800E+01    0.5486714E+00   -0.3283704E+00
    0.1715231E-01    0.8485118E+00    0.4614713E+00   -0.2486308E+00
    0.1936552E-01    0.6362389E+00    0.3532604E+00   -0.1473307E+00
    0.2162900E-01    0.3946193E+00    0.2448104E+00    0.2088436E+01
    0.2484821E-01    0.1418098E+00    0.1132902E+00   -0.7779180E-02
    0.2869615E-01    0.7466394E-01    0.3716601E-01   -0.2380692E-02
 zone, t="exp, s= 0.335m"
    0.3006930E-02    0.5916894E+01    0.2263107E+01   -0.1651996E+01
    0.4151160E-02    0.5646493E+01    0.2235008E+01   -0.1634996E+01
