VARIABLES = "X"
"Y"
"Mu_tOverMu_inf"
ZONE T="CFL3D x=29.2468"
 2.924682999E+01 1.075112343E+00 2.878831177E+02
 2.924682999E+01 1.078064203E+00 2.869446411E+02
 2.924682999E+01 1.081111312E+00 2.859396667E+02
 2.924682999E+01 1.084257126E+00 2.848262634E+02
 2.924682999E+01 1.087505102E+00 2.835792542E+02
 2.924682999E+01 1.090858459E+00 2.821880798E+02
 2.924682999E+01 1.094321012E+00 2.806536255E+02
 2.924682999E+01 1.097896338E+00 2.789851379E+02
 2.924682999E+01 1.101588488E+00 2.771967773E+02
 2.924682999E+01 1.105401278E+00 2.753048706E+02
 2.924682999E+01 1.109338760E+00 2.733253479E+02
 2.924682999E+01 1.113405347E+00 2.712718811E+02
 2.924682999E+01 1.117605448E+00 2.691551514E+02
 2.924682999E+01 1.121943355E+00 2.669822388E+02
 2.924682999E+01 1.126424074E+00 2.647565918E+02
 2.924682999E+01 1.131052375E+00 2.624787598E+02
 2.924682999E+01 1.135833144E+00 2.601470032E+02
 2.924682999E+01 1.140771747E+00 2.577578735E+02
 2.924682999E+01 1.145873427E+00 2.553073425E+02
 2.924682999E+01 1.151143789E+00 2.527910461E+02
 2.924682999E+01 1.156588554E+00 2.502049713E+02
 2.924682999E+01 1.162213683E+00 2.475457001E+02
 2.924682999E+01 1.168025374E+00 2.448104553E+02
 2.924682999E+01 1.174029827E+00 2.419972229E+02
 2.924682999E+01 1.180233836E+00 2.391043549E+02
 2.924682999E+01 1.186643958E+00 2.361308136E+02
 2.924682999E+01 1.193267107E+00 2.330756531E+02
 2.924682999E+01 1.200110912E+00 2.299377441E+02
 2.924682999E+01 1.207182527E+00 2.267162476E+02
 2.924682999E+01 1.214489937E+00 2.234098511E+02
 2.924682999E+01 1.222041011E+00 2.200172272E+02
 2.924682999E+01 1.229843974E+00 2.165368195E+02
 2.924682999E+01 1.237907529E+00 2.129667358E+02
 2.924682999E+01 1.246240377E+00 2.093049316E+02
 2.924682999E+01 1.254851818E+00 2.055490112E+02
 2.924682999E+01 1.263751268E+00 2.016963806E+02
 2.924683189E+01 1.272948623E+00 1.977438965E+02
 2.924683189E+01 1.282453656E+00 1.936880188E+02
 2.924683189E+01 1.292277098E+00 1.895244141E+02
 2.924683189E+01 1.302429676E+00 1.852479248E+02
 2.924683189E+01 1.312922716E+00 1.808523712E+02
 2.924683189E+01 1.323767543E+00 1.763304138E+02
 2.924683189E+01 1.334976077E+00 1.716731567E+02
 2.924683189E+01 1.346561074E+00 1.668699188E+02
 2.924683189E+01 1.358534694E+00 1.619083862E+02
 2.924683189E+01 1.370910645E+00 1.567733917E+02
 2.924683189E+01 1.383702397E+00 1.514470062E+02
 2.924683189E+01 1.396924019E+00 1.459075165E+02
 2.924683189E+01 1.410590172E+00 1.401282196E+02
 2.924683189E+01 1.424715996E+00 1.340761261E+02
 2.924683189E+01 1.439316869E+00 1.277106476E+02
 2.924683189E+01 1.454409003E+00 1.209824524E+02
 2.924683189E+01 1.470009208E+00 1.138334503E+02
 2.924683189E+01 1.486134648E+00 1.061986008E+02
 2.924683189E+01 1.502803087E+00 9.800908661E+01
 2.924683189E+01 1.520033002E+00 8.919622040E+01
 2.924683189E+01 1.537843466E+00 7.969316101E+01
 2.924683189E+01 1.556254268E+00 6.943234253E+01
 2.924683189E+01 1.575285554E+00 5.834181213E+01
 2.924683189E+01 1.594958425E+00 4.635342026E+01
 2.924683189E+01 1.615294933E+00 3.343431854E+01
 2.924683189E+01 1.636317134E+00 1.886593628E+01
 2.924683189E+01 1.658048749E+00 6.242018223E+00
 2.924683189E+01 1.680513620E+00 7.878127098E-01
 2.924683189E+01 1.703736663E+00 3.786526993E-02
 2.924683380E+01 1.727743626E+00 8.249085397E-03
 2.924683380E+01 1.752561212E+00 7.481016219E-03
 2.924683380E+01 1.778216839E+00 7.462445647E-03
 2.924683380E+01 1.804738879E+00 7.461978123E-03
 2.924683380E+01 1.832156897E+00 7.461924106E-03
 2.924683380E+01 1.860501170E+00 7.461879868E-03
 2.924683380E+01 1.889803410E+00 7.461836096E-03
 2.924683380E+01 1.920095921E+00 7.461793255E-03
 2.924683380E+01 1.951412439E+00 7.461750880E-03
 2.924683380E+01 1.983787656E+00 7.461709436E-03
 2.924683380E+01 2.017257452E+00 7.461667992E-03
 2.924683380E+01 2.051859379E+00 7.461627945E-03
 2.924683380E+01 2.087631702E+00 7.461587898E-03
 2.924683380E+01 2.124613762E+00 7.461548317E-03
 2.924683380E+01 2.162847519E+00 7.461509667E-03
 2.924683571E+01 2.202374935E+00 7.461471483E-03
 2.924683571E+01 2.243240118E+00 7.461434230E-03
 2.924683571E+01 2.285488605E+00 7.461397443E-03
 2.924683571E+01 2.329167604E+00 7.461361121E-03
 2.924683571E+01 2.374325275E+00 7.461325265E-03
 2.924683571E+01 2.421012402E+00 7.461289875E-03
 2.924683571E+01 2.469280958E+00 7.461255416E-03
 2.924683571E+01 2.519184351E+00 7.461220957E-03
 2.924683571E+01 2.570778847E+00 7.461187430E-03
 2.924683571E+01 2.624121666E+00 7.461154368E-03
 2.924683762E+01 2.679272413E+00 7.461121771E-03
 2.924683762E+01 2.736292362E+00 7.461089641E-03
 2.924683762E+01 2.795245886E+00 7.461057976E-03
 2.924683762E+01 2.856198311E+00 7.461027242E-03
 2.924683762E+01 2.919217825E+00 7.460996509E-03
 2.924683762E+01 2.984375238E+00 7.460966241E-03
 2.924683762E+01 3.051743031E+00 7.460936438E-03
 2.924683762E+01 3.121397018E+00 7.460907102E-03
 2.924683952E+01 3.193414927E+00 7.460878231E-03
 2.924683952E+01 3.267877340E+00 7.460849360E-03
 2.924683952E+01 3.344867945E+00 7.460821420E-03
 2.924683952E+01 3.424473286E+00 7.460793480E-03
 2.924683952E+01 3.506781816E+00 7.460766006E-03
 2.924683952E+01 3.591886997E+00 7.460738998E-03
 2.924684143E+01 3.679883957E+00 7.460711990E-03
 2.924684143E+01 3.770871401E+00 7.460685447E-03
