VARIABLES = "y" "uuprime" "wwprime" "vvprime"
ZONE T="CFL3D, SA-RC-QCR2013"
 8.451058529E-04 4.067185335E-03 3.278879682E-03 2.490565879E-03
 8.712833514E-04 4.066323861E-03 3.278145799E-03 2.489959123E-03
 8.982714498E-04 4.065289162E-03 3.277270589E-03 2.489243168E-03
 9.260951774E-04 4.064077511E-03 3.276251256E-03 2.488415921E-03
 9.547804948E-04 4.062684253E-03 3.275084542E-03 2.487474820E-03
 9.843540611E-04 4.061106127E-03 3.273766953E-03 2.486417303E-03
 1.014843350E-03 4.059338477E-03 3.272294765E-03 2.485240577E-03
 1.046276768E-03 4.057376646E-03 3.270664252E-03 2.483941149E-03
 1.078683534E-03 4.055214580E-03 3.268870758E-03 2.482515760E-03
 1.112093800E-03 4.052846693E-03 3.266909858E-03 2.480961150E-03
 1.146538649E-03 4.050267395E-03 3.264776431E-03 2.479273127E-03
 1.182050211E-03 4.047469702E-03 3.262465121E-03 2.477447735E-03
 1.218661433E-03 4.044447094E-03 3.259970574E-03 2.475480549E-03
 1.256406307E-03 4.041191190E-03 3.257286269E-03 2.473366680E-03
 1.295320108E-03 4.037695006E-03 3.254405688E-03 2.471101470E-03
 1.335438923E-03 4.033949692E-03 3.251322079E-03 2.468679333E-03
 1.376800123E-03 4.029945936E-03 3.248027992E-03 2.466094447E-03
 1.419442124E-03 4.025673959E-03 3.244515741E-03 2.463340992E-03
 1.463404740E-03 4.021123517E-03 3.240776947E-03 2.460412448E-03
 1.508728717E-03 4.016284365E-03 3.236802528E-03 2.457302297E-03
 1.555456314E-03 4.011144396E-03 3.232583171E-03 2.454002853E-03
 1.603630953E-03 4.005691037E-03 3.228108864E-03 2.450506669E-03
 1.653297455E-03 3.999912180E-03 3.223369131E-03 2.446805593E-03
 1.704502036E-03 3.993792925E-03 3.218352795E-03 2.442891244E-03
 1.757292310E-03 3.987319302E-03 3.213047981E-03 2.438754309E-03
 1.811717520E-03 3.980475478E-03 3.207441885E-03 2.434385009E-03
 1.867828076E-03 3.973244689E-03 3.201521467E-03 2.429773333E-03
 1.925676246E-03 3.965610638E-03 3.195272293E-03 2.424908569E-03
 1.985315932E-03 3.957553767E-03 3.188679926E-03 2.419779310E-03
 2.046802780E-03 3.949054983E-03 3.181728069E-03 2.414373215E-03
 2.110193484E-03 3.940094262E-03 3.174400423E-03 2.408677945E-03
 2.175547648E-03 3.930648789E-03 3.166679526E-03 2.402679995E-03
 2.242925344E-03 3.920696676E-03 3.158546519E-03 2.396364929E-03
 2.312389901E-03 3.910212778E-03 3.149981610E-03 2.389718080E-03
 2.384005813E-03 3.899171250E-03 3.140964545E-03 2.382723382E-03
 2.457839437E-03 3.887546016E-03 3.131472971E-03 2.375364304E-03
 2.533959458E-03 3.875307506E-03 3.121483838E-03 2.367623150E-03
 2.612437122E-03 3.862425918E-03 3.110972932E-03 2.359481528E-03
 2.693345072E-03 3.848869354E-03 3.099914407E-03 2.350919647E-03
 2.776758745E-03 3.834603820E-03 3.088281257E-03 2.341917017E-03
 2.862755442E-03 3.819594160E-03 3.076044843E-03 2.332451986E-03
 2.951415488E-03 3.803802887E-03 3.063174896E-03 2.322501736E-03
 3.042821307E-03 3.787190421E-03 3.049639519E-03 2.312041819E-03
 3.137057880E-03 3.769715317E-03 3.035405651E-03 2.301046858E-03
 3.234212985E-03 3.751333570E-03 3.020437434E-03 2.289490541E-03
 3.334376728E-03 3.731999313E-03 3.004698316E-03 2.277344465E-03
 3.437642707E-03 3.711663419E-03 2.988148713E-03 2.264578827E-03
 3.544106614E-03 3.690275364E-03 2.970747883E-03 2.251163125E-03
 3.653867636E-03 3.667781129E-03 2.952452516E-03 2.237064298E-03
 3.767027752E-03 3.644124139E-03 2.933216980E-03 2.222247887E-03
 3.883692669E-03 3.619244788E-03 2.912993776E-03 2.206678269E-03
 4.003970418E-03 3.593081143E-03 2.891732613E-03 2.190317493E-03
 4.127973225E-03 3.565567080E-03 2.869381104E-03 2.173125977E-03
 4.255816340E-03 3.536634147E-03 2.845883835E-03 2.155062044E-03
 4.387618508E-03 3.506210400E-03 2.821183298E-03 2.136082156E-03
 4.523502663E-03 3.474220401E-03 2.795219421E-03 2.116141375E-03
 4.663594998E-03 3.440585220E-03 2.767928410E-03 2.095191739E-03
 4.808025900E-03 3.405222669E-03 2.739244606E-03 2.073184121E-03
 4.956929944E-03 3.368046368E-03 2.709099092E-03 2.050066600E-03
 5.110444967E-03 3.328967374E-03 2.677420620E-03 2.025785856E-03
 5.268714856E-03 3.287891857E-03 2.644134220E-03 2.000285778E-03
 5.431886297E-03 3.244723659E-03 2.609163057E-03 1.973508624E-03
 5.600110628E-03 3.199362429E-03 2.572427038E-03 1.945395139E-03
 5.773545243E-03 3.151704557E-03 2.533843741E-03 1.915883273E-03
 5.952350795E-03 3.101643641E-03 2.493327949E-03 1.884909812E-03
 6.136693992E-03 3.049070248E-03 2.450792817E-03 1.852409914E-03
 6.326746196E-03 2.993872622E-03 2.406149171E-03 1.818317454E-03
 6.522683892E-03 2.935936674E-03 2.359306673E-03 1.782565261E-03
 6.724690087E-03 2.875147620E-03 2.310173586E-03 1.745085465E-03
 6.932952441E-03 2.811389510E-03 2.258658176E-03 1.705810311E-03
 7.147664204E-03 2.744547091E-03 2.204669174E-03 1.664672513E-03
 7.369025610E-03 2.674506977E-03 2.148117172E-03 1.621605828E-03
 7.597242948E-03 2.601158805E-03 2.088914393E-03 1.576546580E-03
 7.832527161E-03 2.524397336E-03 2.026978647E-03 1.529434347E-03
 8.075099438E-03 2.444123849E-03 1.962231705E-03 1.480212668E-03
 8.325182833E-03 2.360250801E-03 1.894605928E-03 1.428832649E-03
 8.583012037E-03 2.272702986E-03 1.824042411E-03 1.375252730E-03
 8.848825470E-03 2.181422431E-03 1.750497380E-03 1.319442526E-03
 9.122870862E-03 2.086373512E-03 1.673944294E-03 1.261384925E-03
 9.405404329E-03 1.987547614E-03 1.594378497E-03 1.201079926E-03
 9.696686640E-03 1.884971512E-03 1.511824317E-03 1.138548716E-03
 9.996990673E-03 1.778713078E-03 1.426338917E-03 1.073838095E-03
 1.030659489E-02 1.668893965E-03 1.338022761E-03 1.007027226E-03
 1.062578708E-02 1.555699739E-03 1.247027423E-03 9.382338030E-04
 1.095486525E-02 1.439393265E-03 1.153566409E-03 8.676223806E-04
 1.129413396E-02 1.320333569E-03 1.057930640E-03 7.954154280E-04
 1.164390985E-02 1.198992366E-03 9.605009109E-04 7.219029940E-04
 1.200451888E-02 1.075979671E-03 8.617686108E-04 6.474578986E-04
 1.237629540E-02 9.520709282E-04 7.623573183E-04 5.725517985E-04
 1.275958586E-02 8.282372146E-04 6.630467833E-04 4.977730568E-04
 1.315474603E-02 7.056834293E-04 5.648030201E-04 4.238489491E-04
 1.356214564E-02 5.858839140E-04 4.688070621E-04 3.516667639E-04
 1.398216095E-02 4.706320469E-04 3.764937283E-04 2.823026443E-04
 1.441518404E-02 3.620700736E-04 2.895752259E-04 2.170385269E-04
 1.486161817E-02 2.627216163E-04 2.100670245E-04 1.573809714E-04
 1.532187872E-02 1.755004050E-04 1.402934722E-04 1.050644569E-04
 1.579639316E-02 1.035333116E-04 8.274655556E-05 6.194549496E-05
 1.628560200E-02 5.005131607E-05 3.999902765E-05 2.993702947E-05
 1.678996161E-02 1.737260754E-05 1.388801593E-05 1.039585550E-05
 1.730994321E-02 3.403943538E-06 2.725108516E-06 2.042160986E-06
 1.784602553E-02 2.076205305E-07 1.673171823E-07 1.261742852E-07
 1.839871332E-02 2.040724478E-09 1.844690067E-09 1.605412914E-09
 1.896851510E-02 2.179588593E-10 3.298416540E-10 4.333762238E-10
 1.955596358E-02 1.743610534E-10 2.896679563E-10 3.994380382E-10
 2.016160637E-02 1.731455257E-10 2.886228756E-10 3.990452691E-10
 2.078600600E-02 1.739516309E-10 2.899482321E-10 4.009597099E-10
 2.142974176E-02 1.749222295E-10 2.914568864E-10 4.030410450E-10
 2.209341526E-02 1.758929946E-10 2.929502474E-10 4.050704494E-10
 2.277764119E-02 1.767814783E-10 2.942971977E-10 4.068924642E-10
 2.348305658E-02 1.775102565E-10 2.954256284E-10 4.084364791E-10
 2.421032079E-02 1.781595704E-10 2.964579970E-10 4.098684447E-10
 2.496010624E-02 1.787423543E-10 2.974131219E-10 4.112111762E-10
 2.573311329E-02 1.793118432E-10 2.983486513E-10 4.125263187E-10
 2.653006092E-02 1.799370514E-10 2.993471859E-10 4.139096288E-10
 2.735168859E-02 1.805713357E-10 3.003472748E-10 4.152849731E-10
 2.819876187E-02 1.811546746E-10 3.012654570E-10 4.165467693E-10
 2.907206863E-02 1.816760492E-10 3.020882433E-10 4.176797797E-10
 2.997242101E-02 1.821508083E-10 3.028474971E-10 4.187311053E-10
 3.090065904E-02 1.825971180E-10 3.035663665E-10 4.197286407E-10
 3.185764328E-02 1.830251367E-10 3.042537056E-10 4.206801851E-10
 3.284426406E-02 1.834303820E-10 3.049042685E-10 4.215794935E-10
 3.386143968E-02 1.838089125E-10 3.055136977E-10 4.224220973E-10
 3.491012007E-02 1.841620884E-10 3.060843523E-10 4.232113548E-10
 3.599127382E-02 1.844920189E-10 3.066198684E-10 4.239524842E-10
 3.710591421E-02 1.848004944E-10 3.071228549E-10 4.246487606E-10
 3.825507313E-02 1.850890691E-10 3.075952548E-10 4.253027097E-10
 3.943981975E-02 1.853587284E-10 3.080387612E-10 4.259166908E-10
 4.066125676E-02 1.856103465E-10 3.084548450E-10 4.264929521E-10
 4.192052409E-02 1.858450477E-10 3.088451994E-10 4.270338250E-10
 4.321879148E-02 1.860639559E-10 3.092115730E-10 4.275416687E-10
 4.455726221E-02 1.862681398E-10 3.095555479E-10 4.280188148E-10
 4.593718797E-02 1.864586680E-10 3.098787893E-10 4.284674560E-10
 4.735985026E-02 1.866365396E-10 3.101828239E-10 4.288898403E-10
 4.882656783E-02 1.868027816E-10 3.104691781E-10 4.292880773E-10
 5.033871159E-02 1.869583238E-10 3.107392954E-10 4.296642486E-10
 5.189768597E-02 1.871040961E-10 3.109946189E-10 4.300202694E-10
 5.350494012E-02 1.872410144E-10 3.112364533E-10 4.303581103E-10
 5.516197160E-02 1.873698974E-10 3.114661584E-10 4.306796031E-10
 5.687032267E-02 1.874915917E-10 3.116849556E-10 4.309864965E-10
 5.863158032E-02 1.876068190E-10 3.118940384E-10 4.312804558E-10
 6.044737995E-02 1.877163425E-10 3.120944891E-10 4.315630631E-10
 6.231941655E-02 1.878208006E-10 3.122873349E-10 4.318357061E-10
 6.424943358E-02 1.879207623E-10 3.124735193E-10 4.320997449E-10
 6.623921543E-02 1.880167966E-10 3.126538750E-10 4.323563174E-10
 6.829062104E-02 1.881093337E-10 3.128290960E-10 4.326064784E-10
