variables="u","y"
zone,t="x=     0.97008"
   0.418376E+00   0.135085E-03
   0.422219E+00   0.139299E-03
   0.426022E+00   0.143643E-03
   0.429785E+00   0.148120E-03
   0.433510E+00   0.152734E-03
   0.437197E+00   0.157491E-03
   0.440849E+00   0.162395E-03
   0.444467E+00   0.167449E-03
   0.448052E+00   0.172659E-03
   0.451605E+00   0.178030E-03
   0.455128E+00   0.183567E-03
   0.458621E+00   0.189274E-03
   0.462085E+00   0.195157E-03
   0.465522E+00   0.201222E-03
   0.468932E+00   0.207474E-03
   0.472317E+00   0.213920E-03
   0.475677E+00   0.220564E-03
   0.479013E+00   0.227413E-03
   0.482326E+00   0.234474E-03
   0.485617E+00   0.241753E-03
   0.488886E+00   0.249257E-03
   0.492135E+00   0.256993E-03
   0.495363E+00   0.264968E-03
   0.498572E+00   0.273189E-03
   0.501762E+00   0.281665E-03
   0.504934E+00   0.290402E-03
   0.508088E+00   0.299410E-03
   0.511226E+00   0.308696E-03
   0.514347E+00   0.318270E-03
   0.517452E+00   0.328139E-03
   0.520542E+00   0.338314E-03
   0.523616E+00   0.348804E-03
   0.526677E+00   0.359618E-03
   0.529723E+00   0.370767E-03
   0.532756E+00   0.382260E-03
   0.535776E+00   0.394109E-03
   0.538783E+00   0.406325E-03
   0.541778E+00   0.418919E-03
   0.544761E+00   0.431903E-03
   0.547733E+00   0.445288E-03
   0.550693E+00   0.459088E-03
   0.553643E+00   0.473314E-03
   0.556582E+00   0.487981E-03
   0.559511E+00   0.503102E-03
   0.562431E+00   0.518692E-03
   0.565341E+00   0.534763E-03
   0.568242E+00   0.551332E-03
   0.571133E+00   0.568414E-03
   0.574017E+00   0.586025E-03
   0.576892E+00   0.604181E-03
   0.579759E+00   0.622899E-03
   0.582619E+00   0.642197E-03
   0.585470E+00   0.662092E-03
   0.588315E+00   0.682603E-03
   0.591153E+00   0.703749E-03
   0.593984E+00   0.725550E-03
   0.596808E+00   0.748025E-03
   0.599627E+00   0.771197E-03
   0.602439E+00   0.795086E-03
   0.605245E+00   0.819715E-03
   0.608046E+00   0.845106E-03
   0.610842E+00   0.871283E-03
   0.613632E+00   0.898271E-03
   0.616417E+00   0.926095E-03
   0.619198E+00   0.954780E-03
   0.621974E+00   0.984354E-03
   0.624745E+00   0.101484E-02
   0.627513E+00   0.104628E-02
   0.630277E+00   0.107868E-02
   0.633037E+00   0.111209E-02
   0.635793E+00   0.114654E-02
   0.638546E+00   0.118205E-02
   0.641296E+00   0.121866E-02
   0.644042E+00   0.125641E-02
   0.646786E+00   0.129532E-02
   0.649528E+00   0.133544E-02
   0.652267E+00   0.137680E-02
   0.655004E+00   0.141944E-02
   0.657739E+00   0.146340E-02
   0.660472E+00   0.150873E-02
   0.663203E+00   0.155546E-02
   0.665933E+00   0.160363E-02
   0.668662E+00   0.165330E-02
   0.671390E+00   0.170450E-02
   0.674116E+00   0.175729E-02
   0.676843E+00   0.181172E-02
   0.679569E+00   0.186783E-02
   0.682295E+00   0.192568E-02
   0.685021E+00   0.198532E-02
   0.687747E+00   0.204680E-02
   0.690474E+00   0.211019E-02
   0.693201E+00   0.217555E-02
   0.695930E+00   0.224293E-02
   0.698660E+00   0.231239E-02
   0.701391E+00   0.238401E-02
   0.704125E+00   0.245784E-02
   0.706860E+00   0.253396E-02
   0.709598E+00   0.261244E-02
   0.712339E+00   0.269335E-02
   0.715083E+00   0.277676E-02
   0.717830E+00   0.286276E-02
   0.720581E+00   0.295142E-02
   0.723336E+00   0.304282E-02
   0.726095E+00   0.313706E-02
   0.728860E+00   0.323421E-02
   0.731629E+00   0.333438E-02
   0.734405E+00   0.343764E-02
   0.737187E+00   0.354411E-02
   0.739975E+00   0.365387E-02
   0.742771E+00   0.376703E-02
   0.745575E+00   0.388369E-02
   0.748386E+00   0.400397E-02
   0.751207E+00   0.412797E-02
   0.754037E+00   0.425582E-02
   0.756878E+00   0.438762E-02
   0.759729E+00   0.452350E-02
   0.762592E+00   0.466359E-02
   0.765467E+00   0.480803E-02
   0.768355E+00   0.495693E-02
   0.771258E+00   0.511044E-02
   0.774176E+00   0.526871E-02
   0.777110E+00   0.543189E-02
   0.780061E+00   0.560011E-02
   0.783030E+00   0.577355E-02
   0.786019E+00   0.595235E-02
   0.789028E+00   0.613669E-02
   0.792060E+00   0.632675E-02
   0.795115E+00   0.652268E-02
   0.798195E+00   0.672469E-02
   0.801303E+00   0.693295E-02
   0.804439E+00   0.714766E-02
   0.807606E+00   0.736903E-02
   0.810805E+00   0.759724E-02
   0.814040E+00   0.783253E-02
   0.817313E+00   0.807510E-02
   0.820626E+00   0.832518E-02
   0.823983E+00   0.858301E-02
   0.827386E+00   0.884883E-02
   0.830840E+00   0.912287E-02
   0.834348E+00   0.940540E-02
   0.837914E+00   0.969669E-02
   0.841545E+00   0.999699E-02
   0.845244E+00   0.103066E-01
   0.849019E+00   0.106258E-01
   0.852876E+00   0.109549E-01
   0.856825E+00   0.112941E-01
   0.860876E+00   0.116439E-01
   0.865041E+00   0.120045E-01
   0.869341E+00   0.123763E-01
   0.873802E+00   0.127596E-01
   0.878462E+00   0.131547E-01
   0.883372E+00   0.135621E-01
   0.888593E+00   0.139822E-01
   0.894174E+00   0.144152E-01
   0.900128E+00   0.148616E-01
   0.906413E+00   0.153219E-01
   0.912939E+00   0.157964E-01
   0.919596E+00   0.162856E-01
   0.926287E+00   0.167900E-01
   0.932943E+00   0.173099E-01
   0.939521E+00   0.178460E-01
   0.945947E+00   0.183987E-01
   0.952106E+00   0.189685E-01
   0.957975E+00   0.195560E-01
   0.963637E+00   0.201616E-01
   0.969180E+00   0.207860E-01
   0.974658E+00   0.214297E-01
   0.980080E+00   0.220934E-01
   0.985388E+00   0.227776E-01
   0.990406E+00   0.234831E-01
   0.994720E+00   0.242103E-01
   0.997757E+00   0.249601E-01
   0.999301E+00   0.257331E-01
   0.999797E+00   0.265301E-01
   0.999882E+00   0.273517E-01
   0.999887E+00   0.281988E-01
   0.999886E+00   0.290721E-01
   0.999886E+00   0.299724E-01
   0.999885E+00   0.309007E-01
   0.999885E+00   0.318576E-01
   0.999885E+00   0.328443E-01
   0.999885E+00   0.338614E-01
   0.999884E+00   0.349101E-01
   0.999884E+00   0.359913E-01
   0.999884E+00   0.371059E-01
   0.999883E+00   0.382551E-01
   0.999883E+00   0.394398E-01
   0.999882E+00   0.406613E-01
   0.999882E+00   0.419205E-01
   0.999881E+00   0.432188E-01
   0.999881E+00   0.445573E-01
   0.999880E+00   0.459372E-01
   0.999880E+00   0.473599E-01
   0.999879E+00   0.488266E-01
   0.999879E+00   0.503387E-01
   0.999878E+00   0.518977E-01
   0.999877E+00   0.535049E-01
   0.999877E+00   0.551620E-01
   0.999876E+00   0.568703E-01
   0.999875E+00   0.586316E-01
   0.999875E+00   0.604474E-01
   0.999874E+00   0.623194E-01
   0.999873E+00   0.642494E-01
   0.999872E+00   0.662392E-01
   0.999871E+00   0.682906E-01
   0.999870E+00   0.704056E-01
   0.999869E+00   0.725860E-01
   0.999868E+00   0.748340E-01
   0.999867E+00   0.771516E-01
   0.999866E+00   0.795409E-01
   0.999865E+00   0.820043E-01
   0.999864E+00   0.845439E-01
   0.999863E+00   0.871622E-01
   0.999861E+00   0.898616E-01
   0.999860E+00   0.926446E-01
   0.999859E+00   0.955138E-01
   0.999858E+00   0.984718E-01
   0.999856E+00   0.101521E+00
   0.999855E+00   0.104666E+00
   0.999853E+00   0.107907E+00
   0.999852E+00   0.111249E+00
   0.999850E+00   0.114694E+00
   0.999849E+00   0.118246E+00
   0.999847E+00   0.121908E+00
   0.999846E+00   0.125684E+00
   0.999844E+00   0.129576E+00
   0.999843E+00   0.133589E+00
   0.999841E+00   0.137726E+00
   0.999840E+00   0.141992E+00
   0.999838E+00   0.146389E+00
   0.999837E+00   0.150923E+00
   0.999835E+00   0.155597E+00
   0.999833E+00   0.160415E+00
   0.999832E+00   0.165383E+00
   0.999830E+00   0.170505E+00
   0.999829E+00   0.175786E+00
   0.999827E+00   0.181230E+00
   0.999826E+00   0.186843E+00
   0.999824E+00   0.192629E+00
   0.999823E+00   0.198595E+00
   0.999821E+00   0.204745E+00
   0.999820E+00   0.211086E+00
   0.999818E+00   0.217623E+00
   0.999817E+00   0.224363E+00
   0.999816E+00   0.231311E+00
   0.999814E+00   0.238475E+00
   0.999813E+00   0.245860E+00
   0.999812E+00   0.253475E+00
   0.999810E+00   0.261325E+00
   0.999809E+00   0.269418E+00
   0.999808E+00   0.277762E+00
   0.999806E+00   0.286364E+00
   0.999805E+00   0.295232E+00
   0.999804E+00   0.304376E+00
   0.999803E+00   0.313802E+00
   0.999802E+00   0.323521E+00
   0.999800E+00   0.333540E+00
   0.999799E+00   0.343869E+00
   0.999798E+00   0.354519E+00
   0.999797E+00   0.365498E+00
   0.999796E+00   0.376818E+00
   0.999795E+00   0.388488E+00
   0.999794E+00   0.400519E+00
   0.999793E+00   0.412923E+00
   0.999791E+00   0.425711E+00
   0.999790E+00   0.438895E+00
   0.999789E+00   0.452488E+00
   0.999788E+00   0.466501E+00
   0.999787E+00   0.480948E+00
   0.999785E+00   0.495843E+00
   0.999784E+00   0.511199E+00
   0.999783E+00   0.527031E+00
   0.999782E+00   0.543353E+00
   0.999780E+00   0.560180E+00
   0.999779E+00   0.577529E+00
   0.999777E+00   0.595415E+00
   0.999776E+00   0.613855E+00
   0.999774E+00   0.632866E+00
   0.999773E+00   0.652465E+00
   0.999771E+00   0.672672E+00
   0.999769E+00   0.693504E+00
   0.999767E+00   0.714982E+00
   0.999764E+00   0.737125E+00
   0.999762E+00   0.759953E+00
   0.999759E+00   0.783489E+00
   0.999756E+00   0.807753E+00
   0.999752E+00   0.832769E+00
   0.999748E+00   0.858560E+00
   0.999742E+00   0.885149E+00
   0.999737E+00   0.912562E+00
   0.999723E+00   0.940824E+00
   0.999726E+00   0.969961E+00
   0.999741E+00   0.100000E+01
