#Actuator Data by Phase
VARIABLES = "Phase(deg)","Disp(mm)","Pressure(psi)","Voltage"
 1.485577545E+02 3.392060101E-01 -1.102619991E-01 2.124900073E-01
 1.494592133E+02 3.292999864E-01 -1.166699976E-01 2.145249993E-01
 1.505189514E+02 3.147659898E-01 -1.219850034E-01 2.168869972E-01
 1.515038910E+02 3.014029860E-01 -1.293070018E-01 2.189680040E-01
 1.524961700E+02 2.903810143E-01 -1.351850033E-01 2.210420072E-01
 1.535334625E+02 2.776890099E-01 -1.410340071E-01 2.231300026E-01
 1.544961395E+02 2.662439942E-01 -1.458580047E-01 2.249740064E-01
 1.555346527E+02 2.547869980E-01 -1.514869928E-01 2.269459963E-01
 1.565231323E+02 2.430399954E-01 -1.568530053E-01 2.286780030E-01
 1.575051575E+02 2.323829979E-01 -1.614180058E-01 2.303899974E-01
 1.585899353E+02 2.169989944E-01 -1.664990038E-01 2.321940064E-01
 1.594999695E+02 2.069119960E-01 -1.693949997E-01 2.336200029E-01
 1.605079498E+02 1.925829947E-01 -1.740030050E-01 2.351579964E-01
 1.615023804E+02 1.821099967E-01 -1.773020029E-01 2.365649939E-01
 1.624965515E+02 1.686359942E-01 -1.808930039E-01 2.379399985E-01
 1.635351410E+02 1.542370021E-01 -1.852760017E-01 2.392870039E-01
 1.644385529E+02 1.427499950E-01 -1.866029948E-01 2.403679937E-01
 1.654782410E+02 1.317330003E-01 -1.928060055E-01 2.415920049E-01
 1.665065765E+02 1.183760017E-01 -1.961040050E-01 2.426590025E-01
 1.674884949E+02 1.026640013E-01 -2.009329945E-01 2.436520010E-01
 1.685056458E+02 8.913999796E-02 -2.072319984E-01 2.445890009E-01
 1.694712524E+02 7.518000156E-02 -2.110870034E-01 2.453929931E-01
 1.704743195E+02 6.052900106E-02 -2.208449990E-01 2.461889982E-01
 1.715375977E+02 4.682699963E-02 -2.315080017E-01 2.468940020E-01
 1.725242462E+02 3.082199953E-02 -2.463530004E-01 2.475199997E-01
 1.735152588E+02 1.479300018E-02 -2.588720024E-01 2.480449975E-01
 1.745171967E+02 2.133999951E-03 -2.664889991E-01 2.485000044E-01
 1.754824524E+02 -9.940999560E-03 -2.689749897E-01 2.488989979E-01
 1.764805756E+02 -2.449500002E-02 -2.711580098E-01 2.491690069E-01
 1.774401703E+02 -3.292400017E-02 -2.768659890E-01 2.494100034E-01
 1.784252625E+02 -4.317099974E-02 -2.848190069E-01 2.495529950E-01
 1.791147308E+02 -4.363299906E-02 -2.869620025E-01 2.494750023E-01
 1.801623383E+02 -6.300099939E-02 -3.045920134E-01 2.496519983E-01
 1.815229492E+02 -7.230699807E-02 -3.099280000E-01 2.495779991E-01
 1.825627594E+02 -9.249100089E-02 -3.233659863E-01 2.494090050E-01
 1.834831696E+02 -1.031939983E-01 -3.254959881E-01 2.492029965E-01
 1.845034485E+02 -1.196470037E-01 -3.325780034E-01 2.488940060E-01
 1.855545654E+02 -1.378709972E-01 -3.376300037E-01 2.484720051E-01
 1.864084625E+02 -1.472029984E-01 -3.499200046E-01 2.480819970E-01
 1.875072937E+02 -1.667799950E-01 -3.623130023E-01 2.474880069E-01
 1.884885406E+02 -1.790129989E-01 -3.706839979E-01 2.468850017E-01
 1.895021057E+02 -1.907510012E-01 -3.770110011E-01 2.461930066E-01
 1.904972229E+02 -2.075269967E-01 -3.824490011E-01 2.454210073E-01
 1.914140472E+02 -2.185029984E-01 -3.955309987E-01 2.446500063E-01
 1.924955902E+02 -2.337960005E-01 -4.089750051E-01 2.436739951E-01
 1.934494171E+02 -2.463019937E-01 -4.200020134E-01 2.427020073E-01
 1.945315857E+02 -2.570120096E-01 -4.262810051E-01 2.415589988E-01
 1.955038452E+02 -2.732580006E-01 -4.304820001E-01 2.404530048E-01
 1.964624786E+02 -2.828130126E-01 -4.402120113E-01 2.392700016E-01
 1.975367126E+02 -2.974779904E-01 -4.498479962E-01 2.378939986E-01
 1.984977875E+02 -3.104459941E-01 -4.600049853E-01 2.365660071E-01
 1.995192871E+02 -3.222579956E-01 -4.673950076E-01 2.351080030E-01
 2.004780426E+02 -3.372099996E-01 -4.735609889E-01 2.336589992E-01
 2.014803772E+02 -3.485800028E-01 -4.827300012E-01 2.320560068E-01
 2.025041656E+02 -3.639070094E-01 -4.927810133E-01 2.303840071E-01
 2.034708252E+02 -3.755829930E-01 -5.053930283E-01 2.287030071E-01
 2.044592590E+02 -3.901289999E-01 -5.191050172E-01 2.269240022E-01
 2.054624786E+02 -4.020079970E-01 -5.336310267E-01 2.250670046E-01
 2.065005493E+02 -4.156270027E-01 -5.469830036E-01 2.230409980E-01
 2.075211945E+02 -4.325290024E-01 -5.614439845E-01 2.210119963E-01
 2.084692230E+02 -4.408699870E-01 -5.744839907E-01 2.190289944E-01
 2.094668427E+02 -4.533010125E-01 -5.918120146E-01 2.168989927E-01
 2.104855347E+02 -4.675000012E-01 -6.097530127E-01 2.146590054E-01
 2.115041046E+02 -4.772109985E-01 -6.241490245E-01 2.123250067E-01
 2.125305939E+02 -4.915030003E-01 -6.381400228E-01 2.099329978E-01
 2.134669495E+02 -5.000889897E-01 -6.482310295E-01 2.076710016E-01
 2.144711151E+02 -5.119100213E-01 -6.614549756E-01 2.052010000E-01
 2.154838104E+02 -5.231249928E-01 -6.740679741E-01 2.026319951E-01
 2.165240173E+02 -5.332419872E-01 -6.835889816E-01 1.999190003E-01
 2.175460968E+02 -5.479620099E-01 -6.919519901E-01 1.972270012E-01
 2.185080109E+02 -5.547170043E-01 -6.966779828E-01 1.945829988E-01
 2.195017700E+02 -5.676890016E-01 -7.044619918E-01 1.918320060E-01
 2.204849396E+02 -5.773239732E-01 -7.129200101E-01 1.890330017E-01
 2.215232697E+02 -5.847399831E-01 -7.207069993E-01 1.860159934E-01
 2.225011902E+02 -6.001229882E-01 -7.258480191E-01 1.831530035E-01
 2.234744415E+02 -6.044579744E-01 -7.278760076E-01 1.801889986E-01
 2.245111694E+02 -6.164529920E-01 -7.277370095E-01 1.770180017E-01
 2.254859467E+02 -6.234589815E-01 -7.288079858E-01 1.739750057E-01
 2.265264587E+02 -6.293590069E-01 -7.287060022E-01 1.706510037E-01
 2.274880066E+02 -6.415370107E-01 -7.303959727E-01 1.675699949E-01
 2.285065308E+02 -6.458969712E-01 -7.298340201E-01 1.641930044E-01
 2.295408020E+02 -6.549699903E-01 -7.265200019E-01 1.607600003E-01
 2.304731598E+02 -6.603659987E-01 -7.227380276E-01 1.576019973E-01
 2.315130615E+02 -6.655399799E-01 -7.151389718E-01 1.540250033E-01
 2.324833984E+02 -6.756550074E-01 -7.112579942E-01 1.506630033E-01
 2.334859467E+02 -6.787359715E-01 -7.046489716E-01 1.471000016E-01
 2.345223541E+02 -6.864799857E-01 -6.990470290E-01 1.434089988E-01
 2.354821777E+02 -6.899430156E-01 -6.906030178E-01 1.399340034E-01
 2.364857178E+02 -6.946089864E-01 -6.811820269E-01 1.362580061E-01
 2.374692078E+02 -7.024729848E-01 -6.711099744E-01 1.326159984E-01
 2.385059509E+02 -7.057740092E-01 -6.605849862E-01 1.287160069E-01
 2.395303345E+02 -7.154260278E-01 -6.516550183E-01 1.248579994E-01
 2.405019684E+02 -7.158449888E-01 -6.385480165E-01 1.211190000E-01
 2.415038757E+02 -7.204949856E-01 -6.267259717E-01 1.172539964E-01
 2.424852142E+02 -7.262420058E-01 -6.125990152E-01 1.134240031E-01
 2.435320587E+02 -7.275599837E-01 -5.996040106E-01 1.092969999E-01
 2.445313873E+02 -7.355440259E-01 -5.893089771E-01 1.053460017E-01
 2.454889984E+02 -7.347620130E-01 -5.763469934E-01 1.014799997E-01
 2.464881287E+02 -7.396129966E-01 -5.631830096E-01 9.747199714E-02
 2.474830017E+02 -7.426890135E-01 -5.473080277E-01 9.341300279E-02
 2.485315552E+02 -7.424089909E-01 -5.297160149E-01 8.910900354E-02
 2.494939575E+02 -7.510100007E-01 -5.189239979E-01 8.517099917E-02
 2.504735870E+02 -7.482380271E-01 -5.040689707E-01 8.106499910E-02
 2.515220490E+02 -7.523049712E-01 -4.900119901E-01 7.671000063E-02
 2.524996948E+02 -7.541469932E-01 -4.799149930E-01 7.259000093E-02
 2.535171967E+02 -7.531819940E-01 -4.656090140E-01 6.828500330E-02
 2.544886627E+02 -7.592960000E-01 -4.585739970E-01 6.417799741E-02
 2.554750671E+02 -7.579879761E-01 -4.484989941E-01 5.994100124E-02
 2.565204773E+02 -7.619580030E-01 -4.394389987E-01 5.547999963E-02
 2.574986267E+02 -7.626309991E-01 -4.347729981E-01 5.125200003E-02
 2.584982300E+02 -7.614830136E-01 -4.233199954E-01 4.693600163E-02
 2.595054626E+02 -7.660059929E-01 -4.185490012E-01 4.257699847E-02
 2.605156860E+02 -7.628710270E-01 -4.092949927E-01 3.815799952E-02
 2.615169373E+02 -7.664620280E-01 -4.035809934E-01 3.381700069E-02
 2.624953308E+02 -7.651550174E-01 -3.979020119E-01 2.951399982E-02
 2.635047607E+02 -7.631300092E-01 -3.892140090E-01 2.509699948E-02
 2.645096436E+02 -7.666990161E-01 -3.818329871E-01 2.067399956E-02
 2.655289612E+02 -7.638480067E-01 -3.701100051E-01 1.617800072E-02
 2.665138245E+02 -7.655479908E-01 -3.616279960E-01 1.186200045E-02
 2.674846497E+02 -7.631430030E-01 -3.522079885E-01 7.550999988E-03
 2.684812012E+02 -7.627900243E-01 -3.449530005E-01 3.167999908E-03
 2.694924011E+02 -7.627840042E-01 -3.344889879E-01 -1.321000047E-03
 2.705622253E+02 -7.606430054E-01 -3.216849864E-01 -6.039999891E-03
 2.714823914E+02 -7.624909878E-01 -3.132790029E-01 -1.008700021E-02
 2.724765625E+02 -7.579450011E-01 -3.011910021E-01 -1.450700033E-02
