VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2000, x=0.75"
 7.500000000E-01 5.107971281E-02 4.834421158E+01
 7.500000000E-01 5.110171810E-02 4.893554688E+01
 7.500000000E-01 5.112416670E-02 4.952840424E+01
 7.500000000E-01 5.114707351E-02 5.012281799E+01
 7.500000000E-01 5.117044970E-02 5.071865845E+01
 7.500000000E-01 5.119429901E-02 5.131574249E+01
 7.500000000E-01 5.121863633E-02 5.191387558E+01
 7.500000000E-01 5.124346912E-02 5.251293182E+01
 7.500000000E-01 5.126880854E-02 5.311284637E+01
 7.500000000E-01 5.129466206E-02 5.371322250E+01
 7.500000000E-01 5.132104084E-02 5.431393433E+01
 7.500000000E-01 5.134795979E-02 5.491497421E+01
 7.500000000E-01 5.137542635E-02 5.551601410E+01
 7.500000000E-01 5.140345171E-02 5.611685562E+01
 7.500000000E-01 5.143205076E-02 5.671738434E+01
 7.500000000E-01 5.146122724E-02 5.731729889E+01
 7.500000000E-01 5.149100348E-02 5.791653061E+01
 7.500000000E-01 5.152138323E-02 5.851473999E+01
 7.500000000E-01 5.155238137E-02 5.911174774E+01
 7.500000000E-01 5.158401281E-02 5.970734406E+01
 7.500000000E-01 5.161628872E-02 6.030133057E+01
 7.500000000E-01 5.164922029E-02 6.089345169E+01
 7.500000000E-01 5.168282241E-02 6.148346710E+01
 7.500000000E-01 5.171710998E-02 6.207114410E+01
 7.500000000E-01 5.175209790E-02 6.265627670E+01
 7.500000000E-01 5.178779736E-02 6.323852921E+01
 7.500000000E-01 5.182422325E-02 6.381771469E+01
 7.500000000E-01 5.186139047E-02 6.439351654E+01
 7.500000000E-01 5.189931393E-02 6.496568298E+01
 7.500000000E-01 5.193801224E-02 6.553396606E+01
 7.500000000E-01 5.197750032E-02 6.609806061E+01
 7.500000000E-01 5.201778933E-02 6.665767670E+01
 7.500000000E-01 5.205890164E-02 6.721254730E+01
 7.500000000E-01 5.210085213E-02 6.776232147E+01
 7.500000000E-01 5.214365572E-02 6.830668640E+01
 7.500000000E-01 5.218733102E-02 6.884536743E+01
 7.500000000E-01 5.223189294E-02 6.937795258E+01
 7.500000000E-01 5.227736756E-02 6.990420532E+01
 7.500000000E-01 5.232376605E-02 7.042369843E+01
 7.500000000E-01 5.237111077E-02 7.093612671E+01
 7.500000000E-01 5.241942033E-02 7.144107819E+01
 7.500000000E-01 5.246871337E-02 7.193815613E+01
 7.500000000E-01 5.251901224E-02 7.242697906E+01
 7.500000000E-01 5.257033557E-02 7.290715027E+01
 7.500000000E-01 5.262270197E-02 7.337821198E+01
 7.500000000E-01 5.267613754E-02 7.383975220E+01
 7.500000000E-01 5.273066089E-02 7.429128265E+01
 7.500000000E-01 5.278629437E-02 7.473232269E+01
 7.500000000E-01 5.284306034E-02 7.516236877E+01
 7.500000000E-01 5.290098488E-02 7.558091736E+01
 7.500000000E-01 5.296008661E-02 7.598739624E+01
 7.500000000E-01 5.302039534E-02 7.638127136E+01
 7.500000000E-01 5.308193341E-02 7.676191711E+01
 7.500000000E-01 5.314472318E-02 7.712870789E+01
 7.500000000E-01 5.320879072E-02 7.748099518E+01
 7.500000000E-01 5.327416584E-02 7.781808472E+01
 7.500000000E-01 5.334087461E-02 7.813926697E+01
 7.500000000E-01 5.340893939E-02 7.844375610E+01
 7.500000000E-01 5.347838998E-02 7.873076630E+01
 7.500000000E-01 5.354925618E-02 7.899945068E+01
 7.500000000E-01 5.362156779E-02 7.924893188E+01
 7.500000000E-01 5.369535089E-02 7.947827148E+01
 7.500000000E-01 5.377063900E-02 7.968649292E+01
 7.500000000E-01 5.384745821E-02 7.987254333E+01
 7.500000000E-01 5.392584577E-02 8.003534698E+01
 7.500000000E-01 5.400582775E-02 8.017375946E+01
 7.500000000E-01 5.408744141E-02 8.028656006E+01
 7.500000000E-01 5.417071283E-02 8.037246704E+01
 7.500000000E-01 5.425568670E-02 8.043016052E+01
 7.500000000E-01 5.434238911E-02 8.045820618E+01
 7.500000000E-01 5.443085730E-02 8.045513153E+01
 7.500000000E-01 5.452112854E-02 8.041938019E+01
 7.500000000E-01 5.461324006E-02 8.034929657E+01
 7.500000000E-01 5.470722541E-02 8.024317169E+01
 7.500000000E-01 5.480312556E-02 8.009918213E+01
 7.500000000E-01 5.490098149E-02 7.991544342E+01
 7.500000000E-01 5.500083044E-02 7.968996429E+01
 7.500000000E-01 5.510271341E-02 7.942067719E+01
 7.500000000E-01 5.520667136E-02 7.910540009E+01
 7.500000000E-01 5.531274900E-02 7.874185944E+01
 7.500000000E-01 5.542098731E-02 7.832769775E+01
 7.500000000E-01 5.553143099E-02 7.786044312E+01
 7.500000000E-01 5.564412102E-02 7.733753967E+01
 7.500000000E-01 5.575910956E-02 7.675629425E+01
 7.500000000E-01 5.587644130E-02 7.611392975E+01
 7.500000000E-01 5.599616468E-02 7.540759277E+01
 7.500000000E-01 5.611832440E-02 7.463431549E+01
 7.500000000E-01 5.624297261E-02 7.379101562E+01
 7.500000000E-01 5.637016147E-02 7.287451935E+01
 7.500000000E-01 5.649994314E-02 7.188155365E+01
 7.500000000E-01 5.663236603E-02 7.080879211E+01
 7.500000000E-01 5.676748976E-02 6.965273285E+01
 7.500000000E-01 5.690536276E-02 6.840996552E+01
 7.500000000E-01 5.704604834E-02 6.707679749E+01
 7.500000000E-01 5.718959868E-02 6.564965057E+01
 7.500000000E-01 5.733607337E-02 6.412480164E+01
 7.500000000E-01 5.748553202E-02 6.249854279E+01
 7.500000000E-01 5.763803422E-02 6.076713943E+01
 7.500000000E-01 5.779364333E-02 5.892684937E+01
 7.500000000E-01 5.795242637E-02 5.697395325E+01
 7.500000000E-01 5.811443925E-02 5.490488052E+01
 7.500000000E-01 5.827975646E-02 5.271602631E+01
 7.500000000E-01 5.844844133E-02 5.040407944E+01
 7.500000000E-01 5.862056091E-02 4.796587372E+01
 7.500000000E-01 5.879618600E-02 4.539850616E+01
 7.500000000E-01 5.897539482E-02 4.269929886E+01
 7.500000000E-01 5.915825069E-02 3.986625290E+01
 7.500000000E-01 5.934483185E-02 3.689758682E+01
 7.500000000E-01 5.953521281E-02 3.379206467E+01
 7.500000000E-01 5.972947553E-02 3.054874802E+01
 7.500000000E-01 5.992769450E-02 2.716665840E+01
 7.500000000E-01 6.012995169E-02 2.364338112E+01
 7.500000000E-01 6.033632904E-02 1.997258568E+01
 7.500000000E-01 6.054691225E-02 1.613967133E+01
 7.500000000E-01 6.076178327E-02 1.212641621E+01
 7.500000000E-01 6.098103523E-02 8.003537178E+00
 7.500000000E-01 6.120475009E-02 4.235473156E+00
 7.500000000E-01 6.143302470E-02 1.696701646E+00
 7.500000000E-01 6.166595221E-02 6.027213335E-01
 7.500000000E-01 6.190362200E-02 2.909089923E-01
 7.500000000E-01 6.214613467E-02 2.127755284E-01
 7.500000000E-01 6.239358708E-02 1.924443394E-01
 7.500000000E-01 6.264608353E-02 1.872737706E-01
 7.500000000E-01 6.290372461E-02 1.863083541E-01
 7.500000000E-01 6.316661090E-02 1.865181178E-01
 7.500000000E-01 6.343485415E-02 1.870437711E-01
 7.500000000E-01 6.370855868E-02 1.876414269E-01
 7.500000000E-01 6.398784369E-02 1.882428825E-01
 7.500000000E-01 6.427282095E-02 1.888297051E-01
 7.500000000E-01 6.456360221E-02 1.893974543E-01
 7.500000000E-01 6.486030668E-02 1.899455488E-01
 7.500000000E-01 6.516305357E-02 1.904743463E-01
 7.500000000E-01 6.547196954E-02 1.909845024E-01
 7.500000000E-01 6.578718126E-02 1.914766729E-01
 7.500000000E-01 6.610881537E-02 1.919515431E-01
 7.500000000E-01 6.643699855E-02 1.924097240E-01
 7.500000000E-01 6.677187234E-02 1.928518862E-01
 7.500000000E-01 6.711356342E-02 1.932786256E-01
 7.500000000E-01 6.746221334E-02 1.936904937E-01
 7.500000000E-01 6.781797111E-02 1.940881014E-01
 7.500000000E-01 6.818097830E-02 1.944719851E-01
 7.500000000E-01 6.855138391E-02 1.948426664E-01
 7.500000000E-01 6.892932951E-02 1.952006519E-01
 7.500000000E-01 6.931497902E-02 1.955464333E-01
 7.500000000E-01 6.970848143E-02 1.958804876E-01
 7.500000000E-01 7.011000067E-02 1.962032616E-01
 7.500000000E-01 7.051970065E-02 1.965152174E-01
 7.500000000E-01 7.093774527E-02 1.968167722E-01
 7.500000000E-01 7.136431336E-02 1.971083283E-01
 7.500000000E-01 7.179956883E-02 1.973902881E-01
 7.500000000E-01 7.224369049E-02 1.976630241E-01
 7.500000000E-01 7.269686460E-02 1.979268938E-01
 7.500000000E-01 7.315926254E-02 1.981822699E-01
 7.500000000E-01 7.363108546E-02 1.984294951E-01
 7.500000000E-01 7.411251962E-02 1.986688823E-01
 7.500000000E-01 7.460376620E-02 1.989007592E-01
 7.500000000E-01 7.510501891E-02 1.991254091E-01
 7.500000000E-01 7.561648637E-02 1.993431449E-01
 7.500000000E-01 7.613836974E-02 1.995542347E-01
 7.500000000E-01 7.667088509E-02 1.997589618E-01
 7.500000000E-01 7.721424848E-02 1.999575645E-01
 7.500000000E-01 7.776868343E-02 2.001503110E-01
 7.500000000E-01 7.833441347E-02 2.003374398E-01
 7.500000000E-01 7.891167700E-02 2.005191743E-01
 7.500000000E-01 7.950069010E-02 2.006957382E-01
 7.500000000E-01 8.010170609E-02 2.008673549E-01
 7.500000000E-01 8.071497083E-02 2.010342181E-01
 7.500000000E-01 8.134072274E-02 2.011965364E-01
 7.500000000E-01 8.197923005E-02 2.013544887E-01
 7.500000000E-01 8.263073862E-02 2.015082538E-01
 7.500000000E-01 8.329552412E-02 2.016580254E-01
 7.500000000E-01 8.397385478E-02 2.018039525E-01
 7.500000000E-01 8.466600627E-02 2.019462138E-01
 7.500000000E-01 8.537225425E-02 2.020849437E-01
 7.500000000E-01 8.609288931E-02 2.022203058E-01
 7.500000000E-01 8.682820946E-02 2.023524195E-01
 7.500000000E-01 8.757851273E-02 2.024814636E-01
 7.500000000E-01 8.834409714E-02 2.026075423E-01
 7.500000000E-01 8.912528306E-02 2.027307749E-01
 7.500000000E-01 8.992238343E-02 2.028512955E-01
 7.500000000E-01 9.073571861E-02 2.029692084E-01
 7.500000000E-01 9.156563133E-02 2.030846328E-01
 7.500000000E-01 9.241244197E-02 2.031976581E-01
 7.500000000E-01 9.327650815E-02 2.033084184E-01
 7.500000000E-01 9.415818006E-02 2.034169734E-01
 7.500000000E-01 9.505781531E-02 2.035234421E-01
 7.500000000E-01 9.597577900E-02 2.036278993E-01
 7.500000000E-01 9.691244364E-02 2.037304342E-01
 7.500000000E-01 9.786818922E-02 2.038311362E-01
 7.500000000E-01 9.884340316E-02 2.039300650E-01
 7.500000000E-01 9.983849525E-02 2.040272951E-01
 7.500000000E-01 1.008538529E-01 2.041229159E-01
 7.500000000E-01 1.018898934E-01 2.042169720E-01
 7.500000000E-01 1.029470488E-01 2.043095529E-01
 7.500000000E-01 1.040257365E-01 2.044006884E-01
 7.500000000E-01 1.051264033E-01 2.044904530E-01
 7.500000000E-01 1.062494889E-01 2.045789063E-01
 7.500000000E-01 1.073954627E-01 2.046660930E-01
 7.500000000E-01 1.085647792E-01 2.047520578E-01
 7.500000000E-01 1.097579151E-01 2.048368603E-01
 7.500000000E-01 1.109753624E-01 2.049205303E-01
 7.500000000E-01 1.122176126E-01 2.050031275E-01
 7.500000000E-01 1.134851724E-01 2.050846815E-01
 7.500000000E-01 1.147785485E-01 2.051652223E-01
 7.500000000E-01 1.160982847E-01 2.052447945E-01
 7.500000000E-01 1.174449027E-01 2.053234279E-01
 7.500000000E-01 1.188189536E-01 2.054011673E-01
 7.500000000E-01 1.202210039E-01 2.054780275E-01
 7.500000000E-01 1.216516122E-01 2.055540383E-01
 7.500000000E-01 1.231113747E-01 2.056292295E-01
 7.500000000E-01 1.246008649E-01 2.057036310E-01
 7.500000000E-01 1.261207163E-01 2.057772577E-01
 7.500000000E-01 1.276715100E-01 2.058501095E-01
 7.500000000E-01 1.292539090E-01 2.059222460E-01
 7.500000000E-01 1.308685541E-01 2.059936672E-01
 7.500000000E-01 1.325160861E-01 2.060643882E-01
 7.500000000E-01 1.341971904E-01 2.061344236E-01
 7.500000000E-01 1.359125376E-01 2.062037885E-01
 7.500000000E-01 1.376628280E-01 2.062725127E-01
 7.500000000E-01 1.394487768E-01 2.063405663E-01
 7.500000000E-01 1.412711143E-01 2.064080089E-01
 7.500000000E-01 1.431305856E-01 2.064748257E-01
 7.500000000E-01 1.450279355E-01 2.065410167E-01
 7.500000000E-01 1.469639242E-01 2.066065967E-01
 7.500000000E-01 1.489393711E-01 2.066715807E-01
 7.500000000E-01 1.509550661E-01 2.067359835E-01
 7.500000000E-01 1.530118138E-01 2.067997903E-01
 7.500000000E-01 1.551104784E-01 2.068630010E-01
 7.500000000E-01 1.572518945E-01 2.069256455E-01
 7.500000000E-01 1.594369262E-01 2.069876939E-01
 7.500000000E-01 1.616664827E-01 2.070491761E-01
 7.500000000E-01 1.639414728E-01 2.071100920E-01
 7.500000000E-01 1.662627906E-01 2.071704119E-01
 7.500000000E-01 1.686314195E-01 2.072301805E-01
 7.500000000E-01 1.710482836E-01 2.072893679E-01
 7.500000000E-01 1.735143960E-01 2.073479742E-01
 7.500000000E-01 1.760307550E-01 2.074060142E-01
 7.500000000E-01 1.785983741E-01 2.074634731E-01
 7.500000000E-01 1.812183112E-01 2.075203508E-01
 7.500000000E-01 1.838916242E-01 2.075766623E-01
 7.500000000E-01 1.866193861E-01 2.076323777E-01
 7.500000000E-01 1.894027293E-01 2.076875120E-01
 7.500000000E-01 1.922427863E-01 2.077420652E-01
 7.500000000E-01 1.951406896E-01 2.077960372E-01
 7.500000000E-01 1.980976462E-01 2.078493983E-01
 7.500000000E-01 2.011148334E-01 2.079021633E-01
 7.500000000E-01 2.041934878E-01 2.079543471E-01
 7.500000000E-01 2.073348761E-01 2.080059201E-01
 7.500000000E-01 2.105402499E-01 2.080568820E-01
 7.500000000E-01 2.138109356E-01 2.081072479E-01
 7.500000000E-01 2.171482444E-01 2.081569880E-01
 7.500000000E-01 2.205535620E-01 2.082061172E-01
 7.500000000E-01 2.240282446E-01 2.082546204E-01
 7.500000000E-01 2.275737077E-01 2.083024979E-01
 7.500000000E-01 2.311914265E-01 2.083497643E-01
 7.500000000E-01 2.348828316E-01 2.083963901E-01
 7.500000000E-01 2.386494428E-01 2.084423900E-01
 7.500000000E-01 2.424927950E-01 2.084877640E-01
 7.500000000E-01 2.464144379E-01 2.085324824E-01
 7.500000000E-01 2.504159808E-01 2.085765749E-01
 7.500000000E-01 2.544990480E-01 2.086200118E-01
 7.500000000E-01 2.586653233E-01 2.086628228E-01
 7.500000000E-01 2.629164457E-01 2.087049782E-01
 7.500000000E-01 2.672542036E-01 2.087464929E-01
 7.500000000E-01 2.716802955E-01 2.087873518E-01
 7.500000000E-01 2.761965990E-01 2.088275552E-01
 7.500000000E-01 2.808049023E-01 2.088671178E-01
 7.500000000E-01 2.855070829E-01 2.089060247E-01
 7.500000000E-01 2.903050482E-01 2.089442909E-01
 7.500000000E-01 2.952007949E-01 2.089819014E-01
 7.500000000E-01 3.001962602E-01 2.090188563E-01
 7.500000000E-01 3.052935004E-01 2.090551704E-01
