VARIABLES = "X","Y","Z","cp"
 9.904208779E-01 -5.000000000E-01 4.582770541E-02 -5.212119818E-01
ZONE T="CFL3D, grid 4"
 6.904208660E-01 0.000000000E+00 4.582770541E-02 -4.544166028E-01
 6.908554435E-01 -6.250000000E-02 4.582770541E-02 -4.444721639E-01
 6.968548298E-01 -1.250000000E-01 4.582770541E-02 -4.265907705E-01
 7.190018296E-01 -1.875000000E-01 4.582770541E-02 -4.241541326E-01
 7.654208541E-01 -2.500000000E-01 4.582770541E-02 -4.391077459E-01
 8.338068724E-01 -3.125000000E-01 4.582770541E-02 -4.538372457E-01
 9.089868665E-01 -3.750000000E-01 4.582770541E-02 -4.707101285E-01
 9.680193067E-01 -4.375000000E-01 4.582770541E-02 -4.962590635E-01
 9.904208779E-01 -5.000000000E-01 4.582770541E-02 -5.102113485E-01
