VARIABLES = "X","Y","Z","mut"
ZONE T="CFL3D, grid 1"
 1.207912207E+00 -1.250000000E-01 1.699821325E-03 7.117502594E+01
 1.207912207E+00 -1.250000000E-01 1.734455349E-03 7.258541107E+01
 1.207912207E+00 -1.250000000E-01 1.769794966E-03 7.402017975E+01
 1.207912207E+00 -1.250000000E-01 1.805854496E-03 7.547949219E+01
 1.207912207E+00 -1.250000000E-01 1.842648489E-03 7.696347809E+01
 1.207912207E+00 -1.250000000E-01 1.880192081E-03 7.847225952E+01
 1.207912207E+00 -1.250000000E-01 1.918500522E-03 8.000594330E+01
 1.207912207E+00 -1.250000000E-01 1.957589295E-03 8.156458282E+01
 1.207912207E+00 -1.250000000E-01 1.997474348E-03 8.314823151E+01
 1.207912207E+00 -1.250000000E-01 2.038171981E-03 8.475691986E+01
 1.207912207E+00 -1.250000000E-01 2.079698723E-03 8.639064026E+01
 1.207912207E+00 -1.250000000E-01 2.122071339E-03 8.804935455E+01
 1.207912207E+00 -1.250000000E-01 2.165307058E-03 8.973298645E+01
 1.207912207E+00 -1.250000000E-01 2.209423808E-03 9.144147491E+01
 1.207912207E+00 -1.250000000E-01 2.254439052E-03 9.317465210E+01
 1.207912207E+00 -1.250000000E-01 2.300371416E-03 9.493238831E+01
 1.207912207E+00 -1.250000000E-01 2.347239526E-03 9.671446991E+01
 1.207912207E+00 -1.250000000E-01 2.395062475E-03 9.852068329E+01
 1.207912207E+00 -1.250000000E-01 2.443859586E-03 1.003507309E+02
 1.207912207E+00 -1.250000000E-01 2.493650885E-03 1.022043304E+02
 1.207912207E+00 -1.250000000E-01 2.544456394E-03 1.040811310E+02
 1.207912207E+00 -1.250000000E-01 2.596297069E-03 1.059807434E+02
 1.207912207E+00 -1.250000000E-01 2.649193862E-03 1.079027481E+02
 1.207912207E+00 -1.250000000E-01 2.703167964E-03 1.098466644E+02
 1.207912207E+00 -1.250000000E-01 2.758241957E-03 1.118120041E+02
 1.207912207E+00 -1.250000000E-01 2.814437728E-03 1.137982025E+02
 1.207912207E+00 -1.250000000E-01 2.871778561E-03 1.158046722E+02
 1.207912207E+00 -1.250000000E-01 2.930287272E-03 1.178307571E+02
 1.207912207E+00 -1.250000000E-01 2.989988076E-03 1.198757935E+02
 1.207912207E+00 -1.250000000E-01 3.050905187E-03 1.219390488E+02
 1.207912207E+00 -1.250000000E-01 3.113063052E-03 1.240197372E+02
 1.207912207E+00 -1.250000000E-01 3.176487517E-03 1.261170578E+02
 1.207912207E+00 -1.250000000E-01 3.241203958E-03 1.282301178E+02
 1.207912207E+00 -1.250000000E-01 3.307238920E-03 1.303580322E+02
 1.207912207E+00 -1.250000000E-01 3.374618944E-03 1.324998016E+02
 1.207912207E+00 -1.250000000E-01 3.443371970E-03 1.346544342E+02
 1.207912207E+00 -1.250000000E-01 3.513525473E-03 1.368208618E+02
 1.207912207E+00 -1.250000000E-01 3.585108090E-03 1.389979401E+02
 1.207912207E+00 -1.250000000E-01 3.658149159E-03 1.411845551E+02
 1.207912207E+00 -1.250000000E-01 3.732678248E-03 1.433794403E+02
 1.207912207E+00 -1.250000000E-01 3.808725858E-03 1.455813446E+02
 1.207912207E+00 -1.250000000E-01 3.886322491E-03 1.477889099E+02
 1.207912207E+00 -1.250000000E-01 3.965499811E-03 1.500007324E+02
 1.207912207E+00 -1.250000000E-01 4.046290647E-03 1.522153778E+02
