VARIABLES = "X","Y","mut"
ZONE T="CFL3D"
 7.500000000E-01 5.023491383E-02 9.939868927E+00
 7.500000000E-01 5.023972690E-02 1.018653965E+01
 7.500000000E-01 5.024463683E-02 1.043743992E+01
 7.500000000E-01 5.024965107E-02 1.069258976E+01
 7.500000000E-01 5.025476217E-02 1.095203018E+01
 7.500000000E-01 5.025997013E-02 1.121578979E+01
 7.500000000E-01 5.026528984E-02 1.148390961E+01
 7.500000000E-01 5.027072132E-02 1.175642014E+01
 7.500000000E-01 5.027624965E-02 1.203335953E+01
 7.500000000E-01 5.028190464E-02 1.231474018E+01
 7.500000000E-01 5.028767139E-02 1.260060978E+01
 7.500000000E-01 5.029354990E-02 1.289099026E+01
 7.500000000E-01 5.029955506E-02 1.318591022E+01
 7.500000000E-01 5.030567944E-02 1.348540974E+01
 7.500000000E-01 5.031192303E-02 1.378952026E+01
 7.500000000E-01 5.031830072E-02 1.409825993E+01
 7.500000000E-01 5.032479763E-02 1.441166973E+01
 7.500000000E-01 5.033143610E-02 1.472978020E+01
 7.500000000E-01 5.033820868E-02 1.505261993E+01
 7.500000000E-01 5.034511536E-02 1.538020992E+01
 7.500000000E-01 5.035216361E-02 1.571257973E+01
 7.500000000E-01 5.035935342E-02 1.604976082E+01
 7.500000000E-01 5.036669225E-02 1.639175987E+01
 7.500000000E-01 5.037418008E-02 1.673863029E+01
 7.500000000E-01 5.038182437E-02 1.709037018E+01
 7.500000000E-01 5.038961768E-02 1.744701958E+01
 7.500000000E-01 5.039756745E-02 1.780858994E+01
 7.500000000E-01 5.040568113E-02 1.817510986E+01
 7.500000000E-01 5.041396618E-02 1.854659081E+01
 7.500000000E-01 5.042241514E-02 1.892304039E+01
 7.500000000E-01 5.043102801E-02 1.930450058E+01
 7.500000000E-01 5.043982714E-02 1.969098091E+01
 7.500000000E-01 5.044880509E-02 2.008247948E+01
 7.500000000E-01 5.045795441E-02 2.047903061E+01
 7.500000000E-01 5.046729743E-02 2.088064003E+01
 7.500000000E-01 5.047683418E-02 2.128731918E+01
 7.500000000E-01 5.048656464E-02 2.169908905E+01
 7.500000000E-01 5.049648881E-02 2.211595917E+01
 7.500000000E-01 5.050661415E-02 2.253792953E+01
 7.500000000E-01 5.051694810E-02 2.296501923E+01
 7.500000000E-01 5.052749068E-02 2.339723969E+01
 7.500000000E-01 5.053824186E-02 2.383459091E+01
 7.500000000E-01 5.054922402E-02 2.427709007E+01
 7.500000000E-01 5.056042224E-02 2.472475052E+01
 7.500000000E-01 5.057185143E-02 2.517756081E+01
 7.500000000E-01 5.058351159E-02 2.563554955E+01
 7.500000000E-01 5.059541017E-02 2.609870911E+01
 7.500000000E-01 5.060754716E-02 2.656706047E+01
 7.500000000E-01 5.061994493E-02 2.704060936E+01
 7.500000000E-01 5.063258111E-02 2.751935959E+01
 7.500000000E-01 5.064547062E-02 2.800333023E+01
 7.500000000E-01 5.065863580E-02 2.849251938E+01
 7.500000000E-01 5.067206174E-02 2.898694992E+01
 7.500000000E-01 5.068576336E-02 2.948662949E+01
 7.500000000E-01 5.069974065E-02 2.999157906E+01
 7.500000000E-01 5.071400851E-02 3.050180054E+01
 7.500000000E-01 5.072855949E-02 3.101733017E+01
 7.500000000E-01 5.074341595E-02 3.153817940E+01
 7.500000000E-01 5.075857043E-02 3.206436920E+01
 7.500000000E-01 5.077403039E-02 3.259592819E+01
 7.500000000E-01 5.078980327E-02 3.313288879E+01
 7.500000000E-01 5.080591142E-02 3.367528915E+01
 7.500000000E-01 5.082233250E-02 3.422314835E+01
 7.500000000E-01 5.083909631E-02 3.477653122E+01
 7.500000000E-01 5.085619539E-02 3.533546066E+01
 7.500000000E-01 5.087364465E-02 3.590000916E+01
 7.500000000E-01 5.089145154E-02 3.647021866E+01
 7.500000000E-01 5.090962350E-02 3.704616928E+01
 7.500000000E-01 5.092816055E-02 3.762791061E+01
 7.500000000E-01 5.094707012E-02 3.821554184E+01
 7.500000000E-01 5.096637458E-02 3.880913162E+01
 7.500000000E-01 5.098606646E-02 3.940877914E+01
 7.500000000E-01 5.100616813E-02 4.001457977E+01
 7.500000000E-01 5.102667212E-02 4.062667084E+01
 7.500000000E-01 5.104759336E-02 4.124515152E+01
 7.500000000E-01 5.106893927E-02 4.187015915E+01
 7.500000000E-01 5.109071732E-02 4.250183868E+01
 7.500000000E-01 5.111294985E-02 4.314035034E+01
 7.500000000E-01 5.113562942E-02 4.378585815E+01
 7.500000000E-01 5.115877092E-02 4.443854904E+01
 7.500000000E-01 5.118238181E-02 4.509862137E+01
 7.500000000E-01 5.120646954E-02 4.576626968E+01
 7.500000000E-01 5.123105645E-02 4.644173813E+01
 7.500000000E-01 5.125615001E-02 4.712525940E+01
 7.500000000E-01 5.128173530E-02 4.781710052E+01
 7.500000000E-01 5.130785704E-02 4.851752853E+01
 7.500000000E-01 5.133450776E-02 4.922684097E+01
 7.500000000E-01 5.136169493E-02 4.994533157E+01
 7.500000000E-01 5.138944089E-02 5.067335129E+01
 7.500000000E-01 5.141775310E-02 5.141122055E+01
 7.500000000E-01 5.144664645E-02 5.215932846E+01
 7.500000000E-01 5.147612095E-02 5.291804886E+01
 7.500000000E-01 5.150619894E-02 5.368778992E+01
 7.500000000E-01 5.153688788E-02 5.446895981E+01
 7.500000000E-01 5.156820267E-02 5.526200104E+01
 7.500000000E-01 5.160015821E-02 5.606737900E+01
 7.500000000E-01 5.163276196E-02 5.688555145E+01
 7.500000000E-01 5.166602880E-02 5.771701813E+01
 7.500000000E-01 5.169997364E-02 5.856227112E+01
 7.500000000E-01 5.173461139E-02 5.942184067E+01
 7.500000000E-01 5.176995695E-02 6.029624176E+01
 7.500000000E-01 5.180601776E-02 6.118600845E+01
 7.500000000E-01 5.184280872E-02 6.209170151E+01
 7.500000000E-01 5.188035965E-02 6.301385117E+01
 7.500000000E-01 5.191867054E-02 6.395301056E+01
 7.500000000E-01 5.195776373E-02 6.490972900E+01
 7.500000000E-01 5.199765414E-02 6.588453674E+01
