# k-kL-MEAH2015 nondim kL and k at x=29.2468
VARIABLES = "y","kL_nondim","k_nondim"
ZONE T="CFL3D, x=29.2468"
 1.078064203E+00 3.411931992E+01 1.462996355E-03
 1.081111312E+00 3.401174164E+01 1.458824612E-03
 1.084257126E+00 3.389979935E+01 1.454488025E-03
 1.087505102E+00 3.378328323E+01 1.449979027E-03
 1.090858459E+00 3.366200256E+01 1.445290167E-03
 1.094321012E+00 3.353572845E+01 1.440413063E-03
 1.097896338E+00 3.340423203E+01 1.435339451E-03
 1.101588488E+00 3.326727295E+01 1.430060016E-03
 1.105401278E+00 3.312460327E+01 1.424565678E-03
 1.109338760E+00 3.297595596E+01 1.418846543E-03
 1.113405347E+00 3.282105637E+01 1.412892481E-03
 1.117605448E+00 3.265961075E+01 1.406692434E-03
 1.121943355E+00 3.249132538E+01 1.400235458E-03
 1.126424074E+00 3.231587219E+01 1.393509214E-03
 1.131052375E+00 3.213292313E+01 1.386501594E-03
 1.135833144E+00 3.194213867E+01 1.379199675E-03
 1.140771747E+00 3.174314690E+01 1.371589606E-03
 1.145873427E+00 3.153557587E+01 1.363657298E-03
 1.151143789E+00 3.131903076E+01 1.355387736E-03
 1.156588554E+00 3.109309196E+01 1.346765086E-03
 1.162213683E+00 3.085733604E+01 1.337773283E-03
 1.168025374E+00 3.061130524E+01 1.328394748E-03
 1.174029827E+00 3.035453987E+01 1.318611903E-03
 1.180233836E+00 3.008654404E+01 1.308405539E-03
 1.186643958E+00 2.980682373E+01 1.297756564E-03
 1.193267107E+00 2.951485443E+01 1.286644605E-03
 1.200110912E+00 2.921007538E+01 1.275047660E-03
 1.207182527E+00 2.889194298E+01 1.262943959E-03
 1.214489937E+00 2.855985641E+01 1.250309870E-03
 1.222041011E+00 2.821322441E+01 1.237121527E-03
 1.229843974E+00 2.785142899E+01 1.223353902E-03
 1.237907529E+00 2.747382736E+01 1.208980684E-03
 1.246240377E+00 2.707977295E+01 1.193974866E-03
 1.254851818E+00 2.666858864E+01 1.178308041E-03
 1.263751268E+00 2.623960114E+01 1.161951572E-03
 1.272948623E+00 2.579211426E+01 1.144874841E-03
 1.282453656E+00 2.532544136E+01 1.127047697E-03
 1.292277098E+00 2.483887291E+01 1.108438126E-03
 1.302429676E+00 2.433170891E+01 1.089013298E-03
 1.312922716E+00 2.380325317E+01 1.068739803E-03
 1.323767543E+00 2.325283241E+01 1.047584345E-03
 1.334976077E+00 2.267978287E+01 1.025512349E-03
 1.346561074E+00 2.208345413E+01 1.002488425E-03
 1.358534694E+00 2.146328163E+01 9.784795111E-04
 1.370910645E+00 2.081869316E+01 9.534495766E-04
 1.383702397E+00 2.014921951E+01 9.273652686E-04
 1.396924019E+00 1.945446396E+01 9.001936414E-04
 1.410590172E+00 1.873412704E+01 8.719029720E-04
 1.424715996E+00 1.798803139E+01 8.424633415E-04
