VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2013, x=0.75"
 7.500000000E-01 5.039354786E-02 2.297690201E+01
 7.500000000E-01 5.040157959E-02 2.338392448E+01
 7.500000000E-01 5.040977523E-02 2.379515457E+01
 7.500000000E-01 5.041813850E-02 2.421069717E+01
 7.500000000E-01 5.042667314E-02 2.463057709E+01
 7.500000000E-01 5.043537915E-02 2.505463409E+01
 7.500000000E-01 5.044426396E-02 2.548307228E+01
 7.500000000E-01 5.045332760E-02 2.591572762E+01
 7.500000000E-01 5.046257749E-02 2.635279465E+01
 7.500000000E-01 5.047201365E-02 2.679410744E+01
 7.500000000E-01 5.048164353E-02 2.723985291E+01
 7.500000000E-01 5.049146712E-02 2.768980408E+01
 7.500000000E-01 5.050149187E-02 2.814414597E+01
 7.500000000E-01 5.051172152E-02 2.860292625E+01
 7.500000000E-01 5.052215979E-02 2.906597519E+01
 7.500000000E-01 5.053281039E-02 2.953346825E+01
 7.500000000E-01 5.054367334E-02 3.000499725E+01
 7.500000000E-01 5.055476353E-02 3.048117256E+01
 7.500000000E-01 5.056607723E-02 3.096146965E+01
 7.500000000E-01 5.057761818E-02 3.144595528E+01
 7.500000000E-01 5.058939755E-02 3.193480492E+01
 7.500000000E-01 5.060141534E-02 3.242780685E+01
 7.500000000E-01 5.061367899E-02 3.292502975E+01
 7.500000000E-01 5.062619224E-02 3.342659378E+01
 7.500000000E-01 5.063895881E-02 3.393211365E+01
 7.500000000E-01 5.065198615E-02 3.444171524E+01
 7.500000000E-01 5.066527799E-02 3.495544815E+01
 7.500000000E-01 5.067883804E-02 3.547302246E+01
 7.500000000E-01 5.069267750E-02 3.599467850E+01
 7.500000000E-01 5.070680007E-02 3.652034378E+01
 7.500000000E-01 5.072120577E-02 3.704969406E+01
 7.500000000E-01 5.073590949E-02 3.758297348E+01
 7.500000000E-01 5.075091124E-02 3.812007141E+01
 7.500000000E-01 5.076621473E-02 3.866057205E+01
 7.500000000E-01 5.078183487E-02 3.920490646E+01
 7.500000000E-01 5.079777166E-02 3.975263977E+01
