# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -8.708388777E-04 4.059803784E-01
 1.009999990E+00 -8.437330252E-04 4.029421508E-01
 1.009999990E+00 -8.174874238E-04 3.999784887E-01
 1.009999990E+00 -7.920732605E-04 3.970910311E-01
 1.009999990E+00 -7.674626540E-04 3.942807019E-01
 1.009999990E+00 -7.436286542E-04 3.915493190E-01
 1.009999990E+00 -7.205452421E-04 3.888968229E-01
 1.009999990E+00 -6.981872721E-04 3.863242567E-01
 1.009999990E+00 -6.765303551E-04 3.838314116E-01
 1.009999990E+00 -6.555509754E-04 3.814177811E-01
 1.009999990E+00 -6.352264318E-04 3.790837526E-01
 1.009999990E+00 -6.155346637E-04 3.768289387E-01
 1.009999990E+00 -5.964544252E-04 3.746517897E-01
 1.009999990E+00 -5.779651692E-04 3.725519776E-01
 1.009999990E+00 -5.600470467E-04 3.705282509E-01
 1.009999990E+00 -5.426807911E-04 3.685792983E-01
 1.009999990E+00 -5.258478341E-04 3.667037189E-01
 1.009999990E+00 -5.095301894E-04 3.649004400E-01
 1.009999990E+00 -4.937105114E-04 3.631680608E-01
 1.009999990E+00 -4.783718905E-04 3.615038991E-01
 1.009999990E+00 -4.634981742E-04 3.599069417E-01
 1.009999990E+00 -4.490735591E-04 3.583757281E-01
 1.009999990E+00 -4.350828531E-04 3.569077253E-01
 1.009999990E+00 -4.215113586E-04 3.555008769E-01
 1.009999990E+00 -4.083447857E-04 3.541540205E-01
 1.009999990E+00 -3.955693974E-04 3.528647721E-01
 1.009999990E+00 -3.831718350E-04 3.516314626E-01
 1.009999990E+00 -3.711392346E-04 3.504518270E-01
 1.009999990E+00 -3.594591108E-04 3.493241668E-01
 1.009999990E+00 -3.481193271E-04 3.482466042E-01
 1.009999990E+00 -3.371082421E-04 3.472172022E-01
 1.009999990E+00 -3.264145344E-04 3.462341130E-01
 1.009999990E+00 -3.160272317E-04 3.452948630E-01
 1.009999990E+00 -3.059357114E-04 3.443984091E-01
 1.009999990E+00 -2.961296996E-04 3.435425460E-01
 1.009999990E+00 -2.865992719E-04 3.427262604E-01
 1.009999990E+00 -2.773347951E-04 3.419466019E-01
 1.009999990E+00 -2.683268976E-04 3.412034214E-01
 1.009999990E+00 -2.595665574E-04 3.404938877E-01
 1.009999990E+00 -2.510449849E-04 3.398171365E-01
 1.009999990E+00 -2.427537402E-04 3.391718268E-01
 1.009999990E+00 -2.346845286E-04 3.385559320E-01
 1.009999990E+00 -2.268294047E-04 3.379682004E-01
 1.009999990E+00 -2.191806125E-04 3.374076486E-01
 1.009999990E+00 -2.117306431E-04 3.368730545E-01
 1.009999990E+00 -2.044722060E-04 3.363622427E-01
 1.009999990E+00 -1.973982435E-04 3.358747959E-01
 1.009999990E+00 -1.905019017E-04 3.354097605E-01
 1.009999990E+00 -1.837765012E-04 3.349660337E-01
 1.009999990E+00 -1.772155811E-04 3.345420063E-01
 1.009999990E+00 -1.708128548E-04 3.341367543E-01
 1.009999990E+00 -1.645622397E-04 3.337497413E-01
 1.009999990E+00 -1.584577694E-04 3.333801627E-01
 1.009999990E+00 -1.524936815E-04 3.330270946E-01
 1.009999990E+00 -1.466643589E-04 3.326891959E-01
 1.009999990E+00 -1.409643592E-04 3.323662877E-01
 1.009999990E+00 -1.353883417E-04 3.320569694E-01
 1.009999990E+00 -1.299311552E-04 3.317615390E-01
 1.009999990E+00 -1.245877211E-04 3.314785361E-01
 1.009999990E+00 -1.193531352E-04 3.312071264E-01
 1.009999990E+00 -1.142226029E-04 3.309471011E-01
 1.009999990E+00 -1.091914455E-04 3.306986392E-01
 1.009999990E+00 -1.042550866E-04 3.304595649E-01
 1.009999990E+00 -9.940905875E-05 3.302314281E-01
 1.009999990E+00 -9.464901086E-05 3.300116658E-01
 1.009999990E+00 -8.997067198E-05 3.298007548E-01
 1.009999990E+00 -8.536985843E-05 3.295983672E-01
 1.009999990E+00 -8.084248839E-05 3.294040263E-01
 1.009999990E+00 -7.638454554E-05 3.292167783E-01
 1.009999990E+00 -7.199210813E-05 3.290373981E-01
 1.009999990E+00 -6.766131264E-05 3.288650513E-01
 1.009999990E+00 -6.338836829E-05 3.286981583E-01
 1.009999990E+00 -5.916956070E-05 3.285386264E-01
 1.009999990E+00 -5.500121188E-05 3.283840120E-01
 1.009999990E+00 -5.087972022E-05 3.282362223E-01
 1.009999990E+00 -4.680152415E-05 3.280928135E-01
 1.009999990E+00 -4.276312029E-05 3.279550970E-01
 1.009999990E+00 -3.876104165E-05 3.278224170E-01
 1.009999990E+00 -3.479186489E-05 3.276938796E-01
 1.009999990E+00 -3.085220305E-05 3.275698721E-01
 1.009999990E+00 -2.693869828E-05 3.274508417E-01
 1.009999990E+00 -2.304802729E-05 3.273354173E-01
 1.009999990E+00 -1.917689042E-05 3.272239566E-01
 1.009999990E+00 -1.532200804E-05 3.271163702E-01
 1.009999990E+00 -1.148011779E-05 3.270124793E-01
 1.009999990E+00 -7.647975508E-06 3.269122243E-01
 1.009999990E+00 -3.822345661E-06 3.268153667E-01
 1.009999990E+00 0.000000000E+00 3.267244995E-01
 1.009999990E+00 3.822347935E-06 3.266318142E-01
 1.009999990E+00 7.647980055E-06 3.265449107E-01
 1.009999990E+00 1.148012416E-05 3.264610767E-01
 1.009999990E+00 1.532201532E-05 3.263803124E-01
 1.009999990E+00 1.917690133E-05 3.263025284E-01
 1.009999990E+00 2.304804002E-05 3.262276947E-01
 1.009999990E+00 2.693871284E-05 3.261558115E-01
 1.009999990E+00 3.085221761E-05 3.260862231E-01
 1.009999990E+00 3.479188308E-05 3.260201812E-01
 1.009999990E+00 3.876106348E-05 3.259570301E-01
 1.009999990E+00 4.276314212E-05 3.258961737E-01
 1.009999990E+00 4.680154962E-05 3.258383274E-01
 1.009999990E+00 5.087974569E-05 3.257839978E-01
 1.009999990E+00 5.500124098E-05 3.257315755E-01
 1.009999990E+00 5.916958980E-05 3.256833553E-01
 1.009999990E+00 6.338840467E-05 3.256371915E-01
 1.009999990E+00 6.766134902E-05 3.255953789E-01
 1.009999990E+00 7.199214451E-05 3.255556822E-01
 1.009999990E+00 7.638458919E-05 3.255195320E-01
 1.009999990E+00 8.084253204E-05 3.254874647E-01
 1.009999990E+00 8.536990208E-05 3.254584670E-01
 1.009999990E+00 8.997071563E-05 3.254332840E-01
 1.009999990E+00 9.464906179E-05 3.254120946E-01
 1.009999990E+00 9.940911696E-05 3.253948987E-01
 1.009999990E+00 1.042551376E-04 3.253810406E-01
 1.009999990E+00 1.091915037E-04 3.253727555E-01
 1.009999990E+00 1.142226683E-04 3.253681362E-01
 1.009999990E+00 1.193532007E-04 3.253691196E-01
 1.009999990E+00 1.245877793E-04 3.253751695E-01
 1.009999990E+00 1.299312280E-04 3.253861368E-01
 1.009999990E+00 1.353884290E-04 3.254024982E-01
 1.009999990E+00 1.409644319E-04 3.254253566E-01
 1.009999990E+00 1.466644462E-04 3.254539967E-01
 1.009999990E+00 1.524937543E-04 3.254894912E-01
 1.009999990E+00 1.584578567E-04 3.255314529E-01
 1.009999990E+00 1.645623270E-04 3.255809546E-01
 1.009999990E+00 1.708129566E-04 3.256383538E-01
 1.009999990E+00 1.772156829E-04 3.257040679E-01
 1.009999990E+00 1.837766031E-04 3.257780373E-01
 1.009999990E+00 1.905020035E-04 3.258606791E-01
 1.009999990E+00 1.973983599E-04 3.259530663E-01
 1.009999990E+00 2.044723224E-04 3.260558546E-01
 1.009999990E+00 2.117307595E-04 3.261693120E-01
 1.009999990E+00 2.191807289E-04 3.262931705E-01
 1.009999990E+00 2.268295357E-04 3.264290988E-01
 1.009999990E+00 2.346846741E-04 3.265776336E-01
 1.009999990E+00 2.427538711E-04 3.267390728E-01
 1.009999990E+00 2.510451304E-04 3.269139528E-01
 1.009999990E+00 2.595667029E-04 3.271035850E-01
 1.009999990E+00 2.683270432E-04 3.273086250E-01
 1.009999990E+00 2.773349406E-04 3.275289834E-01
 1.009999990E+00 2.865994466E-04 3.277670443E-01
 1.009999990E+00 2.961298742E-04 3.280217052E-01
 1.009999990E+00 3.059358860E-04 3.282954395E-01
 1.009999990E+00 3.160274064E-04 3.285882175E-01
 1.009999990E+00 3.264147381E-04 3.289015293E-01
 1.009999990E+00 3.371084458E-04 3.292352855E-01
 1.009999990E+00 3.481195308E-04 3.295913637E-01
 1.009999990E+00 3.594593145E-04 3.299705982E-01
 1.009999990E+00 3.711394675E-04 3.303740621E-01
 1.009999990E+00 3.831720969E-04 3.308027983E-01
 1.009999990E+00 3.955696302E-04 3.312575817E-01
 1.009999990E+00 4.083450476E-04 3.317398727E-01
 1.009999990E+00 4.215116205E-04 3.322504759E-01
 1.009999990E+00 4.350831150E-04 3.327910304E-01
 1.009999990E+00 4.490738502E-04 3.333617747E-01
 1.009999990E+00 4.634984653E-04 3.339640498E-01
 1.009999990E+00 4.783722106E-04 3.345999122E-01
 1.009999990E+00 4.937108024E-04 3.352701664E-01
 1.009999990E+00 5.095305387E-04 3.359748721E-01
 1.009999990E+00 5.258481833E-04 3.367168009E-01
 1.009999990E+00 5.426811404E-04 3.374969661E-01
 1.009999990E+00 5.600473960E-04 3.383159935E-01
 1.009999990E+00 5.779655767E-04 3.391749263E-01
 1.009999990E+00 5.964548327E-04 3.400749862E-01
 1.009999990E+00 6.155350711E-04 3.410181701E-01
 1.009999990E+00 6.352268392E-04 3.420048356E-01
 1.009999990E+00 6.555513828E-04 3.430357575E-01
 1.009999990E+00 6.765308208E-04 3.441139460E-01
 1.009999990E+00 6.981877377E-04 3.452383876E-01
 1.009999990E+00 7.205457659E-04 3.464109302E-01
 1.009999990E+00 7.436291780E-04 3.476333618E-01
 1.009999990E+00 7.674631779E-04 3.489053249E-01
 1.009999990E+00 7.920737844E-04 3.502293825E-01
 1.009999990E+00 8.174880059E-04 3.516047597E-01
 1.009999990E+00 8.437336073E-04 3.530332148E-01
 1.009999990E+00 8.708394598E-04 3.545161784E-01
 1.009999990E+00 8.988354239E-04 3.560530841E-01
 1.009999990E+00 9.277523495E-04 3.576452732E-01
 1.009999990E+00 9.576220764E-04 3.592927456E-01
 1.009999990E+00 9.884777246E-04 3.609974384E-01
 1.009999990E+00 1.020353404E-03 3.627581894E-01
