# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SA model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -1.673957519E-02 8.609284759E-01
 1.009999990E+00 -1.618356816E-02 8.532167077E-01
 1.009999990E+00 -1.564619876E-02 8.454534411E-01
 1.009999990E+00 -1.512684394E-02 8.376716971E-01
 1.009999990E+00 -1.462490298E-02 8.298975229E-01
 1.009999990E+00 -1.413979195E-02 8.221489191E-01
 1.009999990E+00 -1.367094647E-02 8.144431710E-01
 1.009999990E+00 -1.321781985E-02 8.067967892E-01
 1.009999990E+00 -1.277988404E-02 7.992213964E-01
 1.009999990E+00 -1.235662960E-02 7.917250991E-01
 1.009999990E+00 -1.194756292E-02 7.843154669E-01
 1.009999990E+00 -1.155220717E-02 7.770001292E-01
 1.009999990E+00 -1.117010135E-02 7.697848082E-01
 1.009999990E+00 -1.080079935E-02 7.626720071E-01
 1.009999990E+00 -1.044387184E-02 7.556638122E-01
 1.009999990E+00 -1.009890065E-02 7.487624288E-01
 1.009999990E+00 -9.765485302E-03 7.419698238E-01
 1.009999990E+00 -9.443235584E-03 7.352874875E-01
 1.009999990E+00 -9.131776169E-03 7.287145257E-01
 1.009999990E+00 -8.830745704E-03 7.222504616E-01
 1.009999990E+00 -8.539792150E-03 7.158938646E-01
 1.009999990E+00 -8.258575574E-03 7.096441984E-01
 1.009999990E+00 -7.986768149E-03 7.035004497E-01
 1.009999990E+00 -7.724053692E-03 6.974621415E-01
 1.009999990E+00 -7.470124401E-03 6.915262938E-01
 1.009999990E+00 -7.224685047E-03 6.856910586E-01
 1.009999990E+00 -6.987449713E-03 6.799544692E-01
 1.009999990E+00 -6.758141331E-03 6.743139625E-01
 1.009999990E+00 -6.536493078E-03 6.687672138E-01
 1.009999990E+00 -6.322246511E-03 6.633121967E-01
 1.009999990E+00 -6.115152966E-03 6.579469442E-01
 1.009999990E+00 -5.914971232E-03 6.526691914E-01
 1.009999990E+00 -5.721468013E-03 6.474758983E-01
 1.009999990E+00 -5.534418393E-03 6.423648596E-01
 1.009999990E+00 -5.353605375E-03 6.373334527E-01
 1.009999990E+00 -5.178818014E-03 6.323791742E-01
 1.009999990E+00 -5.009854678E-03 6.274994612E-01
 1.009999990E+00 -4.846517928E-03 6.226913333E-01
 1.009999990E+00 -4.688618705E-03 6.179528236E-01
 1.009999990E+00 -4.535974469E-03 6.132807136E-01
 1.009999990E+00 -4.388407338E-03 6.086728573E-01
 1.009999990E+00 -4.245747346E-03 6.041270494E-01
 1.009999990E+00 -4.107828252E-03 5.996401310E-01
 1.009999990E+00 -3.974491265E-03 5.952092409E-01
 1.009999990E+00 -3.845581785E-03 5.908316970E-01
 1.009999990E+00 -3.720950801E-03 5.865044594E-01
 1.009999990E+00 -3.600454656E-03 5.822244883E-01
 1.009999990E+00 -3.483953886E-03 5.779890418E-01
 1.009999990E+00 -3.371314146E-03 5.737948418E-01
 1.009999990E+00 -3.262405749E-03 5.696388483E-01
 1.009999990E+00 -3.157103201E-03 5.655180812E-01
 1.009999990E+00 -3.055284964E-03 5.614295602E-01
 1.009999990E+00 -2.956833923E-03 5.573704243E-01
 1.009999990E+00 -2.861637156E-03 5.533379912E-01
 1.009999990E+00 -2.769585000E-03 5.493291020E-01
 1.009999990E+00 -2.680571983E-03 5.453421474E-01
