# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -1.094313934E-01 9.612986445E-01
 1.009999990E+00 -1.057334840E-01 9.605433345E-01
 1.009999990E+00 -1.021610349E-01 9.597893953E-01
 1.009999990E+00 -9.870979190E-02 9.590359330E-01
 1.009999990E+00 -9.537564218E-02 9.582841992E-01
 1.009999990E+00 -9.215459973E-02 9.575344324E-01
 1.009999990E+00 -8.904282004E-02 9.567865729E-01
 1.009999990E+00 -8.603659272E-02 9.560407996E-01
 1.009999990E+00 -8.313232660E-02 9.552972913E-01
 1.009999990E+00 -8.032655716E-02 9.545561075E-01
 1.009999990E+00 -7.761594653E-02 9.538172483E-01
 1.009999990E+00 -7.499725372E-02 9.530809522E-01
 1.009999990E+00 -7.246736437E-02 9.523472190E-01
 1.009999990E+00 -7.002326101E-02 9.516161084E-01
 1.009999990E+00 -6.766202301E-02 9.508879781E-01
 1.009999990E+00 -6.538084894E-02 9.501627088E-01
 1.009999990E+00 -6.317700446E-02 9.494405389E-01
 1.009999990E+00 -6.104788184E-02 9.487215877E-01
 1.009999990E+00 -5.899093673E-02 9.480058551E-01
 1.009999990E+00 -5.700372905E-02 9.472934604E-01
 1.009999990E+00 -5.508388579E-02 9.465845227E-01
 1.009999990E+00 -5.322912708E-02 9.458792210E-01
 1.009999990E+00 -5.143724382E-02 9.451773763E-01
 1.009999990E+00 -4.970610887E-02 9.444794059E-01
 1.009999990E+00 -4.803365469E-02 9.437851906E-01
 1.009999990E+00 -4.641790316E-02 9.430949092E-01
 1.009999990E+00 -4.485693574E-02 9.424086213E-01
 1.009999990E+00 -4.334890097E-02 9.417263865E-01
 1.009999990E+00 -4.189200699E-02 9.410484433E-01
 1.009999990E+00 -4.048452526E-02 9.403746724E-01
 1.009999990E+00 -3.912478313E-02 9.397054315E-01
 1.009999990E+00 -3.781116754E-02 9.390406013E-01
 1.009999990E+00 -3.654212132E-02 9.383804798E-01
 1.009999990E+00 -3.531615436E-02 9.377248883E-01
 1.009999990E+00 -3.413181379E-02 9.370743632E-01
 1.009999990E+00 -3.298769146E-02 9.364284873E-01
 1.009999990E+00 -3.188243136E-02 9.357880950E-01
 1.009999990E+00 -3.081471846E-02 9.351524711E-01
 1.009999990E+00 -2.978328243E-02 9.345224500E-01
 1.009999990E+00 -2.878691442E-02 9.338976741E-01
 1.009999990E+00 -2.782441489E-02 9.332786798E-01
 1.009999990E+00 -2.689462155E-02 9.326652288E-01
 1.009999990E+00 -2.599640377E-02 9.320567250E-01
 1.009999990E+00 -2.512866817E-02 9.314526916E-01
 1.009999990E+00 -2.429035865E-02 9.308570623E-01
 1.009999990E+00 -2.348043397E-02 9.302859902E-01
 1.009999990E+00 -2.269789018E-02 9.296978712E-01
 1.009999990E+00 -2.194175869E-02 9.287488461E-01
 1.009999990E+00 -2.121111006E-02 9.265844226E-01
 1.009999990E+00 -2.050504647E-02 9.222421050E-01
 1.009999990E+00 -1.982271671E-02 9.155043364E-01
 1.009999990E+00 -1.916330121E-02 9.069833755E-01
 1.009999990E+00 -1.852601953E-02 8.975810409E-01
 1.009999990E+00 -1.791011542E-02 8.879052997E-01
 1.009999990E+00 -1.731486619E-02 8.782327771E-01
 1.009999990E+00 -1.673957519E-02 8.686540723E-01
 1.009999990E+00 -1.618356816E-02 8.591735959E-01
 1.009999990E+00 -1.564619876E-02 8.497529030E-01
 1.009999990E+00 -1.512684394E-02 8.403218389E-01
 1.009999990E+00 -1.462490298E-02 8.307878375E-01
 1.009999990E+00 -1.413979195E-02 8.210908771E-01
 1.009999990E+00 -1.367094647E-02 8.112866879E-01
 1.009999990E+00 -1.321781985E-02 8.015370965E-01
 1.009999990E+00 -1.277988404E-02 7.920010090E-01
 1.009999990E+00 -1.235662960E-02 7.827736735E-01
 1.009999990E+00 -1.194756292E-02 7.738863230E-01
 1.009999990E+00 -1.155220717E-02 7.653307915E-01
 1.009999990E+00 -1.117010135E-02 7.570859194E-01
 1.009999990E+00 -1.080079935E-02 7.491381764E-01
 1.009999990E+00 -1.044387184E-02 7.414914966E-01
 1.009999990E+00 -1.009890065E-02 7.341538072E-01
 1.009999990E+00 -9.765485302E-03 7.271031141E-01
 1.009999990E+00 -9.443235584E-03 7.202864289E-01
 1.009999990E+00 -9.131776169E-03 7.136604190E-01
