# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -6.766202301E-02 3.263583181E-09
 1.009999990E+00 -6.538084894E-02 3.254493119E-09
 1.009999990E+00 -6.317700446E-02 3.238802559E-09
 1.009999990E+00 -6.104788184E-02 3.216644062E-09
 1.009999990E+00 -5.899093673E-02 3.188261655E-09
 1.009999990E+00 -5.700372905E-02 3.153968198E-09
 1.009999990E+00 -5.508388579E-02 3.114057234E-09
 1.009999990E+00 -5.322912708E-02 3.069004606E-09
 1.009999990E+00 -5.143724382E-02 3.019189121E-09
 1.009999990E+00 -4.970610887E-02 2.965145240E-09
 1.009999990E+00 -4.803365469E-02 2.907349028E-09
 1.009999990E+00 -4.641790316E-02 2.846330727E-09
 1.009999990E+00 -4.485693574E-02 2.782626352E-09
 1.009999990E+00 -4.334890097E-02 2.716715075E-09
 1.009999990E+00 -4.189200699E-02 2.649154451E-09
 1.009999990E+00 -4.048452526E-02 2.580352376E-09
 1.009999990E+00 -3.912478313E-02 2.510854635E-09
 1.009999990E+00 -3.781116754E-02 2.440984304E-09
 1.009999990E+00 -3.654212132E-02 2.371253860E-09
 1.009999990E+00 -3.531615436E-02 2.301900892E-09
 1.009999990E+00 -3.413181379E-02 2.233365715E-09
 1.009999990E+00 -3.298769146E-02 2.165812862E-09
 1.009999990E+00 -3.188243136E-02 2.099610930E-09
 1.009999990E+00 -3.081471846E-02 2.034952651E-09
 1.009999990E+00 -2.978328243E-02 1.973302188E-09
 1.009999990E+00 -2.878691442E-02 1.925135162E-09
 1.009999990E+00 -2.782441489E-02 1.975204000E-09
 1.009999990E+00 -2.689462155E-02 2.727097659E-09
 1.009999990E+00 -2.599640377E-02 8.104856342E-09
 1.009999990E+00 -2.512866817E-02 3.966174233E-08
 1.009999990E+00 -2.429035865E-02 1.957784974E-07
 1.009999990E+00 -2.348043397E-02 7.940811315E-07
 1.009999990E+00 -2.269789018E-02 2.790826102E-06
 1.009999990E+00 -2.194175869E-02 9.756924555E-06
 1.009999990E+00 -2.121111006E-02 3.229838330E-05
 1.009999990E+00 -2.050504647E-02 8.576464461E-05
 1.009999990E+00 -1.982271671E-02 1.743473113E-04
 1.009999990E+00 -1.916330121E-02 2.839324588E-04
 1.009999990E+00 -1.852601953E-02 3.964729549E-04
 1.009999990E+00 -1.791011542E-02 5.040861433E-04
 1.009999990E+00 -1.731486619E-02 6.064744666E-04
 1.009999990E+00 -1.673957519E-02 7.053668960E-04
 1.009999990E+00 -1.618356816E-02 8.029108285E-04
 1.009999990E+00 -1.564619876E-02 9.025720065E-04
 1.009999990E+00 -1.512684394E-02 1.008699881E-03
 1.009999990E+00 -1.462490298E-02 1.111068530E-03
 1.009999990E+00 -1.413979195E-02 1.174900332E-03
 1.009999990E+00 -1.367094647E-02 1.235114527E-03
 1.009999990E+00 -1.321781985E-02 1.293521142E-03
 1.009999990E+00 -1.277988404E-02 1.348703168E-03
 1.009999990E+00 -1.235662960E-02 1.399733592E-03
 1.009999990E+00 -1.194756292E-02 1.446241746E-03
 1.009999990E+00 -1.155220717E-02 1.488289912E-03
 1.009999990E+00 -1.117010135E-02 1.526224194E-03
 1.009999990E+00 -1.080079935E-02 1.560691511E-03
 1.009999990E+00 -1.044387184E-02 1.592247630E-03
 1.009999990E+00 -1.009890065E-02 1.620887429E-03
 1.009999990E+00 -9.765485302E-03 1.642100513E-03
 1.009999990E+00 -9.443235584E-03 1.652624458E-03
 1.009999990E+00 -9.131776169E-03 1.665443997E-03
 1.009999990E+00 -8.830745704E-03 1.677142223E-03
 1.009999990E+00 -8.539792150E-03 1.687421231E-03
 1.009999990E+00 -8.258575574E-03 1.696297084E-03
 1.009999990E+00 -7.986768149E-03 1.703818212E-03
 1.009999990E+00 -7.724053692E-03 1.710059354E-03
 1.009999990E+00 -7.470124401E-03 1.715106890E-03
 1.009999990E+00 -7.224685047E-03 1.719050226E-03
 1.009999990E+00 -6.987449713E-03 1.721960260E-03
 1.009999990E+00 -6.758141331E-03 1.723910565E-03
 1.009999990E+00 -6.536493078E-03 1.724969479E-03
 1.009999990E+00 -6.322246511E-03 1.725203358E-03
 1.009999990E+00 -6.115152966E-03 1.724675065E-03
 1.009999990E+00 -5.914971232E-03 1.723447233E-03
 1.009999990E+00 -5.721468013E-03 1.721578650E-03
 1.009999990E+00 -5.534418393E-03 1.719133928E-03
 1.009999990E+00 -5.353605375E-03 1.716171741E-03
 1.009999990E+00 -5.178818014E-03 1.712744008E-03
 1.009999990E+00 -5.009854678E-03 1.708908239E-03
 1.009999990E+00 -4.846517928E-03 1.704718685E-03
 1.009999990E+00 -4.688618705E-03 1.700235065E-03
 1.009999990E+00 -4.535974469E-03 1.695514540E-03
 1.009999990E+00 -4.388407338E-03 1.690614619E-03
 1.009999990E+00 -4.245747346E-03 1.685598283E-03
 1.009999990E+00 -4.107828252E-03 1.680516638E-03
