variables="u","y"
zone,t="x=     0.97008"
   0.998513E+00   0.926446E-01
   0.998513E+00   0.955138E-01
   0.998512E+00   0.984718E-01
   0.998511E+00   0.101521E+00
   0.998510E+00   0.104666E+00
   0.998509E+00   0.107907E+00
   0.998508E+00   0.111249E+00
   0.998507E+00   0.114694E+00
   0.998506E+00   0.118246E+00
   0.998505E+00   0.121908E+00
   0.998504E+00   0.125684E+00
   0.998503E+00   0.129576E+00
   0.998502E+00   0.133589E+00
   0.998501E+00   0.137726E+00
   0.998500E+00   0.141992E+00
   0.998498E+00   0.146389E+00
   0.998497E+00   0.150923E+00
   0.998496E+00   0.155597E+00
   0.998495E+00   0.160415E+00
   0.998493E+00   0.165383E+00
   0.998492E+00   0.170505E+00
   0.998491E+00   0.175786E+00
   0.998489E+00   0.181230E+00
   0.998488E+00   0.186843E+00
   0.998486E+00   0.192629E+00
   0.998485E+00   0.198595E+00
   0.998483E+00   0.204745E+00
   0.998482E+00   0.211086E+00
   0.998480E+00   0.217623E+00
   0.998478E+00   0.224363E+00
   0.998477E+00   0.231311E+00
   0.998475E+00   0.238475E+00
   0.998473E+00   0.245860E+00
   0.998471E+00   0.253475E+00
   0.998469E+00   0.261325E+00
   0.998467E+00   0.269418E+00
   0.998465E+00   0.277762E+00
   0.998463E+00   0.286364E+00
   0.998461E+00   0.295232E+00
   0.998459E+00   0.304376E+00
   0.998457E+00   0.313802E+00
   0.998455E+00   0.323521E+00
   0.998453E+00   0.333540E+00
   0.998450E+00   0.343869E+00
   0.998448E+00   0.354519E+00
   0.998446E+00   0.365498E+00
   0.998443E+00   0.376818E+00
   0.998441E+00   0.388488E+00
   0.998438E+00   0.400519E+00
   0.998436E+00   0.412923E+00
   0.998433E+00   0.425711E+00
   0.998430E+00   0.438895E+00
   0.998428E+00   0.452488E+00
   0.998425E+00   0.466501E+00
   0.998422E+00   0.480948E+00
   0.998419E+00   0.495843E+00
   0.998416E+00   0.511199E+00
   0.998413E+00   0.527031E+00
   0.998410E+00   0.543353E+00
   0.998406E+00   0.560180E+00
   0.998403E+00   0.577529E+00
   0.998400E+00   0.595415E+00
   0.998396E+00   0.613855E+00
   0.998392E+00   0.632866E+00
   0.998388E+00   0.652465E+00
   0.998384E+00   0.672672E+00
   0.998380E+00   0.693504E+00
   0.998376E+00   0.714982E+00
   0.998371E+00   0.737125E+00
