# Nondimensional eddy viscosity at x=0.97, BSL model
VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D"
 9.700000286E-01 9.121833136E-04 6.075647354E+01
 9.700000286E-01 9.404378361E-04 6.267591476E+01
 9.700000286E-01 9.695672779E-04 6.464695740E+01
 9.700000286E-01 9.995986475E-04 6.667056274E+01
 9.700000286E-01 1.030560001E-03 6.874765778E+01
 9.700000286E-01 1.062480151E-03 7.087918091E+01
 9.700000286E-01 1.095388667E-03 7.306601715E+01
 9.700000286E-01 1.129316282E-03 7.530902863E+01
 9.700000286E-01 1.164294430E-03 7.760905457E+01
 9.700000286E-01 1.200355822E-03 7.996688080E+01
 9.700000286E-01 1.237533870E-03 8.238327026E+01
 9.700000286E-01 1.275863266E-03 8.485890198E+01
 9.700000286E-01 1.315379515E-03 8.739440155E+01
 9.700000286E-01 1.356119523E-03 8.999037170E+01
 9.700000286E-01 1.398121123E-03 9.264727783E+01
 9.700000286E-01 1.441423432E-03 9.536556244E+01
 9.700000286E-01 1.486066729E-03 9.814553070E+01
 9.700000286E-01 1.532092574E-03 1.009874115E+02
 9.700000286E-01 1.579543576E-03 1.038913116E+02
 9.700000286E-01 1.628464204E-03 1.068572235E+02
 9.700000286E-01 1.678899745E-03 1.098849945E+02
 9.700000286E-01 1.730897231E-03 1.129743423E+02
 9.700000286E-01 1.784504857E-03 1.161247940E+02
 9.700000286E-01 1.839772798E-03 1.193357239E+02
 9.700000286E-01 1.896752161E-03 1.226063004E+02
 9.700000286E-01 1.955496147E-03 1.259354858E+02
 9.700000286E-01 2.016059356E-03 1.293220215E+02
 9.700000286E-01 2.078498015E-03 1.327643890E+02
 9.700000286E-01 2.142870566E-03 1.362608032E+02
 9.700000286E-01 2.209236380E-03 1.398092041E+02
 9.700000286E-01 2.277657622E-03 1.434072113E+02
 9.700000286E-01 2.348197857E-03 1.470521088E+02
 9.700000286E-01 2.420922508E-03 1.507408295E+02
 9.700000286E-01 2.495899564E-03 1.544699097E+02
 9.700000286E-01 2.573198406E-03 1.582354431E+02
 9.700000286E-01 2.652890980E-03 1.620331421E+02
 9.700000286E-01 2.735051792E-03 1.658582001E+02
 9.700000286E-01 2.819756977E-03 1.697052765E+02
 9.700000286E-01 2.907085465E-03 1.735685577E+02
 9.700000286E-01 2.997118514E-03 1.774416199E+02
 9.700000286E-01 3.089939710E-03 1.813174133E+02
 9.700000286E-01 3.185635433E-03 1.851882324E+02
 9.700000286E-01 3.284294857E-03 1.890457153E+02
 9.700000286E-01 3.386009717E-03 1.928807983E+02
 9.700000286E-01 3.490874544E-03 1.966835480E+02
 9.700000286E-01 3.598987125E-03 2.004433289E+02
 9.700000286E-01 3.710447578E-03 2.041485748E+02
 9.700000286E-01 3.825360211E-03 2.077868805E+02
 9.700000286E-01 3.943831660E-03 2.113448944E+02
 9.700000286E-01 4.065971822E-03 2.148082733E+02
 9.700000286E-01 4.191894550E-03 2.181616516E+02
 9.700000286E-01 4.321717191E-03 2.213886566E+02
 9.700000286E-01 4.455560353E-03 2.244717407E+02
 9.700000286E-01 4.593548831E-03 2.273922729E+02
 9.700000286E-01 4.735810217E-03 2.301304169E+02
 9.700000286E-01 4.882477690E-03 2.326651611E+02
 9.700000286E-01 5.033687688E-03 2.349742279E+02
 9.700000286E-01 5.189579912E-03 2.370340576E+02
 9.700000286E-01 5.350300577E-03 2.388198090E+02
 9.700000286E-01 5.515998229E-03 2.403052979E+02
 9.700000286E-01 5.686827935E-03 2.414629822E+02
 9.700000286E-01 5.862948019E-03 2.422639008E+02
 9.700000286E-01 6.044522393E-03 2.426777191E+02
 9.700000286E-01 6.231720094E-03 2.426726074E+02
 9.700000286E-01 6.424714811E-03 2.422152405E+02
 9.700000286E-01 6.623687223E-03 2.412708435E+02
 9.700000286E-01 6.828821264E-03 2.398032227E+02
 9.700000286E-01 7.040308323E-03 2.377750854E+02
 9.700000286E-01 7.258344907E-03 2.351488190E+02
 9.700000286E-01 7.483134046E-03 2.318881683E+02
 9.700000286E-01 7.714885287E-03 2.279612122E+02
 9.700000286E-01 7.953813300E-03 2.233451996E+02
 9.700000286E-01 8.200140670E-03 2.180325470E+02
 9.700000286E-01 8.454097435E-03 2.120362701E+02
 9.700000286E-01 8.715918288E-03 2.053905640E+02
 9.700000286E-01 8.985848166E-03 1.981434479E+02
 9.700000286E-01 9.264137596E-03 1.903417664E+02
 9.700000286E-01 9.551045485E-03 1.820145874E+02
 9.700000286E-01 9.846839122E-03 1.731625061E+02
 9.700000286E-01 1.015179232E-02 1.637557831E+02
 9.700000286E-01 1.046619099E-02 1.537397003E+02
 9.700000286E-01 1.079032570E-02 1.430425110E+02
 9.700000286E-01 1.112449914E-02 1.315838776E+02
 9.700000286E-01 1.146902237E-02 1.192816162E+02
 9.700000286E-01 1.182421483E-02 1.062208176E+02
 9.700000286E-01 1.219040714E-02 9.246117401E+01
 9.700000286E-01 1.256794017E-02 7.779658508E+01
 9.700000286E-01 1.295716595E-02 6.212474823E+01
 9.700000286E-01 1.335844584E-02 4.572708511E+01
 9.700000286E-01 1.377215330E-02 2.951332283E+01
 9.700000286E-01 1.419867296E-02 1.569689465E+01
 9.700000286E-01 1.463840157E-02 6.496463299E+00
 9.700000286E-01 1.509174798E-02 1.641914248E+00
 9.700000286E-01 1.555913500E-02 1.927056760E-01
 9.700000286E-01 1.604099758E-02 2.139312401E-02
 9.700000286E-01 1.653778180E-02 8.156945929E-03
 9.700000286E-01 1.704995334E-02 7.223783061E-03
 9.700000286E-01 1.757798530E-02 7.160954177E-03
 9.700000286E-01 1.812236942E-02 7.156895939E-03
 9.700000286E-01 1.868361421E-02 7.156641223E-03
 9.700000286E-01 1.926223934E-02 7.156622596E-03
 9.700000286E-01 1.985878497E-02 7.156618405E-03
 9.700000286E-01 2.047380619E-02 7.156614680E-03
 9.700000286E-01 2.110787295E-02 7.156611886E-03
 9.700000286E-01 2.176157758E-02 7.156609092E-03
 9.700000286E-01 2.243552729E-02 7.156606298E-03
 9.700000286E-01 2.313034981E-02 7.156603970E-03
 9.700000286E-01 2.384668961E-02 7.156601641E-03
 9.700000286E-01 2.458521351E-02 7.156599313E-03
 9.700000286E-01 2.534661070E-02 7.156597450E-03
 9.700000286E-01 2.613158710E-02 7.156595588E-03
 9.700000286E-01 2.694087476E-02 7.156594191E-03
 9.700000286E-01 2.777522430E-02 7.156592328E-03
 9.700000286E-01 2.863541432E-02 7.156590931E-03
 9.700000286E-01 2.952224575E-02 7.156590000E-03
 9.700000286E-01 3.043654002E-02 7.156588603E-03
 9.700000286E-01 3.137915209E-02 7.156587671E-03
 9.700000286E-01 3.235095367E-02 7.156586740E-03
 9.700000286E-01 3.335285187E-02 7.156585809E-03
 9.700000286E-01 3.438577801E-02 7.156585343E-03
 9.700000286E-01 3.545069695E-02 7.156584878E-03
 9.700000286E-01 3.654859215E-02 7.156583946E-03
 9.700000286E-01 3.768049181E-02 7.156583946E-03
 9.700000286E-01 3.884744644E-02 7.156583481E-03
 9.700000286E-01 4.005054012E-02 7.156583015E-03
 9.700000286E-01 4.129089043E-02 7.156583015E-03
