variables="log(y+)","u+"
zone,t="x=     0.97008"
   0.397836E+01   0.268832E+02
   0.399161E+01   0.268832E+02
   0.400485E+01   0.268832E+02
   0.401810E+01   0.268831E+02
   0.403135E+01   0.268831E+02
   0.404459E+01   0.268831E+02
   0.405784E+01   0.268831E+02
   0.407108E+01   0.268831E+02
   0.408433E+01   0.268831E+02
   0.409758E+01   0.268831E+02
   0.411082E+01   0.268830E+02
   0.412407E+01   0.268830E+02
   0.413731E+01   0.268830E+02
   0.415056E+01   0.268830E+02
   0.416381E+01   0.268830E+02
   0.417705E+01   0.268829E+02
   0.419030E+01   0.268829E+02
   0.420354E+01   0.268829E+02
   0.421679E+01   0.268829E+02
   0.423003E+01   0.268829E+02
   0.424328E+01   0.268828E+02
   0.425653E+01   0.268828E+02
   0.426977E+01   0.268828E+02
   0.428302E+01   0.268828E+02
   0.429626E+01   0.268828E+02
   0.430951E+01   0.268827E+02
   0.432276E+01   0.268827E+02
   0.433600E+01   0.268827E+02
   0.434925E+01   0.268826E+02
   0.436249E+01   0.268826E+02
   0.437574E+01   0.268826E+02
   0.438899E+01   0.268826E+02
   0.440223E+01   0.268825E+02
   0.441548E+01   0.268825E+02
   0.442872E+01   0.268825E+02
   0.444197E+01   0.268824E+02
   0.445521E+01   0.268824E+02
   0.446846E+01   0.268824E+02
   0.448171E+01   0.268823E+02
   0.449495E+01   0.268823E+02
   0.450820E+01   0.268823E+02
   0.452144E+01   0.268822E+02
   0.453469E+01   0.268822E+02
   0.454794E+01   0.268821E+02
   0.456118E+01   0.268821E+02
   0.457443E+01   0.268821E+02
   0.458767E+01   0.268820E+02
   0.460092E+01   0.268820E+02
   0.461417E+01   0.268819E+02
   0.462741E+01   0.268819E+02
   0.464066E+01   0.268818E+02
   0.465390E+01   0.268818E+02
   0.466715E+01   0.268817E+02
   0.468040E+01   0.268817E+02
   0.469364E+01   0.268816E+02
   0.470689E+01   0.268816E+02
   0.472013E+01   0.268815E+02
   0.473338E+01   0.268815E+02
   0.474662E+01   0.268814E+02
   0.475987E+01   0.268814E+02
   0.477312E+01   0.268813E+02
   0.478636E+01   0.268812E+02
   0.479961E+01   0.268812E+02
   0.481285E+01   0.268811E+02
   0.482610E+01   0.268810E+02
   0.483935E+01   0.268810E+02
   0.485259E+01   0.268809E+02
   0.486584E+01   0.268808E+02
   0.487908E+01   0.268808E+02
   0.489233E+01   0.268807E+02
   0.490558E+01   0.268806E+02
   0.491882E+01   0.268806E+02
   0.493207E+01   0.268805E+02
   0.494531E+01   0.268804E+02
   0.495856E+01   0.268803E+02
   0.497180E+01   0.268802E+02
   0.498505E+01   0.268802E+02
   0.499830E+01   0.268801E+02
   0.501154E+01   0.268800E+02
   0.502479E+01   0.268799E+02
   0.503803E+01   0.268798E+02
   0.505128E+01   0.268797E+02
   0.506453E+01   0.268796E+02
   0.507777E+01   0.268795E+02
   0.509102E+01   0.268794E+02
   0.510426E+01   0.268793E+02
   0.511751E+01   0.268792E+02
   0.513076E+01   0.268790E+02
   0.514400E+01   0.268789E+02
   0.515725E+01   0.268788E+02
   0.517049E+01   0.268786E+02
   0.518374E+01   0.268785E+02
   0.519699E+01   0.268783E+02
   0.521023E+01   0.268781E+02
   0.522348E+01   0.268780E+02
   0.523672E+01   0.268776E+02
   0.524997E+01   0.268776E+02
   0.526321E+01   0.268779E+02
zone,t="x=     1.90334"
  -0.105820E+01   0.874585E-01
  -0.756966E+00   0.174998E+00
  -0.580538E+00   0.262701E+00
  -0.455129E+00   0.350647E+00
  -0.357613E+00   0.438920E+00
  -0.277693E+00   0.527601E+00
  -0.209873E+00   0.616773E+00
  -0.150875E+00   0.706518E+00
  -0.985827E-01   0.796920E+00
  -0.515530E-01   0.888064E+00
  -0.875590E-02   0.980032E+00
   0.305687E-01   0.107291E+01
   0.669980E-01   0.116679E+01
   0.100980E+00   0.126174E+01
   0.132871E+00   0.135787E+01
   0.162957E+00   0.145526E+01
   0.191471E+00   0.155399E+01
   0.218608E+00   0.165415E+01
   0.244529E+00   0.175584E+01
   0.269371E+00   0.185915E+01
   0.293252E+00   0.196415E+01
   0.316271E+00   0.207095E+01
   0.338515E+00   0.217963E+01
   0.360059E+00   0.229028E+01
   0.380971E+00   0.240299E+01
   0.401307E+00   0.251784E+01
   0.421120E+00   0.263491E+01
   0.440455E+00   0.275428E+01
   0.459352E+00   0.287603E+01
   0.477849E+00   0.300022E+01
   0.495977E+00   0.312691E+01
   0.513768E+00   0.325616E+01
   0.531246E+00   0.338800E+01
   0.548437E+00   0.352246E+01
   0.565361E+00   0.365956E+01
   0.582040E+00   0.379930E+01
   0.598491E+00   0.394165E+01
   0.614731E+00   0.408659E+01
   0.630775E+00   0.423404E+01
   0.646637E+00   0.438392E+01
   0.662330E+00   0.453614E+01
   0.677865E+00   0.469055E+01
   0.693255E+00   0.484700E+01
   0.708507E+00   0.500531E+01
   0.723633E+00   0.516530E+01
