%F0331A Castro 2D curved mixing layer
%J. Fluid Mech. vol. 73, p. 265 (1976)
%Two sets of coordinates are used; offset r, theta coords.
%for highly-curved initial region (theta increasing with
%streamwise distance) and x,y coords. for straighter
%downstream section. 
%
%Part 1 -  Mean flow measurements in curved section
%Part 2 - Turbulence measurements in curved section
%Part 3 Turbulence measurements in straight section
%Part 4 Reference streamline
%
%__________________________________________________
%
%Part 1 - Mean flow measurements in curved section
%For mean U and V in downstream section in x,y coords.
%see Part 3.
%
%Station, theta (deg):
%     0.0
%    r      Utheta/Uref   Ur/Uref
2.5160E-01     1.0372E-02     6.7433E-03     5.5031E-03     3.3339E-03    -3.7210E-04    -4.5920E-04    -4.0500E-04    -1.1070E-03    -2.7800E-04
2.4660E-01     2.0220E-02     1.1450E-02     1.1540E-02     7.2537E-03    -2.0655E-04    -3.4023E-04    -2.1206E-04    -6.5009E-04    -1.7892E-04
2.4160E-01     2.1500E-02     9.7745E-03     1.0720E-02     7.3300E-03     1.6330E-04     2.1349E-04     2.9388E-04     7.7566E-04     2.7918E-04
2.3660E-01     1.8378E-02     5.2979E-03     5.9910E-03     4.0560E-03     8.0875E-06     3.0340E-04     2.9430E-04     1.5760E-03     3.7990E-04
2.3160E-01     8.9142E-03     1.8496E-03     1.8364E-03     5.2024E-04    -2.4893E-05     9.8184E-05     1.1339E-04     1.1588E-03     1.5615E-04
2.2660E-01     2.4615E-03     7.5101E-04     3.7038E-04    -3.0340E-04    -2.4625E-05    -1.0791E-05     4.1993E-05     3.1526E-04     3.2595E-05
%
%Station, theta (deg):
%     10.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.6160E-01     2.4641E-03     3.5164E-03     1.2796E-02     3.2306E-02     7.9022E-02     1.7110E-01     1.6496E-01     1.1354E-01     1.4737E-01
2.5638E-01     4.2221E-02     2.4295E-02     4.3863E-02     9.2974E-02     2.1388E-02     1.2192E-01     1.0495E-01     1.0511E-01     1.2556E-02
2.5117E-01     1.2358E-01     5.9024E-02     1.0031E-01     2.3004E-01    -2.2120E-04     2.7945E-02    -3.1990E-04     9.5750E-02    -2.3600E-04
2.4595E-01     1.9841E-01     9.3775E-02     1.5610E-01     4.0757E-01     2.0623E-02    -4.1560E-04     5.8176E-03    -6.2680E-03     1.4904E-01
2.4074E-01     2.2140E-01     1.1040E-01     1.5549E-01     5.2580E-01     9.5888E-02     1.3029E-01     1.5369E-01     1.2116E-01     6.0760E-01
2.3552E-01     2.0562E-01     9.6230E-02     1.1192E-01     5.2096E-01     1.5580E-01     2.5511E-01     3.2188E-01     1.3445E-01     6.9794E-01
2.3031E-01     1.6646E-01     6.3232E-02     7.2780E-02     3.5732E-01     1.2929E-01     3.1400E-01     3.5860E-01     1.4120E-01     6.6064E-01
2.2509E-01     1.0479E-01     2.8591E-02     2.7885E-02     1.1476E-01     7.5933E-02     2.2816E-01     2.7429E-01     1.3797E-01     4.1788E-01
2.1988E-01     4.2836E-02     1.0958E-02     8.7583E-03     1.3364E-02     7.4653E-02     1.8801E-01     2.2246E-01     1.2784E-01     9.8380E-01
2.1466E-01     1.6290E-03     8.0950E-04     2.1580E-04    -3.6870E-04     8.1175E-02     1.7110E-01     1.8793E-01     1.1637E-01     2.7569E-01
%
%Station, theta (deg):
%     20.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.7090E-01     1.1910E-03     9.7800E-04     8.7710E-04    -5.0800E-05    -2.0657E-05    -6.8971E-06    -7.8380E-08    -2.8075E-05    -1.8883E-05
2.6590E-01     3.5250E-03     2.2232E-03     2.8153E-03     1.7265E-04    -6.9330E-05    -5.5455E-05     4.9546E-05     3.1961E-04    -1.3861E-04
2.6090E-01     8.2230E-03     4.4195E-03     6.4300E-03     9.5826E-04    -1.3970E-04    -1.7033E-04    -1.7497E-04    -8.2038E-04    -2.4867E-04
2.5590E-01     1.5299E-02     7.1793E-03     1.1123E-02     1.9028E-03    -1.7490E-04    -2.8829E-04    -3.0800E-04    -1.0750E-03    -2.9780E-04
2.5090E-01     1.9949E-02     9.0283E-03     1.3523E-02     3.0470E-03    -1.0903E-04    -3.1290E-04    -1.9004E-04    -4.6494E-04     8.3398E-05
2.4590E-01     2.1140E-02     9.5540E-03     1.4290E-02     3.1725E-03     2.2592E-05    -5.3489E-05     2.5484E-05     2.6920E-04     4.5886E-04
2.4090E-01     1.9819E-02     9.0789E-03     1.1217E-02     3.4960E-03     1.4645E-04     1.5117E-04     2.1831E-04     8.3790E-04     5.0988E-04
2.3590E-01     1.6781E-02     7.1038E-03     7.6600E-03     2.3458E-03     1.7960E-04     2.8290E-04     3.4410E-04     1.1765E-03     5.2110E-04
2.3090E-01     1.2454E-02     4.7712E-03     4.0761E-03     1.4552E-03     6.5664E-05     2.6616E-04     3.0667E-04     1.1850E-02     3.4848E-04
2.2590E-01     8.4105E-03     3.0242E-03     1.3989E-03     5.1704E-04     1.8834E-05     1.5635E-04     1.9301E-04     9.2191E-04     1.4514E-04
%
%Station, theta (deg):
%     30.00
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.7590E-01     1.0890E-03     1.3250E-03     4.1740E-04    -6.5503E-05    -2.5387E-05    -1.5161E-05    -2.9232E-06    -3.1475E-06    -3.1314E-06
2.7090E-01     2.4829E-03     2.7575E-03     1.0285E-02     1.8362E-04    -5.7194E-05    -4.7216E-05     7.1217E-05    -1.6338E-04    -4.8932E-05
2.6590E-01     5.9347E-03     4.2787E-03     3.2418E-02     4.8390E-04    -6.6576E-05    -1.2663E-04    -1.4640E-04    -6.3182E-04    -1.5353E-04
2.6090E-01     1.1455E-02     6.5357E-03     7.2562E-02     1.0845E-03    -7.0753E-05    -2.1501E-04    -2.3200E-04    -9.5690E-04    -2.5430E-04
