#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 6.228439212E-01 1.737619052E-03 3.748771633E-06
 2.924682617E+01 6.283959150E-01 1.735954662E-03 3.747043820E-06
 2.924682617E+01 6.339432597E-01 1.734121586E-03 3.745253252E-06
 2.924682617E+01 6.394858360E-01 1.732122735E-03 3.743407888E-06
 2.924682617E+01 6.450235844E-01 1.729958341E-03 3.741507498E-06
 2.924682617E+01 6.505565047E-01 1.727627940E-03 3.739549584E-06
 2.924682617E+01 6.560845375E-01 1.725135720E-03 3.737534144E-06
 2.924682617E+01 6.616075039E-01 1.722482499E-03 3.735463679E-06
 2.924682617E+01 6.671254635E-01 1.719668624E-03 3.733343192E-06
 2.924682617E+01 6.726383567E-01 1.716695726E-03 3.731170182E-06
 2.924682617E+01 6.781460643E-01 1.713566133E-03 3.728944876E-06
 2.924682617E+01 6.836485863E-01 1.710281591E-03 3.726672048E-06
 2.924682617E+01 6.891458631E-01 1.706841053E-03 3.724351700E-06
 2.924682617E+01 6.946377754E-01 1.703247195E-03 3.721982921E-06
 2.924682617E+01 7.000490427E-01 1.699556480E-03 3.719604820E-06
 2.924682617E+01 7.053806782E-01 1.695773914E-03 3.717216941E-06
 2.924682617E+01 7.106338739E-01 1.691903686E-03 3.714818831E-06
 2.924682617E+01 7.158097029E-01 1.687955111E-03 3.712415719E-06
 2.924682617E+01 7.209092975E-01 1.683932962E-03 3.710007832E-06
 2.924682617E+01 7.259336114E-01 1.679843408E-03 3.707597443E-06
 2.924682617E+01 7.308837175E-01 1.675693202E-03 3.705186828E-06
 2.924682617E+01 7.357606888E-01 1.671484439E-03 3.702778940E-06
 2.924682617E+01 7.405655980E-01 1.667224336E-03 3.700375828E-06
 2.924682617E+01 7.452993393E-01 1.662917784E-03 3.697977945E-06
 2.924682617E+01 7.499630451E-01 1.658567460E-03 3.695582564E-06
 2.924682617E+01 7.545576096E-01 1.654179883E-03 3.693194685E-06
 2.924682617E+01 7.590839863E-01 1.649758546E-03 3.690816584E-06
 2.924682617E+01 7.635432482E-01 1.645306940E-03 3.688445986E-06
 2.924682617E+01 7.679362893E-01 1.640830887E-03 3.686082891E-06
 2.924682617E+01 7.722640038E-01 1.636331901E-03 3.683732530E-06
 2.924682617E+01 7.765273452E-01 1.631814055E-03 3.681397175E-06
 2.924682617E+01 7.807272077E-01 1.627280726E-03 3.679071597E-06
 2.924682617E+01 7.848646045E-01 1.622733776E-03 3.676758524E-06
 2.924682617E+01 7.889402509E-01 1.618178561E-03 3.674460686E-06
 2.924682617E+01 7.929551005E-01 1.613615896E-03 3.672177399E-06
 2.924682617E+01 7.969100475E-01 1.609051367E-03 3.669909574E-06
 2.924682617E+01 8.008058667E-01 1.604485675E-03 3.667656529E-06
 2.924682617E+01 8.046435118E-01 1.599919866E-03 3.665420991E-06
 2.924682617E+01 8.084237576E-01 1.595357666E-03 3.663202961E-06
 2.924682617E+01 8.121473789E-01 1.590800355E-03 3.660999937E-06
 2.924682617E+01 8.158152699E-01 1.586252241E-03 3.658814421E-06
 2.924682617E+01 8.194280863E-01 1.581715769E-03 3.656646413E-06
 2.924682617E+01 8.229868412E-01 1.577190589E-03 3.654498641E-06
 2.924682617E+01 8.264921308E-01 1.572677051E-03 3.652370424E-06
 2.924682617E+01 8.299447298E-01 1.568178763E-03 3.650259941E-06
 2.924682617E+01 8.333454132E-01 1.563700498E-03 3.648169468E-06
 2.924682617E+01 8.366950154E-01 1.559239929E-03 3.646096275E-06
 2.924682617E+01 8.399940729E-01 1.554798451E-03 3.644043545E-06
 2.924682617E+01 8.432435989E-01 1.550378394E-03 3.642007869E-06
 2.924682617E+01 8.464440107E-01 1.545980456E-03 3.639992428E-06
 2.924682617E+01 8.495962024E-01 1.541606849E-03 3.637999271E-06
 2.924682617E+01 8.527007103E-01 1.537259552E-03 3.636023848E-06
 2.924682617E+01 8.557584286E-01 1.532938331E-03 3.634068207E-06
 2.924682617E+01 8.587698936E-01 1.528642839E-03 3.632135304E-06
 2.924682617E+01 8.617358804E-01 1.524376101E-03 3.630224910E-06
 2.924682617E+01 8.646569252E-01 1.520136604E-03 3.628331569E-06
 2.924682617E+01 8.675336838E-01 1.515926677E-03 3.626455964E-06
 2.924682617E+01 8.703668714E-01 1.511750277E-03 3.624600595E-06
 2.924682617E+01 8.731570840E-01 1.507605193E-03 3.622767736E-06
 2.924682617E+01 8.759049177E-01 1.503489329E-03 3.620954658E-06
 2.924682617E+01 8.786110878E-01 1.499405014E-03 3.619161589E-06
 2.924682617E+01 8.812760115E-01 1.495355391E-03 3.617390803E-06
 2.924682617E+01 8.839004636E-01 1.491340110E-03 3.615637979E-06
 2.924682617E+01 8.864849806E-01 1.487359521E-03 3.613904937E-06
 2.924682617E+01 8.890300989E-01 1.483412576E-03 3.612194405E-06
 2.924682617E+01 8.915364146E-01 1.479500788E-03 3.610503882E-06
 2.924682617E+01 8.940044641E-01 1.475623110E-03 3.608830866E-06
 2.924682617E+01 8.964349031E-01 1.471781172E-03 3.607177632E-06
 2.924682617E+01 8.988281488E-01 1.467976486E-03 3.605544634E-06
 2.924682617E+01 9.011847973E-01 1.464206958E-03 3.603931646E-06
 2.924682617E+01 9.035054445E-01 1.460473286E-03 3.602341167E-06
 2.924682617E+01 9.057905078E-01 1.456777565E-03 3.600765240E-06
 2.924682617E+01 9.080405831E-01 1.453119679E-03 3.599207503E-06
 2.924682617E+01 9.102561474E-01 1.449497184E-03 3.597672276E-06
 2.924682617E+01 9.124376774E-01 1.445911126E-03 3.596156603E-06
 2.924682617E+01 9.145857692E-01 1.442362671E-03 3.594658438E-06
 2.924682617E+01 9.167007804E-01 1.438851468E-03 3.593178235E-06
 2.924682617E+01 9.187832475E-01 1.435378217E-03 3.591720315E-06
