VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA-QCR2000"
 3.086963843E-04 3.557654331E-03 2.781257965E-03 2.004859503E-03
 3.182698856E-04 3.561927937E-03 2.784586744E-03 2.007243223E-03
 3.281394893E-04 3.565994790E-03 2.787753474E-03 2.009509830E-03
 3.383143339E-04 3.569863271E-03 2.790764440E-03 2.011663280E-03
 3.488039365E-04 3.573540831E-03 2.793625928E-03 2.013708465E-03
 3.596180177E-04 3.577034222E-03 2.796343062E-03 2.015649108E-03
 3.707666765E-04 3.580349963E-03 2.798920497E-03 2.017488470E-03
 3.822602448E-04 3.583493177E-03 2.801362658E-03 2.019229578E-03
 3.941094328E-04 3.586468985E-03 2.803673735E-03 2.020875458E-03
 4.063252709E-04 3.589282278E-03 2.805856755E-03 2.022428205E-03
 4.189191386E-04 3.591936780E-03 2.807915211E-03 2.023890615E-03
 4.319027066E-04 3.594435984E-03 2.809851896E-03 2.025264548E-03
 4.452880821E-04 3.596783616E-03 2.811669372E-03 2.026551636E-03
 4.590877215E-04 3.598982235E-03 2.813369734E-03 2.027753508E-03
 4.733144306E-04 3.601034405E-03 2.814954845E-03 2.028871560E-03
 4.879814805E-04 3.602942452E-03 2.816426568E-03 2.029907191E-03
 5.031024921E-04 3.604708007E-03 2.817786532E-03 2.030861098E-03
 5.186916096E-04 3.606333164E-03 2.819035668E-03 2.031734213E-03
 5.347632105E-04 3.607818624E-03 2.820175141E-03 2.032527234E-03
 5.513323122E-04 3.609166015E-03 2.821205882E-03 2.033240860E-03
 5.684143398E-04 3.610376036E-03 2.822128125E-03 2.033875557E-03
 5.860251840E-04 3.611448919E-03 2.822942566E-03 2.034431323E-03
 6.041811430E-04 3.612385364E-03 2.823649440E-03 2.034908393E-03
 6.228992715E-04 3.613185370E-03 2.824248979E-03 2.035306767E-03
 6.421967992E-04 3.613848705E-03 2.824740484E-03 2.035626210E-03
 6.620918284E-04 3.614375368E-03 2.825123956E-03 2.035866724E-03
 6.826028111E-04 3.614763962E-03 2.825398929E-03 2.036027843E-03
 7.037487812E-04 3.615014255E-03 2.825564705E-03 2.036108635E-03
 7.255495293E-04 3.615125315E-03 2.825620351E-03 2.036108635E-03
 7.480251952E-04 3.615095280E-03 2.825564938E-03 2.036027377E-03
 7.711967919E-04 3.614922985E-03 2.825396834E-03 2.035863465E-03
 7.950857980E-04 3.614606569E-03 2.825115109E-03 2.035615733E-03
 8.197145071E-04 3.614143934E-03 2.824717900E-03 2.035283484E-03
 8.451058529E-04 3.613532754E-03 2.824203344E-03 2.034865087E-03
 8.712833514E-04 3.612770699E-03 2.823569113E-03 2.034358680E-03
 8.982714498E-04 3.611854510E-03 2.822813578E-03 2.033763099E-03
 9.260951774E-04 3.610781394E-03 2.821933711E-03 2.033076249E-03
 9.547804948E-04 3.609548090E-03 2.820927184E-03 2.032296266E-03
 9.843540611E-04 3.608150641E-03 2.819790971E-03 2.031420590E-03
 1.014843350E-03 3.606585087E-03 2.818521578E-03 2.030447125E-03
 1.046276768E-03 3.604847006E-03 2.817115979E-03 2.029373543E-03
 1.078683534E-03 3.602931742E-03 2.815570217E-03 2.028196817E-03
 1.112093800E-03 3.600834403E-03 2.813880332E-03 2.026913920E-03
 1.146538649E-03 3.598549636E-03 2.812042367E-03 2.025522059E-03
 1.182050211E-03 3.596071387E-03 2.810051199E-03 2.024017507E-03
 1.218661433E-03 3.593393834E-03 2.807902405E-03 2.022397006E-03
 1.256406307E-03 3.590509994E-03 2.805590397E-03 2.020656364E-03
 1.295320108E-03 3.587412881E-03 2.803109819E-03 2.018791623E-03
