VARIABLES = "y","uuprime_nok","wwprime_nok","vvprime_nok"
ZONE T="CFL3D, SA-QCR2000"
 1.705053449E-01 -1.270725747E-10 1.713554103E-12 1.253589732E-10
 1.757858396E-01 -1.271169975E-10 1.714182182E-12 1.254027715E-10
 1.812298745E-01 -1.271584921E-10 1.714771879E-12 1.254436693E-10
 1.868425012E-01 -1.271967531E-10 1.715318968E-12 1.254813892E-10
 1.926289499E-01 -1.272314615E-10 1.715819435E-12 1.255155840E-10
 1.985946149E-01 -1.272622563E-10 1.716268729E-12 1.255459348E-10
 2.047450244E-01 -1.272887906E-10 1.716661969E-12 1.255720805E-10
 2.110859156E-01 -1.273106898E-10 1.716993952E-12 1.255936327E-10
 2.176231891E-01 -1.273275374E-10 1.717259364E-12 1.256102167E-10
 2.243629098E-01 -1.273389033E-10 1.717452244E-12 1.256214022E-10
 2.313113511E-01 -1.273443573E-10 1.717566627E-12 1.256267312E-10
 2.384749949E-01 -1.273434136E-10 1.717596226E-12 1.256257598E-10
 2.458604872E-01 -1.273355865E-10 1.717534209E-12 1.256180021E-10
 2.534747124E-01 -1.273203765E-10 1.717373748E-12 1.256029447E-10
 2.613247335E-01 -1.272972144E-10 1.717107359E-12 1.255800602E-10
 2.694178820E-01 -1.272655592E-10 1.716727346E-12 1.255487797E-10
 2.777616680E-01 -1.272248418E-10 1.716225903E-12 1.255085619E-10
 2.863638699E-01 -1.271744515E-10 1.715594789E-12 1.254588100E-10
 2.952324748E-01 -1.271137778E-10 1.714825764E-12 1.253988996E-10
 3.043757379E-01 -1.270422101E-10 1.713909938E-12 1.253282478E-10
 3.138021529E-01 -1.269590960E-10 1.712838747E-12 1.252462023E-10
 3.235205114E-01 -1.268638111E-10 1.711603081E-12 1.251521525E-10
 3.335398436E-01 -1.267556754E-10 1.710193944E-12 1.250454323E-10
 3.438694775E-01 -1.266340505E-10 1.708602227E-12 1.249254034E-10
 3.545189798E-01 -1.264982979E-10 1.706818931E-12 1.247914272E-10
 3.654983342E-01 -1.263477795E-10 1.704834949E-12 1.246428932E-10
 3.768177032E-01 -1.261818566E-10 1.702641717E-12 1.244791631E-10
 3.884876370E-01 -1.259999605E-10 1.700230451E-12 1.242996817E-10
 4.005189836E-01 -1.258015220E-10 1.697593346E-12 1.241038800E-10
