VARIABLES = "y","uuprime","wwprime","vvprime"
ZONE T="CFL3D, SA"
 6.620918284E-04 2.831591992E-03 2.830544487E-03 2.829491161E-03
 6.826028111E-04 2.831858117E-03 2.830773359E-03 2.829682315E-03
 7.037487812E-04 2.832014579E-03 2.830890939E-03 2.829761244E-03
 7.255495293E-04 2.832060214E-03 2.830896759E-03 2.829726785E-03
 7.480251952E-04 2.831994090E-03 2.830789424E-03 2.829578007E-03
 7.711967919E-04 2.831815043E-03 2.830567770E-03 2.829313045E-03
 7.950857980E-04 2.831521677E-03 2.830230165E-03 2.828930737E-03
 8.197145071E-04 2.831112128E-03 2.829774749E-03 2.828429220E-03
 8.451058529E-04 2.830584301E-03 2.829199657E-03 2.827806631E-03
 8.712833514E-04 2.829936566E-03 2.828502795E-03 2.827060409E-03
 8.982714498E-04 2.829166129E-03 2.827681834E-03 2.826188225E-03
 9.260951774E-04 2.828270895E-03 2.826733980E-03 2.825187752E-03
 9.547804948E-04 2.827247838E-03 2.825656906E-03 2.824055729E-03
 9.843540611E-04 2.826094162E-03 2.824446885E-03 2.822789364E-03
 1.014843350E-03 2.824806375E-03 2.823101124E-03 2.821385162E-03
 1.046276768E-03 2.823381452E-03 2.821615897E-03 2.819839399E-03
 1.078683534E-03 2.821814967E-03 2.819987480E-03 2.818148350E-03
 1.112093800E-03 2.820103429E-03 2.818211680E-03 2.816307591E-03
 1.146538649E-03 2.818242181E-03 2.816283843E-03 2.814312931E-03
 1.182050211E-03 2.816226566E-03 2.814199543E-03 2.812159481E-03
 1.218661433E-03 2.814051928E-03 2.811953891E-03 2.809842117E-03
 1.256406307E-03 2.811712679E-03 2.809541300E-03 2.807355253E-03
 1.295320108E-03 2.809203463E-03 2.806955948E-03 2.804693533E-03
 1.335438923E-03 2.806517761E-03 2.804192016E-03 2.801850438E-03
 1.376800123E-03 2.803649521E-03 2.801242750E-03 2.798819216E-03
 1.419442124E-03 2.800592221E-03 2.798101399E-03 2.795593347E-03
 1.463404740E-03 2.797338180E-03 2.794760745E-03 2.792165382E-03
 1.508728717E-03 2.793879714E-03 2.791212872E-03 2.788527403E-03
 1.555456314E-03 2.790208673E-03 2.787449630E-03 2.784670796E-03
 1.603630953E-03 2.786316676E-03 2.783462172E-03 2.780587412E-03
 1.653297455E-03 2.782194410E-03 2.779241651E-03 2.776267473E-03
 1.704502036E-03 2.777832327E-03 2.774777822E-03 2.771701198E-03
 1.757292310E-03 2.773219720E-03 2.770060441E-03 2.766878111E-03
 1.811717520E-03 2.768346108E-03 2.765078796E-03 2.761787269E-03
 1.867828076E-03 2.763199853E-03 2.759821014E-03 2.756417030E-03
 1.925676246E-03 2.757768612E-03 2.754274756E-03 2.750755055E-03
 1.985315932E-03 2.752039814E-03 2.748427447E-03 2.744788071E-03
 2.046802780E-03 2.745999489E-03 2.742265118E-03 2.738502808E-03
 2.110193484E-03 2.739633434E-03 2.735773567E-03 2.731884364E-03
 2.175547648E-03 2.732926281E-03 2.728937194E-03 2.724917373E-03
 2.242925344E-03 2.725862199E-03 2.721739933E-03 2.717585769E-03
 2.312389901E-03 2.718423726E-03 2.714164788E-03 2.709872788E-03
 2.384005813E-03 2.710593631E-03 2.706194064E-03 2.701759804E-03
 2.457839437E-03 2.702352358E-03 2.697808435E-03 2.693228424E-03
 2.533959458E-03 2.693680581E-03 2.688988112E-03 2.684258157E-03
 2.612437122E-03 2.684556646E-03 2.679711906E-03 2.674828283E-03
 2.693345072E-03 2.674958669E-03 2.669957466E-03 2.664916217E-03
 2.776758745E-03 2.664862899E-03 2.659701975E-03 2.654498676E-03
 2.862755442E-03 2.654244890E-03 2.648920054E-03 2.643551212E-03
 2.951415488E-03 2.643078566E-03 2.637585858E-03 2.632047748E-03
 3.042821307E-03 2.631336683E-03 2.625672380E-03 2.619960811E-03
 3.137057880E-03 2.618989907E-03 2.613150282E-03 2.607261529E-03
 3.234212985E-03 2.606007969E-03 2.599989530E-03 2.593919868E-03
 3.334376728E-03 2.592359204E-03 2.586158225E-03 2.579904161E-03
 3.437642707E-03 2.578009386E-03 2.571622608E-03 2.565180650E-03
 3.544106614E-03 2.562923590E-03 2.556347754E-03 2.549714409E-03
 3.653867636E-03 2.547064330E-03 2.540296176E-03 2.533468651E-03
 3.767027752E-03 2.530392492E-03 2.523429226E-03 2.516404493E-03
 3.883692669E-03 2.512866631E-03 2.505705925E-03 2.498481423E-03
 4.003970418E-03 2.494444139E-03 2.487083664E-03 2.479656832E-03
 4.127973225E-03 2.475079615E-03 2.467517275E-03 2.459886251E-03
 4.255816340E-03 2.454725560E-03 2.446959727E-03 2.439122880E-03
 4.387618508E-03 2.433332149E-03 2.425361890E-03 2.417318057E-03
 4.523502663E-03 2.410847694E-03 2.402672311E-03 2.394420793E-03
 4.663594998E-03 2.387218177E-03 2.378837438E-03 2.370377770E-03
 4.808025900E-03 2.362386324E-03 2.353800694E-03 2.345133806E-03
 4.956929944E-03 2.336293226E-03 2.327504335E-03 2.318630926E-03
 5.110444967E-03 2.308877883E-03 2.299887128E-03 2.290809527E-03
 5.268714856E-03 2.280076034E-03 2.270886442E-03 2.261607209E-03
 5.431886297E-03 2.249821322E-03 2.240436617E-03 2.230959479E-03
 5.600110628E-03 2.218045760E-03 2.208470600E-03 2.198800212E-03
 5.773545243E-03 2.184678335E-03 2.174918540E-03 2.165060956E-03
 5.952350795E-03 2.149646403E-03 2.139709191E-03 2.129671164E-03
 6.136693992E-03 2.112875227E-03 2.102769213E-03 2.092559356E-03
 6.326746196E-03 2.074289136E-03 2.064023633E-03 2.053652192E-03
 6.522683892E-03 2.033810830E-03 2.023397712E-03 2.012875862E-03
 6.724690087E-03 1.991361845E-03 1.980814384E-03 1.970155630E-03
 6.932952441E-03 1.946864533E-03 1.936197630E-03 1.925416989E-03
 7.147664204E-03 1.900241128E-03 1.889471896E-03 1.878586831E-03
 7.369025610E-03 1.851415145E-03 1.840563025E-03 1.829592744E-03
 7.597242948E-03 1.800312777E-03 1.789399190E-03 1.778365695E-03
 7.832527161E-03 1.746864291E-03 1.735913334E-03 1.724840724E-03
 8.075099438E-03 1.691004029E-03 1.680042362E-03 1.668957528E-03
 8.325182833E-03 1.632674946E-03 1.621731906E-03 1.610664651E-03
 8.583012037E-03 1.571828150E-03 1.560936100E-03 1.549918903E-03
 8.848825470E-03 1.508427667E-03 1.497621648E-03 1.486690366E-03
 9.122870862E-03 1.442452543E-03 1.431770972E-03 1.420964254E-03
 9.405404329E-03 1.373900799E-03 1.363385003E-03 1.352744526E-03
 9.696686640E-03 1.302795252E-03 1.292489585E-03 1.282060402E-03
 9.996990673E-03 1.229187241E-03 1.219139085E-03 1.208969043E-03
 1.030659489E-02 1.153165009E-03 1.143424306E-03 1.133564278E-03
 1.062578708E-02 1.074860920E-03 1.065480406E-03 1.055983594E-03
 1.095486525E-02 9.944603080E-04 9.854944656E-04 9.764162241E-04
 1.129413396E-02 9.122141637E-04 9.037189884E-04 8.951161290E-04
 1.164390985E-02 8.284507785E-04 8.204826736E-04 8.124124724E-04
