# PDF of fluctuation velocity in a strained channel at different channel heights
# Normalization is by u_tau(0) (i.e. unstrained channel u_tau)
# STRAIN TIME = 0.365
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -3.62678E+00   1.78899E-02  -2.54446E+00   4.54106E-04  -4.15915E+00   4.65782E-04
 -3.58913E+00   1.97915E-02  -2.52189E+00   5.00941E-04  -4.12544E+00   5.12878E-04
 -3.55148E+00   2.19203E-02  -2.49930E+00   5.42892E-04  -4.09174E+00   5.40506E-04
 -3.51383E+00   2.36602E-02  -2.47674E+00   5.74874E-04  -4.05831E+00   6.42747E-04
 -3.47618E+00   2.60425E-02  -2.45418E+00   6.79860E-04  -4.02461E+00   7.33086E-04
 -3.43853E+00   2.87143E-02  -2.43159E+00   6.64633E-04  -3.99091E+00   7.47426E-04
 -3.40062E+00   3.11267E-02  -2.40902E+00   6.57667E-04  -3.95720E+00   8.01056E-04
 -3.36297E+00   3.36709E-02  -2.38646E+00   7.17047E-04  -3.92377E+00   8.50862E-04
 -3.32532E+00   3.66892E-02  -2.36390E+00   7.94306E-04  -3.89007E+00   9.58648E-04
 -3.28767E+00   3.96974E-02  -2.34131E+00   8.45087E-04  -3.85637E+00   1.06323E-03
 -3.25002E+00   4.27352E-02  -2.31874E+00   9.24181E-04  -3.82266E+00   1.17049E-03
 -3.21237E+00   4.60570E-02  -2.29618E+00   1.01518E-03  -3.78896E+00   1.27541E-03
 -3.17472E+00   4.90675E-02  -2.27359E+00   1.10162E-03  -3.75553E+00   1.37153E-03
 -3.13707E+00   5.19964E-02  -2.25103E+00   1.13255E-03  -3.72183E+00   1.48687E-03
 -3.09915E+00   5.52676E-02  -2.22846E+00   1.28452E-03  -3.68812E+00   1.60087E-03
 -3.06150E+00   5.90872E-02  -2.20590E+00   1.45312E-03  -3.65442E+00   1.76338E-03
 -3.02385E+00   6.27940E-02  -2.18331E+00   1.44166E-03  -3.62072E+00   1.92800E-03
 -2.98620E+00   6.60729E-02  -2.16074E+00   1.53049E-03  -3.58729E+00   2.05505E-03
 -2.94855E+00   6.95386E-02  -2.13818E+00   1.63977E-03  -3.55359E+00   2.10849E-03
 -2.91090E+00   7.32259E-02  -2.11559E+00   1.78312E-03  -3.51988E+00   2.28090E-03
 -2.87325E+00   7.69444E-02  -2.09303E+00   1.91300E-03  -3.48618E+00   2.53108E-03
 -2.83560E+00   8.08846E-02  -2.07046E+00   1.96655E-03  -3.45248E+00   2.78579E-03
 -2.79769E+00   8.43191E-02  -2.04790E+00   2.11523E-03  -3.41905E+00   3.01054E-03
 -2.76004E+00   8.75242E-02  -2.02531E+00   2.32360E-03  -3.38534E+00   3.14629E-03
 -2.72239E+00   9.09159E-02  -2.00275E+00   2.45250E-03  -3.35164E+00   3.35350E-03
 -2.68474E+00   9.45255E-02  -1.98018E+00   2.59953E-03  -3.31794E+00   3.57509E-03
 -2.64709E+00   9.84268E-02  -1.95759E+00   2.78730E-03  -3.28424E+00   3.85228E-03
 -2.60941E+00   1.01908E-01  -1.93503E+00   2.97028E-03  -3.25081E+00   4.20446E-03
 -2.57174E+00   1.05506E-01  -1.91246E+00   3.15760E-03  -3.21710E+00   4.60419E-03
 -2.53403E+00   1.09777E-01  -1.88987E+00   3.40776E-03  -3.18340E+00   4.94476E-03
 -2.49636E+00   1.13375E-01  -1.86731E+00   3.87985E-03  -3.14970E+00   5.25210E-03
 -2.45868E+00   1.16657E-01  -1.84475E+00   4.14215E-03  -3.11627E+00   5.48106E-03
 -2.42100E+00   1.20150E-01  -1.82218E+00   4.24881E-03  -3.08256E+00   5.85054E-03
 -2.38333E+00   1.23219E-01  -1.79959E+00   4.58173E-03  -3.04886E+00   6.28599E-03
 -2.34562E+00   1.26284E-01  -1.77703E+00   4.91016E-03  -3.01516E+00   6.91549E-03
 -2.30795E+00   1.29532E-01  -1.75447E+00   5.19456E-03  -2.98146E+00   7.43793E-03
 -2.27027E+00   1.32204E-01  -1.73188E+00   5.65788E-03  -2.94803E+00   8.06887E-03
 -2.23260E+00   1.35514E-01  -1.70931E+00   6.11956E-03  -2.91432E+00   8.64819E-03
 -2.19492E+00   1.38614E-01  -1.68675E+00   6.55645E-03  -2.88062E+00   9.12140E-03
