# PDF of fluctuation velocity in a channel at Re_tau = 391.68 at different channel heights
# Normalization is by u_tau
# STRAIN TIME = 0.0 (unstrained)
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -3.09204E+00   1.02217E-01  -2.72423E+00   2.96162E-04  -3.57096E+00   2.74793E-03
 -3.04702E+00   1.03309E-01  -2.70001E+00   3.13089E-04  -3.53384E+00   2.86187E-03
 -3.00200E+00   1.04527E-01  -2.67552E+00   3.62350E-04  -3.49672E+00   3.05185E-03
 -2.95698E+00   1.05496E-01  -2.65104E+00   3.60088E-04  -3.45986E+00   3.27791E-03
 -2.91222E+00   1.06306E-01  -2.62671E+00   3.88710E-04  -3.42273E+00   3.67385E-03
 -2.86720E+00   1.07404E-01  -2.60230E+00   4.07503E-04  -3.38561E+00   3.93055E-03
 -2.82217E+00   1.08670E-01  -2.57790E+00   4.49177E-04  -3.34875E+00   4.25016E-03
 -2.77715E+00   1.09249E-01  -2.55346E+00   4.76106E-04  -3.31162E+00   4.58372E-03
 -2.73213E+00   1.09599E-01  -2.52906E+00   5.34026E-04  -3.27450E+00   4.85704E-03
 -2.68711E+00   1.10470E-01  -2.50465E+00   5.55399E-04  -3.23764E+00   5.21486E-03
 -2.64209E+00   1.11484E-01  -2.48024E+00   5.90445E-04  -3.20052E+00   5.64060E-03
 -2.59717E+00   1.12490E-01  -2.45584E+00   6.56818E-04  -3.16339E+00   5.93818E-03
 -2.55217E+00   1.13075E-01  -2.43140E+00   6.98003E-04  -3.12653E+00   6.33764E-03
 -2.50718E+00   1.13260E-01  -2.40700E+00   7.21750E-04  -3.08941E+00   6.70597E-03
 -2.46218E+00   1.13828E-01  -2.38259E+00   7.86576E-04  -3.05229E+00   7.25059E-03
 -2.41719E+00   1.14752E-01  -2.35818E+00   8.67410E-04  -3.01543E+00   7.94318E-03
 -2.37219E+00   1.15282E-01  -2.33378E+00   9.23702E-04  -2.97830E+00   8.53469E-03
 -2.32722E+00   1.16021E-01  -2.30934E+00   9.68618E-04  -2.94118E+00   9.20586E-03
 -2.28222E+00   1.16522E-01  -2.28494E+00   1.00130E-03  -2.90432E+00   9.77432E-03
 -2.23723E+00   1.16889E-01  -2.26053E+00   1.07856E-03  -2.86720E+00   1.05009E-02
 -2.19223E+00   1.17674E-01  -2.23612E+00   1.09027E-03  -2.83007E+00   1.13233E-02
 -2.14724E+00   1.18183E-01  -2.21172E+00   1.16171E-03  -2.79321E+00   1.18917E-02
 -2.10224E+00   1.18816E-01  -2.18728E+00   1.35942E-03  -2.75609E+00   1.27392E-02
 -2.05727E+00   1.19530E-01  -2.16288E+00   1.44390E-03  -2.71897E+00   1.36380E-02
 -2.01228E+00   1.20082E-01  -2.13847E+00   1.53796E-03  -2.68211E+00   1.45145E-02
 -1.96728E+00   1.20723E-01  -2.11406E+00   1.52857E-03  -2.64498E+00   1.55585E-02
 -1.92229E+00   1.21213E-01  -2.08966E+00   1.64651E-03  -2.60794E+00   1.66655E-02
 -1.87729E+00   1.21323E-01  -2.06525E+00   1.74884E-03  -2.57092E+00   1.77478E-02
 -1.83229E+00   1.21463E-01  -2.04082E+00   1.85237E-03  -2.53387E+00   1.89402E-02
 -1.78730E+00   1.21911E-01  -2.01641E+00   1.87062E-03  -2.49683E+00   2.01466E-02
 -1.74233E+00   1.22028E-01  -1.99200E+00   2.04896E-03  -2.45981E+00   2.15589E-02
 -1.69733E+00   1.22337E-01  -1.96760E+00   2.19436E-03  -2.42277E+00   2.30751E-02
 -1.65234E+00   1.22608E-01  -1.94319E+00   2.36019E-03  -2.38572E+00   2.48828E-02
 -1.60734E+00   1.22754E-01  -1.91876E+00   2.57425E-03  -2.34870E+00   2.65542E-02
 -1.56235E+00   1.23191E-01  -1.89435E+00   2.68458E-03  -2.31166E+00   2.84003E-02
 -1.51735E+00   1.23756E-01  -1.86994E+00   2.91227E-03  -2.27462E+00   3.02347E-02
 -1.47238E+00   1.24087E-01  -1.84554E+00   3.15074E-03  -2.23757E+00   3.22939E-02
 -1.42738E+00   1.24322E-01  -1.82113E+00   3.38325E-03  -2.20055E+00   3.43858E-02
 -1.38239E+00   1.24815E-01  -1.79670E+00   3.58791E-03  -2.16351E+00   3.68141E-02
 -1.33739E+00   1.24868E-01  -1.77229E+00   3.75150E-03  -2.12646E+00   3.93759E-02
 -1.29240E+00   1.25022E-01  -1.74788E+00   3.94280E-03  -2.08945E+00   4.22469E-02
 -1.24740E+00   1.25437E-01  -1.72348E+00   4.30278E-03  -2.05240E+00   4.46809E-02
 -1.20241E+00   1.25577E-01  -1.69907E+00   4.55217E-03  -2.01536E+00   4.74949E-02
 -1.15744E+00   1.25750E-01  -1.67464E+00   4.69452E-03  -1.97834E+00   5.08871E-02
 -1.11244E+00   1.25863E-01  -1.65023E+00   5.11350E-03  -1.94129E+00   5.42793E-02
 -1.06744E+00   1.25818E-01  -1.62582E+00   5.66009E-03  -1.90425E+00   5.78656E-02
 -1.02245E+00   1.26053E-01  -1.60142E+00   5.90279E-03  -1.86723E+00   6.13993E-02
 -9.77453E-01   1.26490E-01  -1.57701E+00   6.32482E-03  -1.83019E+00   6.51918E-02
 -9.32457E-01   1.27117E-01  -1.55258E+00   6.82259E-03  -1.79314E+00   6.92835E-02
 -8.87488E-01   1.27168E-01  -1.52817E+00   7.17252E-03  -1.75610E+00   7.35894E-02
 -8.42492E-01   1.27030E-01  -1.50376E+00   7.45233E-03  -1.71908E+00   7.80935E-02
 -7.97496E-01   1.27470E-01  -1.47936E+00   8.02584E-03  -1.68204E+00   8.30464E-02
 -7.52501E-01   1.27540E-01  -1.45495E+00   8.43662E-03  -1.64499E+00   8.82540E-02
 -7.07505E-01   1.27675E-01  -1.43054E+00   9.42886E-03  -1.60797E+00   9.36435E-02
 -6.62509E-01   1.28013E-01  -1.40611E+00   1.02134E-02  -1.57093E+00   9.94414E-02
 -6.17513E-01   1.28109E-01  -1.38170E+00   1.07697E-02  -1.53388E+00   1.04774E-01
 -5.72544E-01   1.28120E-01  -1.35730E+00   1.13842E-02  -1.49687E+00   1.10790E-01
 -5.27548E-01   1.28120E-01  -1.33289E+00   1.24247E-02  -1.45982E+00   1.17377E-01
 -4.82552E-01   1.28683E-01  -1.30848E+00   1.30882E-02  -1.42278E+00   1.23769E-01
 -4.37557E-01   1.29013E-01  -1.28405E+00   1.37861E-02  -1.38576E+00   1.30606E-01
 -3.92561E-01   1.28607E-01  -1.25964E+00   1.49119E-02  -1.34871E+00   1.38381E-01
