#
# From LES simulations of the flow over a wall-mounted hump
# Published in
#      Avdis A., Lardeau S. & Leschziner M.A. (2009) 
#           Large Eddy Simulation of Separated Flow over a Glauert-Goldschmied 
#           Wall-Mounted Hump with and without Control by Means of a Synthetic Jet
#           Flow, Turbulence And Combustion, 83, 343-370.
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
# 
# Reference velocity: U_in
# Reference length: C 
# Re_C = U_in C/nu = 935,892
# 
# Other parameters:
#     Domain width z = 0.4 C
#     Hump height h = 0.13 C
#
# Boundary layer parameters upstream of the hump:
#     Momentum-thickness Reynolds number : Re_theta = 6771
#     Boundary-layer thickness : delta = 0.07 C  = 0.55 h
#     Displacement-thickness : delta^*  = 9.4 × 10−3 C = 0.073 h
#
# 
# Data: 
#    Resolution (nx,ny) = (207,23)
#    Domain extent from x = 0.625C to 1.583C
#
#    do i = 1,nx
#    do j = 1,ny
#       read(20,*) x(i,j),y(i,j),U(i,j),V(i,j),W(i,j)&
#                 ,uu(i,j),vv(i,j),ww(i,j)&
#                 ,uv(i,j),uw(i,j),vw(i,j)
#    enddo
#    read(20,*)
#    enddo
# 
#    x/C           y/C           U/U_in        V/U_in        W/U_in        uu/U_in^2     vv/U_in^2     ww/U_in^2     uv/U_in^2     uw/U_in^2     vw/U_in^2

     0.6296579     0.1211482     0.5024866    -0.0747045     0.0002089     0.0239592     0.0087860     0.0147230    -0.0043546     0.0000507     0.0000094
     0.6306905     0.1246798     0.9524666    -0.1228495     0.0003206     0.0158376     0.0045494     0.0064951    -0.0036516    -0.0000443     0.0000030
     0.6320453     0.1277022     1.0524986    -0.1270450     0.0002570     0.0087680     0.0030516     0.0045441    -0.0020108    -0.0000231     0.0000021
     0.6335846     0.1305917     1.0950254    -0.1262423     0.0004815     0.0055316     0.0024375     0.0036774    -0.0012970    -0.0000400    -0.0000088
     0.6352746     0.1335474     1.1145372    -0.1237736     0.0008605     0.0041433     0.0022255     0.0032308    -0.0009882    -0.0000281    -0.0000034
     0.6371198     0.1366669     1.1242084    -0.1205340     0.0009611     0.0035861     0.0022295     0.0029428    -0.0008857    -0.0000231     0.0000008
     0.6391347     0.1400069     1.1296201    -0.1171533     0.0010113     0.0033320     0.0022912     0.0027423    -0.0008652    -0.0000292     0.0000069
     0.6412962     0.1436166     1.1340472    -0.1136712     0.0011691     0.0031978     0.0023319     0.0026105    -0.0008896    -0.0000208     0.0000113
     0.6435984     0.1475326     1.1391107    -0.1102116     0.0014039     0.0031221     0.0023106     0.0024631    -0.0009248    -0.0000074     0.0000100
     0.6460364     0.1517914     1.1449845    -0.1066569     0.0017275     0.0030159     0.0022337     0.0023048    -0.0009469     0.0000107     0.0000166
     0.6485884     0.1564339     1.1519112    -0.1030601     0.0016125     0.0028687     0.0020761     0.0021211    -0.0009478     0.0000150     0.0000133
     0.6512194     0.1615028     1.1601057    -0.0994713     0.0009943     0.0026879     0.0018683     0.0018585    -0.0009201     0.0000053     0.0000140
     0.6538808     0.1670396     1.1695451    -0.0958695     0.0004575     0.0024454     0.0016319     0.0015596    -0.0008483     0.0000075     0.0000095
     0.6565138     0.1730814     1.1802338    -0.0922372     0.0001937     0.0021050     0.0013530     0.0012405    -0.0007431     0.0000032     0.0000045
     0.6590544     0.1796564     1.1919465    -0.0887270     0.0000969     0.0016951     0.0010406     0.0009125    -0.0006133    -0.0000192     0.0000066
     0.6614418     0.1867819     1.2032180    -0.0852186     0.0000554     0.0012439     0.0007311     0.0005777    -0.0004593    -0.0000152     0.0000050
     0.6636271     0.1944629     1.2134086    -0.0816746    -0.0000463     0.0007865     0.0004578     0.0003313    -0.0003030    -0.0000043    -0.0000020
     0.6655794     0.2026948     1.2200807    -0.0779653    -0.0000638     0.0004119     0.0002555     0.0001587    -0.0001632    -0.0000014    -0.0000006
     0.6672879     0.2114668     1.2224082    -0.0741023     0.0000476     0.0001868     0.0001323     0.0000668    -0.0000701     0.0000003    -0.0000009
     0.6687583     0.2207676     1.2214609    -0.0701680    -0.0000198     0.0000768     0.0000691     0.0000296    -0.0000234     0.0000016    -0.0000013
     0.6700063     0.2305889     1.2191255    -0.0662726     0.0000176     0.0000374     0.0000414     0.0000138    -0.0000071    -0.0000004     0.0000003
     0.6710502     0.2409288     1.2161043    -0.0624494    -0.0000098     0.0000231     0.0000297     0.0000078    -0.0000038    -0.0000000    -0.0000001
