VARIABLES = "y" "uuprime" "wwprime" "vvprime"
ZONE T="CFL3D, SA-QCR2013"
 3.182698856E-04 4.014130682E-03 3.236845834E-03 2.459559124E-03
 3.281394893E-04 4.018714186E-03 3.240528982E-03 2.462341450E-03
 3.383143339E-04 4.023074172E-03 3.244030988E-03 2.464985708E-03
 3.488039365E-04 4.027218558E-03 3.247359069E-03 2.467497019E-03
 3.596180177E-04 4.031155724E-03 3.250519279E-03 2.469880274E-03
 3.707666765E-04 4.034892190E-03 3.253517207E-03 2.472139662E-03
 3.822602448E-04 4.038434476E-03 3.256357741E-03 2.474278910E-03
 3.941094328E-04 4.041787703E-03 3.259045770E-03 2.476301277E-03
 4.063252709E-04 4.044957459E-03 3.261585254E-03 2.478210256E-03
 4.189191386E-04 4.047947936E-03 3.263979685E-03 2.480008174E-03
 4.319027066E-04 4.050764255E-03 3.266232554E-03 2.481698059E-03
 4.452880821E-04 4.053408746E-03 3.268346656E-03 2.483281540E-03
 4.590877215E-04 4.055885598E-03 3.270324785E-03 2.484760713E-03
 4.733144306E-04 4.058197141E-03 3.272168804E-03 2.486137440E-03
 4.879814805E-04 4.060345702E-03 3.273881273E-03 2.487413120E-03
 5.031024921E-04 4.062334076E-03 3.275463358E-03 2.488588914E-03
 5.186916096E-04 4.064163659E-03 3.276916919E-03 2.489665989E-03
 5.347632105E-04 4.065836314E-03 3.278242890E-03 2.490645507E-03
 5.513323122E-04 4.067352507E-03 3.279442200E-03 2.491527470E-03
 5.684143398E-04 4.068714101E-03 3.280515783E-03 2.492312808E-03
 5.860251840E-04 4.069921095E-03 3.281463869E-03 2.493001986E-03
 6.041811430E-04 4.070973955E-03 3.282286925E-03 2.493595006E-03
 6.228992715E-04 4.071872681E-03 3.282984952E-03 2.494091634E-03
 6.421967992E-04 4.072617739E-03 3.283557715E-03 2.494491870E-03
 6.620918284E-04 4.073208198E-03 3.284004750E-03 2.494795714E-03
 6.826028111E-04 4.073643126E-03 3.284325590E-03 2.495002234E-03
 7.037487812E-04 4.073921591E-03 3.284519538E-03 2.495110966E-03
 7.255495293E-04 4.074043129E-03 3.284585429E-03 2.495120978E-03
 7.480251952E-04 4.074005876E-03 3.284522099E-03 2.495031338E-03
 7.711967919E-04 4.073807504E-03 3.284327919E-03 2.494841116E-03
 7.950857980E-04 4.073447082E-03 3.284001490E-03 2.494548680E-03
 8.197145071E-04 4.072921351E-03 3.283540718E-03 2.494152868E-03
 8.451058529E-04 4.072227981E-03 3.282943740E-03 2.493651584E-03
 8.712833514E-04 4.071364179E-03 3.282207763E-03 2.493043197E-03
 8.982714498E-04 4.070326686E-03 3.281330457E-03 2.492325613E-03
 9.260951774E-04 4.069112241E-03 3.280308796E-03 2.491496503E-03
 9.547804948E-04 4.067716654E-03 3.279139986E-03 2.490553539E-03
 9.843540611E-04 4.066135734E-03 3.277820069E-03 2.489494160E-03
 1.014843350E-03 4.064365290E-03 3.276345553E-03 2.488315571E-03
 1.046276768E-03 4.062400199E-03 3.274712712E-03 2.487014281E-03
 1.078683534E-03 4.060235340E-03 3.272916889E-03 2.485587029E-03
 1.112093800E-03 4.057864659E-03 3.270953661E-03 2.484030556E-03
 1.146538649E-03 4.055282567E-03 3.268817905E-03 2.482340671E-03
 1.182050211E-03 4.052482080E-03 3.266504267E-03 2.480513416E-03
 1.218661433E-03 4.049456678E-03 3.264007391E-03 2.478544367E-03
 1.256406307E-03 4.046198446E-03 3.261320759E-03 2.476428868E-03
 1.295320108E-03 4.042699467E-03 3.258438082E-03 2.474161796E-03
 1.335438923E-03 4.038951825E-03 3.255352611E-03 2.471737796E-03
 1.376800123E-03 4.034945741E-03 3.252056660E-03 2.469151514E-03
 1.419442124E-03 4.030671902E-03 3.248542780E-03 2.466396661E-03
 1.463404740E-03 4.026119597E-03 3.244802356E-03 2.463467186E-03
 1.508728717E-03 4.021279048E-03 3.240826540E-03 2.460355638E-03
 1.555456314E-03 4.016137682E-03 3.236606251E-03 2.457055496E-03
 1.603630953E-03 4.010683857E-03 3.232131246E-03 2.453558613E-03
 1.653297455E-03 4.004904069E-03 3.227391047E-03 2.449857071E-03
 1.704502036E-03 3.998785280E-03 3.222374711E-03 2.445942489E-03
 1.757292310E-03 3.992312122E-03 3.217070131E-03 2.441805787E-03
 1.811717520E-03 3.985469230E-03 3.211464966E-03 2.437437186E-03
 1.867828076E-03 3.978240769E-03 3.205545945E-03 2.432826441E-03
 1.925676246E-03 3.970609047E-03 3.199298866E-03 2.427963074E-03
 1.985315932E-03 3.962555900E-03 3.192709293E-03 2.422835678E-03
 2.046802780E-03 3.954061773E-03 3.185760928E-03 2.417432377E-03
 2.110193484E-03 3.945106175E-03 3.178437706E-03 2.411740134E-03
 2.175547648E-03 3.935667221E-03 3.170721931E-03 2.405745909E-03
 2.242925344E-03 3.925722558E-03 3.162594978E-03 2.399435500E-03
 2.312389901E-03 3.915247973E-03 3.154037520E-03 2.392794006E-03
 2.384005813E-03 3.904217621E-03 3.145028837E-03 2.385805827E-03
 2.457839437E-03 3.892604494E-03 3.135547042E-03 2.378453966E-03
 2.533959458E-03 3.880380187E-03 3.125569317E-03 2.370721428E-03
 2.612437122E-03 3.867514897E-03 3.115071449E-03 2.362589352E-03
 2.693345072E-03 3.853976494E-03 3.104027594E-03 2.354038646E-03
 2.776758745E-03 3.839731682E-03 3.092410974E-03 2.345048590E-03
 2.862755442E-03 3.824745305E-03 3.080193186E-03 2.335597528E-03
 2.951415488E-03 3.808980342E-03 3.067344194E-03 2.325662645E-03
 3.042821307E-03 3.792396979E-03 3.053832334E-03 2.315220423E-03
 3.137057880E-03 3.774954472E-03 3.039624309E-03 2.304245252E-03
 3.234212985E-03 3.756608814E-03 3.024685429E-03 2.292710822E-03
 3.334376728E-03 3.737314604E-03 3.008978209E-03 2.280588960E-03
 3.437642707E-03 3.717023414E-03 2.992464462E-03 2.267850330E-03
 3.544106614E-03 3.695684485E-03 2.975102980E-03 2.254464198E-03
 3.653867636E-03 3.673244501E-03 2.956851153E-03 2.240398200E-03
 3.767027752E-03 3.649647115E-03 2.937663579E-03 2.225618111E-03
 3.883692669E-03 3.624833655E-03 2.917493228E-03 2.210088307E-03
 4.003970418E-03 3.598741954E-03 2.896290040E-03 2.193771303E-03
 4.127973225E-03 3.571307287E-03 2.874002093E-03 2.176627750E-03
 4.255816340E-03 3.542461200E-03 2.850574441E-03 2.158616204E-03
 4.387618508E-03 3.512132447E-03 2.825950505E-03 2.139694057E-03
 4.523502663E-03 3.480246291E-03 2.800069749E-03 2.119815908E-03
 4.663594998E-03 3.446724731E-03 2.772869775E-03 2.098935191E-03
 4.808025900E-03 3.411485581E-03 2.744285157E-03 2.077002311E-03
 4.956929944E-03 3.374444321E-03 2.714248141E-03 2.053966513E-03
 5.110444967E-03 3.335512243E-03 2.682687482E-03 2.029774478E-03
 5.268714856E-03 3.294596449E-03 2.649529371E-03 2.004371025E-03
 5.431886297E-03 3.251601709E-03 2.614697441E-03 1.977699110E-03
 5.600110628E-03 3.206428839E-03 2.578112530E-03 1.949699363E-03
 5.773545243E-03 3.158975160E-03 2.539693145E-03 1.920311013E-03
 5.952350795E-03 3.109135665E-03 2.499355003E-03 1.889471314E-03
 6.136693992E-03 3.056801856E-03 2.457011957E-03 1.857116004E-03
 6.326746196E-03 3.001863137E-03 2.412575763E-03 1.823179773E-03
 6.522683892E-03 2.944206819E-03 2.365957247E-03 1.787596266E-03
 6.724690087E-03 2.883719048E-03 2.317065606E-03 1.750298077E-03
 6.932952441E-03 2.820285037E-03 2.265810268E-03 1.711218385E-03
 7.147664204E-03 2.753791399E-03 2.212100662E-03 1.670290600E-03
 7.369025610E-03 2.684125211E-03 2.155848080E-03 1.627449063E-03
 7.597242948E-03 2.611177275E-03 2.096965909E-03 1.582630677E-03
 7.832527161E-03 2.534843748E-03 2.035372658E-03 1.535775606E-03
 8.075099438E-03 2.455025911E-03 1.970990561E-03 1.486827852E-03
 8.325182833E-03 2.371637151E-03 1.903752447E-03 1.435738755E-03
 8.583012037E-03 2.284602029E-03 1.833599177E-03 1.382466522E-03
 8.848825470E-03 2.193862805E-03 1.760486863E-03 1.326980535E-03
 9.122870862E-03 2.099381993E-03 1.684387913E-03 1.269263332E-03
 9.405404329E-03 2.001149347E-03 1.605296275E-03 1.209313050E-03
 9.696686640E-03 1.899188384E-03 1.523233717E-03 1.147149713E-03
 9.996990673E-03 1.793562900E-03 1.438253792E-03 1.082816860E-03
 1.030659489E-02 1.684388379E-03 1.350451959E-03 1.016390161E-03
 1.062578708E-02 1.571841887E-03 1.259973156E-03 9.479821892E-04
 1.095486525E-02 1.456175116E-03 1.167022157E-03 8.777508046E-04
 1.129413396E-02 1.337732421E-03 1.071877778E-03 8.059094544E-04
 1.164390985E-02 1.216966659E-03 9.749057936E-04 7.327369531E-04
 1.200451888E-02 1.094463281E-03 8.765779203E-04 6.585912197E-04
 1.237629540E-02 9.709667647E-04 7.774929400E-04 5.839254591E-04
 1.275958586E-02 8.474088972E-04 6.783992285E-04 5.093044019E-04
 1.315474603E-02 7.249452174E-04 5.802235100E-04 4.354260163E-04
 1.356214564E-02 6.049899384E-04 4.840985348E-04 3.631415602E-04
 1.398216095E-02 4.892612924E-04 3.913993714E-04 2.934825025E-04
 1.441518404E-02 3.798163380E-04 3.037703282E-04 2.276801824E-04
 1.486161817E-02 2.790745348E-04 2.231436811E-04 1.671793143E-04
 1.532187872E-02 1.898485061E-04 1.517635974E-04 1.136547871E-04
 1.579639316E-02 1.151939723E-04 9.206539107E-05 6.892115925E-05
 1.628560200E-02 5.827661516E-05 4.657023965E-05 3.485361594E-05
 1.678996161E-02 2.179591684E-05 1.742138011E-05 1.303892350E-05
 1.730994321E-02 4.859789897E-06 3.888882020E-06 2.913141543E-06
 1.784602553E-02 3.984043815E-07 3.203611243E-07 2.410315858E-07
 1.839871332E-02 5.191667984E-09 4.420402711E-09 3.575679752E-09
 1.896851510E-02 2.320555414E-10 3.504200541E-10 4.588102120E-10
 1.955596358E-02 1.801968574E-10 2.981223879E-10 4.101405882E-10
 2.016160637E-02 1.769908248E-10 2.948979672E-10 4.076202709E-10
 2.078600600E-02 1.775186109E-10 2.957602219E-10 4.089052708E-10
 2.142974176E-02 1.782485270E-10 2.968869872E-10 4.104814266E-10
 2.209341526E-02 1.789148413E-10 2.979451685E-10 4.119510288E-10
 2.277764119E-02 1.795683185E-10 2.989667958E-10 4.133635101E-10
 2.348305658E-02 1.801815641E-10 2.999291371E-10 4.146942512E-10
 2.421032079E-02 1.807641259E-10 3.008415461E-10 4.159556033E-10
 2.496010624E-02 1.813140610E-10 3.017033845E-10 4.171471502E-10
 2.573311329E-02 1.818335343E-10 3.025175388E-10 4.182728053E-10
 2.653006092E-02 1.823233231E-10 3.032856188E-10 4.193348446E-10
 2.735168859E-02 1.827845930E-10 3.040095953E-10 4.203359605E-10
 2.819876187E-02 1.832183988E-10 3.046913000E-10 4.212786231E-10
 2.907206863E-02 1.836257674E-10 3.053324260E-10 4.221652750E-10
 2.997242101E-02 1.840077535E-10 3.059347775E-10 4.229983586E-10
 3.090065904E-02 1.843653979E-10 3.065000198E-10 4.237802054E-10
 3.185764328E-02 1.846997555E-10 3.070298737E-10 4.245131746E-10
 3.284426406E-02 1.850118253E-10 3.075260324E-10 4.251995978E-10
 3.386143968E-02 1.853026760E-10 3.079901334E-10 4.258417508E-10
 3.491012007E-02 1.855733622E-10 3.084238420E-10 4.264419651E-10
 3.599127382E-02 1.858249249E-10 3.088287959E-10 4.270024889E-10
 3.710591421E-02 1.860584048E-10 3.092066603E-10 4.275256260E-10
 3.825507313E-02 1.862748705E-10 3.095590451E-10 4.280136523E-10
 3.943981975E-02 1.864753491E-10 3.098875878E-10 4.284687605E-10
 4.066125676E-02 1.866609228E-10 3.101938428E-10 4.288932265E-10
 4.192052409E-02 1.868325911E-10 3.104794200E-10 4.292892430E-10
 4.321879148E-02 1.869913946E-10 3.107458735E-10 4.296590028E-10
 4.455726221E-02 1.871383326E-10 3.109947300E-10 4.300046152E-10
 4.593718797E-02 1.872744182E-10 3.112274882E-10 4.303282175E-10
 4.735985026E-02 1.874005812E-10 3.114456193E-10 4.306318357E-10
 4.882656783E-02 1.875177791E-10 3.116504832E-10 4.309174406E-10
 5.033871159E-02 1.876268724E-10 3.118434400E-10 4.311869473E-10
 5.189768597E-02 1.877287353E-10 3.120258218E-10 4.314421320E-10
 5.350494012E-02 1.878241868E-10 3.121987946E-10 4.316847713E-10
 5.516197160E-02 1.879139622E-10 3.123635517E-10 4.319164471E-10
 5.687032267E-02 1.879987971E-10 3.125211478E-10 4.321387692E-10
 5.863158032E-02 1.880793576E-10 3.126726100E-10 4.323530978E-10
 6.044737995E-02 1.881562545E-10 3.128189097E-10 4.325608205E-10
 6.231941655E-02 1.882300288E-10 3.129608239E-10 4.327631031E-10
 6.424943358E-02 1.883011941E-10 3.130992132E-10 4.329610559E-10
 6.623921543E-02 1.883702083E-10 3.132346882E-10 4.331556225E-10
 6.829062104E-02 1.884374462E-10 3.133678872E-10 4.333476911E-10
 7.040556520E-02 1.885032408E-10 3.134993654E-10 4.335379833E-10
 7.258599997E-02 1.885678974E-10 3.136295113E-10 4.337271375E-10
 7.483396679E-02 1.886316381E-10 3.137587690E-10 4.339157089E-10
 7.715155184E-02 1.886946710E-10 3.138874161E-10 4.341040860E-10
 7.954090834E-02 1.887571210E-10 3.140156746E-10 4.342926296E-10
 8.200427145E-02 1.888191409E-10 3.141437943E-10 4.344815896E-10
 8.454391360E-02 1.888807721E-10 3.142718585E-10 4.346711324E-10
 8.716221154E-02 1.889420842E-10 3.143999505E-10 4.348613691E-10
 8.986160159E-02 1.890030771E-10 3.145281535E-10 4.350523275E-10
 9.264458716E-02 1.890637646E-10 3.146564120E-10 4.352439797E-10
 9.551376104E-02 1.891241053E-10 3.147847261E-10 4.354362981E-10
 9.847179055E-02 1.891840573E-10 3.149130123E-10 4.356291716E-10
 1.015214324E-01 1.892435514E-10 3.150411876E-10 4.358223782E-10
 1.046655178E-01 1.893025042E-10 3.151691130E-10 4.360158068E-10
 1.079069749E-01 1.893608464E-10 3.152966499E-10 4.362092076E-10
 1.112488210E-01 1.894184531E-10 3.154236594E-10 4.364023309E-10
 1.146941632E-01 1.894751994E-10 3.155498918E-10 4.365949269E-10
 1.182462052E-01 1.895309881E-10 3.156752082E-10 4.367866624E-10
 1.219082549E-01 1.895856666E-10 3.157993311E-10 4.369772044E-10
 1.256837100E-01 1.896390683E-10 3.159220108E-10 4.371662199E-10
 1.295761019E-01 1.896910545E-10 3.160430251E-10 4.373533480E-10
 1.335890293E-01 1.897414309E-10 3.161620410E-10 4.375381168E-10
 1.377262473E-01 1.897900309E-10 3.162787254E-10 4.377200824E-10
 1.419915855E-01 1.898366325E-10 3.163928008E-10 4.378988006E-10
 1.463890225E-01 1.898810137E-10 3.165038232E-10 4.380737439E-10
 1.509226412E-01 1.899229662E-10 3.166114315E-10 4.382443020E-10
 1.555966735E-01 1.899622126E-10 3.167152096E-10 4.384099195E-10
 1.604154557E-01 1.899985030E-10 3.168146578E-10 4.385699304E-10
 1.653834581E-01 1.900315322E-10 3.169093044E-10 4.387236685E-10
 1.705053449E-01 1.900609808E-10 3.169985940E-10 4.388703567E-10
 1.757858396E-01 1.900865437E-10 3.170819995E-10 4.390091901E-10
 1.812298745E-01 1.901078600E-10 3.171588825E-10 4.391393360E-10
 1.868425012E-01 1.901245411E-10 3.172286045E-10 4.392598785E-10
 1.926289499E-01 1.901361985E-10 3.172904717E-10 4.393698461E-10
 1.985946149E-01 1.901424018E-10 3.173437624E-10 4.394682396E-10
 2.047450244E-01 1.901427210E-10 3.173876717E-10 4.395538933E-10
 2.110859156E-01 1.901366703E-10 3.174213947E-10 4.396256970E-10
 2.176231891E-01 1.901237640E-10 3.174440988E-10 4.396824571E-10
 2.243629098E-01 1.901034746E-10 3.174548124E-10 4.397228137E-10
 2.313113511E-01 1.900752611E-10 3.174525920E-10 4.397454345E-10
 2.384749949E-01 1.900385682E-10 3.174364660E-10 4.397489040E-10
 2.458604872E-01 1.899927854E-10 3.174053520E-10 4.397317510E-10
 2.534747124E-01 1.899373159E-10 3.173581675E-10 4.396923936E-10
 2.613247335E-01 1.898715074E-10 3.172937468E-10 4.396291942E-10
 2.694178820E-01 1.897946939E-10 3.172109242E-10 4.395404318E-10
 2.777616680E-01 1.897062091E-10 3.171084229E-10 4.394243580E-10
 2.863638699E-01 1.896053453E-10 3.169850493E-10 4.392791964E-10
 2.952324748E-01 1.894914226E-10 3.168394713E-10 4.391030595E-10
 3.043757379E-01 1.893637053E-10 3.166703566E-10 4.388940322E-10
 3.138021529E-01 1.892214718E-10 3.164763729E-10 4.386502273E-10
 3.235205114E-01 1.890640144E-10 3.162561601E-10 4.383696461E-10
 3.335398436E-01 1.888905976E-10 3.160083861E-10 4.380503182E-10
 3.438694775E-01 1.887004997E-10 3.157316630E-10 4.376902452E-10
 3.545189798E-01 1.884930545E-10 3.154246309E-10 4.372874840E-10
 3.654983342E-01 1.882675543E-10 3.150859851E-10 4.368400641E-10
 3.768177032E-01 1.880233885E-10 3.147144767E-10 4.363460981E-10
 3.884876370E-01 1.877599465E-10 3.143088567E-10 4.358038375E-10
 4.005189836E-01 1.874766870E-10 3.138679872E-10 4.352115057E-10
 4.129229188E-01 1.871731520E-10 3.133908411E-10 4.345675764E-10
 4.257110059E-01 1.868489530E-10 3.128765025E-10 4.338705784E-10
 4.388951659E-01 1.865037985E-10 3.123242498E-10 4.331193737E-10
 4.524875879E-01 1.861375221E-10 3.117334446E-10 4.323129354E-10
 4.665009975E-01 1.857500959E-10 3.111038094E-10 4.314506530E-10
 4.809483886E-01 1.853416726E-10 3.104351498E-10 4.305321100E-10
 4.958432019E-01 1.849125714E-10 3.097276879E-10 4.295573619E-10
 5.111992955E-01 1.844633335E-10 3.089819511E-10 4.285269362E-10
 5.270310044E-01 1.839947777E-10 3.081988276E-10 4.274418319E-10
 5.433530211E-01 1.835079866E-10 3.073796773E-10 4.263036313E-10
 5.601804852E-01 1.830043617E-10 3.065263321E-10 4.251146102E-10
 5.775290728E-01 1.824856655E-10 3.056411513E-10 4.238777107E-10
 5.954149961E-01 1.819540768E-10 3.047271602E-10 4.225967076E-10
 6.138547659E-01 1.814122325E-10 3.037880225E-10 4.212762916E-10
 6.328656673E-01 1.808632549E-10 3.028280959E-10 4.199220971E-10
 6.524653435E-01 1.803108080E-10 3.018526817E-10 4.185408964E-10
 6.726719737E-01 1.797592214E-10 3.008678862E-10 4.171404056E-10
 6.935044527E-01 1.792134080E-10 2.998808146E-10 4.157302558E-10
 7.149820328E-01 1.786793907E-10 2.988996550E-10 4.143197174E-10
 7.371248007E-01 1.781630399E-10 2.979337055E-10 4.129239728E-10
