TITLE     = "Wall Force & Heat Loading | Wall Force & Heat Loading | Wall Force & Heat Loading | Wall Force & Heat Loading | Wall Force & Heat Loading"
VARIABLES = "X"
"C<sub>f</sub>"
ZONE T="Spalart Fine Grid"
 STRANDID=0, SOLUTIONTIME=0
 I=44, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.827812970E-01 3.097838024E-03
 3.856630921E-01 3.094375366E-03
 3.885676265E-01 3.090917133E-03
 3.914952576E-01 3.087462392E-03
 3.944462836E-01 3.084010445E-03
 3.974210620E-01 3.080561757E-03
 4.004198611E-01 3.077115631E-03
 4.034430385E-01 3.073673230E-03
 4.064909518E-01 3.070233623E-03
 4.095639288E-01 3.066796111E-03
 4.126623273E-01 3.063361160E-03
 4.157865047E-01 3.059928305E-03
 4.189368486E-01 3.056498477E-03
 4.221136868E-01 3.053070279E-03
 4.253174067E-01 3.049643710E-03
 4.285484552E-01 3.046219004E-03
 4.318071604E-01 3.042795928E-03
 4.350939393E-01 3.039375180E-03
 4.384092093E-01 3.035955131E-03
 4.417533875E-01 3.032536013E-03
 4.451268911E-01 3.029118525E-03
 4.485301673E-01 3.025702201E-03
 4.519636333E-01 3.022286342E-03
 4.554277658E-01 3.018871183E-03
 4.589230120E-01 3.015456488E-03
 4.624498785E-01 3.012042260E-03
 4.660087526E-01 3.008628963E-03
 4.696002305E-01 3.005215200E-03
 4.732247293E-01 3.001800971E-03
 4.768827856E-01 2.998387907E-03
 4.805749059E-01 2.994974144E-03
 4.843016565E-01 2.991559682E-03
 4.880635440E-01 2.988144523E-03
 4.918611050E-01 2.984728664E-03
 4.956949353E-01 2.981312340E-03
 4.995656013E-01 2.977895318E-03
 5.034736991E-01 2.974476665E-03
 5.074197650E-01 2.971056849E-03
 5.114045143E-01 2.967635868E-03
 5.154284835E-01 2.964213723E-03
 5.194923282E-01 2.960789483E-03
 5.235967040E-01 2.957363147E-03
 5.277422667E-01 2.953935182E-03
 5.319297910E-01 2.950506052E-03
 5.361598134E-01 2.947073197E-03
 5.404331684E-01 2.943638712E-03
 5.447505713E-01 2.940201201E-03
 5.491126776E-01 2.936761361E-03
 5.535203218E-01 2.933319192E-03
 5.579742789E-01 2.929873066E-03
 5.624752641E-01 2.926424379E-03
 5.670242310E-01 2.922972431E-03
 5.716218352E-01 2.919516992E-03
 5.762690902E-01 2.916057827E-03
 5.809667706E-01 2.912594704E-03
 5.857158303E-01 2.909128554E-03
 5.905171037E-01 2.905657981E-03
 5.953715444E-01 2.902182518E-03
 6.002801657E-01 2.898703096E-03
 6.052439213E-01 2.895219252E-03
 6.102637649E-01 2.891731448E-03
 6.153407097E-01 2.888237592E-03
 6.204759479E-01 2.884738380E-03
 6.256703734E-01 2.881235210E-03
 6.309252381E-01 2.877726685E-03
 6.362415552E-01 2.874211641E-03
 6.416205764E-01 2.870691009E-03
 6.470634341E-01 2.867165254E-03
 6.525713801E-01 2.863633446E-03
 6.581456065E-01 2.860094886E-03
 6.637874842E-01 2.856549108E-03
 6.694982052E-01 2.852998208E-03
 6.752792597E-01 2.849440323E-03
 6.811319590E-01 2.845874755E-03
 6.870576739E-01 2.842301968E-03
ZONE T="Spalart Fine Grid"
 STRANDID=0, SOLUTIONTIME=0
 I=132, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.930579543E-01 2.838722663E-03
 6.991342902E-01 2.835135907E-03
 7.052881718E-01 2.831540536E-03
 7.115211487E-01 2.827937249E-03
 7.178349495E-01 2.824326279E-03
 7.242311239E-01 2.820707392E-03
 7.307115197E-01 2.817079192E-03
 7.372777462E-01 2.813441912E-03
 7.439317107E-01 2.809796715E-03
 7.506752014E-01 2.806141973E-03
 7.575102448E-01 2.802477218E-03
 7.644386888E-01 2.798803151E-03
 7.714626789E-01 2.795120236E-03
 7.785841823E-01 2.791425912E-03
 7.858054042E-01 2.787721343E-03
 7.931284904E-01 2.784006996E-03
 8.005558252E-01 2.780282171E-03
 8.080896735E-01 2.776545240E-03
 8.157324791E-01 2.772796899E-03
 8.234866858E-01 2.769038314E-03
 8.313548565E-01 2.765267389E-03
 8.393397331E-01 2.761483192E-03
 8.474438787E-01 2.757688751E-03
 8.556702137E-01 2.753881505E-03
 8.640215993E-01 2.750060288E-03
 8.725010157E-01 2.746225800E-03
 8.811116219E-01 2.742379205E-03
 8.898564577E-01 2.738518640E-03
 8.987389207E-01 2.734642942E-03
 9.077624083E-01 2.730754204E-03
 9.169303179E-01 2.726851031E-03
 9.262464046E-01 2.722931793E-03
 9.357143641E-01 2.718996955E-03
 9.453380704E-01 2.715046750E-03
 9.551215172E-01 2.711078618E-03
 9.650688767E-01 2.707095118E-03
 9.751844406E-01 2.703101141E-03
 9.854726195E-01 2.699096687E-03
 9.959380031E-01 2.695092931E-03
 1.006585360E+00 2.690998837E-03
 1.017325044E+00 2.686941531E-03
 1.028064609E+00 2.682988066E-03
 1.038804293E+00 2.679060213E-03
 1.049543858E+00 2.675184747E-03
 1.060283542E+00 2.671352820E-03
 1.071023107E+00 2.667568624E-03
 1.081762671E+00 2.663830528E-03
 1.092502356E+00 2.660136903E-03
 1.103241920E+00 2.656486118E-03
 1.113981605E+00 2.652880037E-03
 1.124721169E+00 2.649316331E-03
 1.135460854E+00 2.645792672E-03
 1.146200418E+00 2.642309759E-03
 1.156940103E+00 2.638867591E-03
 1.167679667E+00 2.635463839E-03
 1.178419232E+00 2.632097807E-03
 1.189158916E+00 2.628769260E-03
 1.199898481E+00 2.625478432E-03
 1.210638165E+00 2.622222994E-03
 1.221377730E+00 2.619002480E-03
 1.232117414E+00 2.615816891E-03
 1.242856979E+00 2.612665994E-03
 1.253596663E+00 2.609547926E-03
 1.264336228E+00 2.606462222E-03
 1.275075793E+00 2.603409113E-03
 1.285815477E+00 2.600388369E-03
 1.296555042E+00 2.597397892E-03
 1.307294726E+00 2.594437683E-03
 1.318034291E+00 2.591507509E-03
 1.328773975E+00 2.588607604E-03
 1.339513540E+00 2.585736569E-03
 1.350253105E+00 2.582893008E-03
 1.360992789E+00 2.580077853E-03
 1.371732354E+00 2.577290637E-03
 1.382472038E+00 2.574531129E-03
 1.393211603E+00 2.571797231E-03
 1.403951287E+00 2.569089411E-03
 1.414690852E+00 2.566407667E-03
 1.425430536E+00 2.563751768E-03
 1.436170101E+00 2.561120782E-03
 1.446909666E+00 2.558514010E-03
 1.457649350E+00 2.555930987E-03
 1.468388915E+00 2.553373342E-03
 1.479128599E+00 2.550838981E-03
 1.489868164E+00 2.548327437E-03
 1.500607848E+00 2.545838710E-03
 1.511347413E+00 2.543372102E-03
 1.522087097E+00 2.540929010E-03
 1.532826662E+00 2.538508037E-03
 1.543566227E+00 2.536108019E-03
 1.554305911E+00 2.533729654E-03
 1.565045476E+00 2.531372244E-03
 1.575785160E+00 2.529036487E-03
 1.586524725E+00 2.526721917E-03
 1.597264409E+00 2.524427138E-03
 1.608003974E+00 2.522152849E-03
 1.618743539E+00 2.519898349E-03
 1.629483223E+00 2.517664572E-03
 1.640222788E+00 2.515450818E-03
 1.650962472E+00 2.513256390E-03
 1.661702037E+00 2.511081751E-03
 1.672441721E+00 2.508926205E-03
 1.683181286E+00 2.506790450E-03
 1.693920851E+00 2.504674718E-03
 1.704660535E+00 2.502578543E-03
 1.715400100E+00 2.500501228E-03
 1.726139784E+00 2.498443704E-03
 1.736879349E+00 2.496405737E-03
 1.747619033E+00 2.494388027E-03
 1.758358598E+00 2.492391039E-03
 1.769098282E+00 2.490414307E-03
 1.779837847E+00 2.488458296E-03
 1.790577412E+00 2.486523939E-03
 1.801317096E+00 2.484611701E-03
 1.812056661E+00 2.482722746E-03
 1.822796345E+00 2.480858471E-03
 1.833535910E+00 2.479019109E-03
 1.844275594E+00 2.477206057E-03
 1.855015159E+00 2.475422341E-03
 1.865754843E+00 2.473670989E-03
 1.876494408E+00 2.471957356E-03
 1.887233973E+00 2.470286330E-03
 1.897973657E+00 2.468659775E-03
 1.908713222E+00 2.467070008E-03
 1.919452906E+00 2.465498401E-03
 1.930192471E+00 2.463933779E-03
 1.940932155E+00 2.462422708E-03
 1.951671720E+00 2.461131429E-03
 1.962411284E+00 2.460338641E-03
 1.973150969E+00 2.460186835E-03
 1.983890533E+00 2.461210126E-03
 1.994630218E+00 2.457762370E-03
