variables="x","y","mut"
zone, t="CFL3D"
 7.500000000E-01 5.182422325E-02 4.913728333E+01
 7.500000000E-01 5.186139047E-02 4.953507996E+01
 7.500000000E-01 5.189931393E-02 4.993285370E+01
 7.500000000E-01 5.193801224E-02 5.033066177E+01
 7.500000000E-01 5.197750032E-02 5.072856522E+01
 7.500000000E-01 5.201778933E-02 5.112661743E+01
 7.500000000E-01 5.205890164E-02 5.152489090E+01
 7.500000000E-01 5.210085213E-02 5.192343521E+01
 7.500000000E-01 5.214365572E-02 5.232232285E+01
 7.500000000E-01 5.218733102E-02 5.272160339E+01
 7.500000000E-01 5.223189294E-02 5.312134552E+01
 7.500000000E-01 5.227736756E-02 5.352159500E+01
 7.500000000E-01 5.232376605E-02 5.392240143E+01
 7.500000000E-01 5.237111077E-02 5.432381058E+01
 7.500000000E-01 5.241942033E-02 5.472585297E+01
 7.500000000E-01 5.246871337E-02 5.512855911E+01
 7.500000000E-01 5.251901224E-02 5.553193665E+01
 7.500000000E-01 5.257033557E-02 5.593598938E+01
 7.500000000E-01 5.262270197E-02 5.634069824E+01
 7.500000000E-01 5.267613754E-02 5.674603271E+01
 7.500000000E-01 5.273066089E-02 5.715194321E+01
 7.500000000E-01 5.278629437E-02 5.755835724E+01
 7.500000000E-01 5.284306034E-02 5.796517563E+01
 7.500000000E-01 5.290098488E-02 5.837227249E+01
 7.500000000E-01 5.296008661E-02 5.877950287E+01
 7.500000000E-01 5.302039534E-02 5.918668365E+01
 7.500000000E-01 5.308193341E-02 5.959359360E+01
 7.500000000E-01 5.314472318E-02 5.999998856E+01
 7.500000000E-01 5.320879072E-02 6.040557098E+01
 7.500000000E-01 5.327416584E-02 6.081000900E+01
 7.500000000E-01 5.334087461E-02 6.121293259E+01
 7.500000000E-01 5.340893939E-02 6.161391830E+01
 7.500000000E-01 5.347838998E-02 6.201248932E+01
 7.500000000E-01 5.354925618E-02 6.240812302E+01
 7.500000000E-01 5.362156779E-02 6.280023575E+01
 7.500000000E-01 5.369535089E-02 6.318819427E+01
 7.500000000E-01 5.377063900E-02 6.357128525E+01
 7.500000000E-01 5.384745821E-02 6.394874573E+01
 7.500000000E-01 5.392584577E-02 6.431973267E+01
 7.500000000E-01 5.400582775E-02 6.468332672E+01
 7.500000000E-01 5.408744141E-02 6.503852844E+01
 7.500000000E-01 5.417071283E-02 6.538424683E+01
 7.500000000E-01 5.425568670E-02 6.571929932E+01
 7.500000000E-01 5.434238911E-02 6.604240417E+01
 7.500000000E-01 5.443085730E-02 6.635214996E+01
 7.500000000E-01 5.452112854E-02 6.664701843E+01
 7.500000000E-01 5.461324006E-02 6.692533112E+01
 7.500000000E-01 5.470722541E-02 6.718527222E+01
 7.500000000E-01 5.480312556E-02 6.742485809E+01
 7.500000000E-01 5.490098149E-02 6.764189911E+01
 7.500000000E-01 5.500083044E-02 6.783400726E+01
 7.500000000E-01 5.510271341E-02 6.799857330E+01
 7.500000000E-01 5.520667136E-02 6.813271332E+01
 7.500000000E-01 5.531274900E-02 6.823329926E+01
 7.500000000E-01 5.542098731E-02 6.829689026E+01
 7.500000000E-01 5.553143099E-02 6.831974792E+01
 7.500000000E-01 5.564412102E-02 6.829783630E+01
 7.500000000E-01 5.575910956E-02 6.822680664E+01
 7.500000000E-01 5.587644130E-02 6.810200500E+01
 7.500000000E-01 5.599616468E-02 6.791854095E+01
 7.500000000E-01 5.611832440E-02 6.767126465E+01
 7.500000000E-01 5.624297261E-02 6.735485840E+01
 7.500000000E-01 5.637016147E-02 6.696387482E+01
 7.500000000E-01 5.649994314E-02 6.649278259E+01
 7.500000000E-01 5.663236603E-02 6.593605042E+01
 7.500000000E-01 5.676748976E-02 6.528817749E+01
 7.500000000E-01 5.690536276E-02 6.454373169E+01
 7.500000000E-01 5.704604834E-02 6.369740677E+01
 7.500000000E-01 5.718959868E-02 6.274404907E+01
 7.500000000E-01 5.733607337E-02 6.167866898E+01
 7.500000000E-01 5.748553202E-02 6.049649048E+01
 7.500000000E-01 5.763803422E-02 5.919296265E+01
 7.500000000E-01 5.779364333E-02 5.776377869E+01
 7.500000000E-01 5.795242637E-02 5.620494080E+01
 7.500000000E-01 5.811443925E-02 5.451277924E+01
 7.500000000E-01 5.827975646E-02 5.268404007E+01
 7.500000000E-01 5.844844133E-02 5.071596527E+01
 7.500000000E-01 5.862056091E-02 4.860645294E+01
 7.500000000E-01 5.879618600E-02 4.635425949E+01
 7.500000000E-01 5.897539482E-02 4.395936584E+01
 7.500000000E-01 5.915825069E-02 4.142357635E+01
 7.500000000E-01 5.934483185E-02 3.875165939E+01
 7.500000000E-01 5.953521281E-02 3.595355988E+01
 7.500000000E-01 5.972947553E-02 3.304882812E+01
 7.500000000E-01 5.992769450E-02 3.006239510E+01
 7.500000000E-01 6.012995169E-02 2.700868988E+01
 7.500000000E-01 6.033632904E-02 2.389149094E+01
 7.500000000E-01 6.054691225E-02 2.071085167E+01
 7.500000000E-01 6.076178327E-02 1.745994568E+01
 7.500000000E-01 6.098103523E-02 1.412422943E+01
 7.500000000E-01 6.120475009E-02 1.069948483E+01
 7.500000000E-01 6.143302470E-02 7.246944904E+00
 7.500000000E-01 6.166595221E-02 4.079884052E+00
 7.500000000E-01 6.190362200E-02 1.811813354E+00
 7.500000000E-01 6.214613467E-02 7.013076544E-01
 7.500000000E-01 6.239358708E-02 3.291416466E-01
 7.500000000E-01 6.264608353E-02 2.244668454E-01
 7.500000000E-01 6.290372461E-02 1.951080561E-01
 7.500000000E-01 6.316661090E-02 1.869943291E-01
 7.500000000E-01 6.343485415E-02 1.851283461E-01
 7.500000000E-01 6.370855868E-02 1.850986034E-01
 7.500000000E-01 6.398784369E-02 1.855849028E-01
 7.500000000E-01 6.427282095E-02 1.861986071E-01
 7.500000000E-01 6.456360221E-02 1.868292391E-01
 7.500000000E-01 6.486030668E-02 1.874469221E-01
 7.500000000E-01 6.516305357E-02 1.880442202E-01
 7.500000000E-01 6.547196954E-02 1.886196882E-01
 7.500000000E-01 6.578718126E-02 1.891733557E-01
 7.500000000E-01 6.610881537E-02 1.897056848E-01
 7.500000000E-01 6.643699855E-02 1.902172714E-01
 7.500000000E-01 6.677187234E-02 1.907088161E-01
 7.500000000E-01 6.711356342E-02 1.911810935E-01
 7.500000000E-01 6.746221334E-02 1.916349977E-01
 7.500000000E-01 6.781797111E-02 1.920715123E-01
 7.500000000E-01 6.818097830E-02 1.924916953E-01
 7.500000000E-01 6.855138391E-02 1.928966492E-01
 7.500000000E-01 6.892932951E-02 1.932875216E-01
 7.500000000E-01 6.931497902E-02 1.936654299E-01
 7.500000000E-01 6.970848143E-02 1.940314472E-01
 7.500000000E-01 7.011000067E-02 1.943865865E-01
 7.500000000E-01 7.051970065E-02 1.947317123E-01
 7.500000000E-01 7.093774527E-02 1.950675845E-01
 7.500000000E-01 7.136431336E-02 1.953948289E-01
 7.500000000E-01 7.179956883E-02 1.957139224E-01
 7.500000000E-01 7.224369049E-02 1.960252225E-01
 7.500000000E-01 7.269686460E-02 1.963289827E-01
 7.500000000E-01 7.315926254E-02 1.966253966E-01
 7.500000000E-01 7.363108546E-02 1.969145685E-01
 7.500000000E-01 7.411251962E-02 1.971965730E-01
 7.500000000E-01 7.460376620E-02 1.974714845E-01
 7.500000000E-01 7.510501891E-02 1.977393329E-01
 7.500000000E-01 7.561648637E-02 1.980002075E-01
 7.500000000E-01 7.613836974E-02 1.982541978E-01
 7.500000000E-01 7.667088509E-02 1.985013932E-01
 7.500000000E-01 7.721424848E-02 1.987419426E-01
 7.500000000E-01 7.776868343E-02 1.989759505E-01
 7.500000000E-01 7.833441347E-02 1.992036104E-01
 7.500000000E-01 7.891167700E-02 1.994250864E-01
 7.500000000E-01 7.950069010E-02 1.996405274E-01
 7.500000000E-01 8.010170609E-02 1.998501122E-01
 7.500000000E-01 8.071497083E-02 2.000540197E-01
 7.500000000E-01 8.134072274E-02 2.002524287E-01
 7.500000000E-01 8.197923005E-02 2.004455030E-01
 7.500000000E-01 8.263073862E-02 2.006333917E-01
 7.500000000E-01 8.329552412E-02 2.008162588E-01
 7.500000000E-01 8.397385478E-02 2.009942681E-01
 7.500000000E-01 8.466600627E-02 2.011675388E-01
 7.500000000E-01 8.537225425E-02 2.013362348E-01
 7.500000000E-01 8.609288931E-02 2.015004903E-01
 7.500000000E-01 8.682820946E-02 2.016604543E-01
 7.500000000E-01 8.757851273E-02 2.018162757E-01
 7.500000000E-01 8.834409714E-02 2.019680887E-01
 7.500000000E-01 8.912528306E-02 2.021160126E-01
 7.500000000E-01 8.992238343E-02 2.022602260E-01
 7.500000000E-01 9.073571861E-02 2.024008334E-01
 7.500000000E-01 9.156563133E-02 2.025379986E-01
 7.500000000E-01 9.241244197E-02 2.026718557E-01
 7.500000000E-01 9.327650815E-02 2.028025389E-01
 7.500000000E-01 9.415818006E-02 2.029301822E-01
 7.500000000E-01 9.505781531E-02 2.030549198E-01
 7.500000000E-01 9.597577900E-02 2.031768709E-01
 7.500000000E-01 9.691244364E-02 2.032961696E-01
 7.500000000E-01 9.786818922E-02 2.034129202E-01
 7.500000000E-01 9.884340316E-02 2.035272419E-01
 7.500000000E-01 9.983849525E-02 2.036392242E-01
 7.500000000E-01 1.008538529E-01 2.037490010E-01
 7.500000000E-01 1.018898934E-01 2.038566470E-01
 7.500000000E-01 1.029470488E-01 2.039622664E-01
 7.500000000E-01 1.040257365E-01 2.040659338E-01
