TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, diagonal cut (y=z)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 diagonal cut"
    0.170291427E+00    0.663358400E-02
    0.172909787E+00    0.670096328E-02
    0.175963242E+00    0.677959700E-02
    0.179025892E+00    0.685823072E-02
    0.181652177E+00    0.692561000E-02
    0.184270454E+00    0.699578296E-02
    0.187323605E+00    0.707767700E-02
    0.190378901E+00    0.715957104E-02
    0.192999055E+00    0.722974400E-02
    0.195593642E+00    0.730282648E-02
    0.198618989E+00    0.738811600E-02
    0.201640048E+00    0.747340552E-02
    0.204230995E+00    0.754648800E-02
    0.206781217E+00    0.762259996E-02
    0.209754684E+00    0.771143388E-02
    0.212718333E+00    0.780025004E-02
    0.215260168E+00    0.787636200E-02
    0.217749178E+00    0.795562990E-02
    0.220651149E+00    0.804813800E-02
    0.223538887E+00    0.814064610E-02
    0.226015717E+00    0.821991400E-02
    0.228430883E+00    0.830246842E-02
    0.231246660E+00    0.839881200E-02
    0.234044973E+00    0.849515558E-02
    0.236445175E+00    0.857771000E-02
    0.238778094E+00    0.866368661E-02
    0.241497914E+00    0.876402400E-02
    0.244198146E+00    0.886436139E-02
    0.246514279E+00    0.895033800E-02
    0.248760410E+00    0.903987986E-02
    0.251379017E+00    0.914437800E-02
    0.253976912E+00    0.924887614E-02
    0.256205286E+00    0.933841800E-02
    0.258363379E+00    0.943167185E-02
    0.260879330E+00    0.954050200E-02
    0.263374292E+00    0.964933215E-02
    0.265514381E+00    0.974258600E-02
    0.267585841E+00    0.983970597E-02
    0.270000796E+00    0.995304800E-02
    0.272395123E+00    0.100663900E-01
    0.274448893E+00    0.101635100E-01
    0.276436824E+00    0.102646567E-01
    0.276437387E+00    0.102646803E-01
    0.278755140E+00    0.103826980E-01
    0.281053140E+00    0.105007393E-01
    0.281053467E+00    0.105007494E-01
    0.283024684E+00    0.106018860E-01
    0.284934590E+00    0.107072264E-01
    0.287161258E+00    0.108301620E-01
    0.289369405E+00    0.109530976E-01
    0.291263331E+00    0.110584380E-01
    0.291263424E+00    0.110584490E-01
    0.291263606E+00    0.110584595E-01
    0.293100749E+00    0.111681457E-01
    0.295242829E+00    0.112961780E-01
    0.297367849E+00    0.114242103E-01
    0.299190535E+00    0.115339180E-01
