TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, diagonal cut (y=z)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 diagonal cut"
    0.383853987E-01    0.481635302E+00
    0.391895995E-01    0.484788209E+00
    0.399938002E-01    0.487955660E+00
    0.408313982E-01    0.491126061E+00
    0.416689999E-01    0.494308144E+00
    0.425411984E-01    0.497498930E+00
    0.434134007E-01    0.500698507E+00
    0.443219989E-01    0.503903925E+00
    0.452303998E-01    0.507121027E+00
    0.461766012E-01    0.510343909E+00
    0.471226014E-01    0.513578415E+00
    0.481080003E-01    0.516818881E+00
    0.490933992E-01    0.520070910E+00
    0.501196012E-01    0.523325920E+00
    0.511457995E-01    0.526592553E+00
    0.522143990E-01    0.529865027E+00
    0.532831997E-01    0.533149183E+00
    0.543962009E-01    0.536436260E+00
    0.555093996E-01    0.539734960E+00
    0.566685982E-01    0.543036640E+00
    0.578278005E-01    0.546352863E+00
    0.590349995E-01    0.549669087E+00
    0.602421984E-01    0.552999914E+00
    0.614995994E-01    0.556330740E+00
    0.627567992E-01    0.559676111E+00
    0.640664026E-01    0.563021481E+00
    0.653757974E-01    0.566378593E+00
    0.667394027E-01    0.569738567E+00
    0.681032017E-01    0.573110223E+00
    0.695234016E-01    0.576481819E+00
    0.709438026E-01    0.579865158E+00
    0.724230036E-01    0.583248496E+00
    0.739020035E-01    0.586646378E+00
    0.754425973E-01    0.590041399E+00
    0.769829974E-01    0.593450904E+00
    0.785873979E-01    0.596854687E+00
    0.801917985E-01    0.600275874E+00
    0.818625987E-01    0.603691280E+00
    0.835333988E-01    0.607121229E+00
    0.852736011E-01    0.610545456E+00
    0.870138034E-01    0.613987029E+00
    0.888260007E-01    0.617419958E+00
    0.906381980E-01    0.620870352E+00
    0.925258025E-01    0.624312043E+00
    0.944131985E-01    0.627771139E+00
    0.963788033E-01    0.631218672E+00
    0.983444005E-01    0.634686530E+00
    0.100391597E+00    0.638139904E+00
    0.102438800E+00    0.641613603E+00
    0.104570799E+00    0.645075619E+00
    0.106702797E+00    0.648555219E+00
    0.108923398E+00    0.652020216E+00
    0.111143798E+00    0.655505538E+00
    0.113456197E+00    0.658976436E+00
    0.115768798E+00    0.662464738E+00
    0.118177198E+00    0.665938497E+00
    0.120585397E+00    0.669432580E+00
    0.123093598E+00    0.672909260E+00
    0.125602007E+00    0.676403403E+00
    0.128214195E+00    0.679882944E+00
    0.130826399E+00    0.683380008E+00
    0.133546799E+00    0.686856687E+00
    0.136267394E+00    0.690353751E+00
    0.139100596E+00    0.693833291E+00
    0.141934007E+00    0.697330415E+00
    0.144884795E+00    0.700807035E+00
    0.147835597E+00    0.704304039E+00
    0.150908604E+00    0.707774937E+00
    0.153981805E+00    0.711269021E+00
    0.157182202E+00    0.714739859E+00
    0.160382807E+00    0.718228221E+00
    0.163716003E+00    0.721693158E+00
    0.167049199E+00    0.725178540E+00
    0.170520604E+00    0.728634775E+00
    0.173991993E+00    0.732114315E+00
    0.177607402E+00    0.735564768E+00
    0.181222603E+00    0.739035547E+00
    0.184987798E+00    0.742477179E+00
    0.188753203E+00    0.745939255E+00
    0.192674398E+00    0.749369204E+00
    0.196595803E+00    0.752819657E+00
    0.200680003E+00    0.756237924E+00
    0.204763994E+00    0.759679615E+00
    0.209015995E+00    0.763080478E+00
    0.213269994E+00    0.766507506E+00
    0.217700005E+00    0.769893765E+00
    0.222130001E+00    0.773309112E+00
    0.226741999E+00    0.776677847E+00
    0.231355995E+00    0.780072868E+00
    0.236159995E+00    0.783424020E+00
    0.240963996E+00    0.786801517E+00
    0.245967999E+00    0.790129423E+00
    0.250972003E+00    0.793489456E+00
    0.256181985E+00    0.796796918E+00
    0.261393994E+00    0.800133586E+00
    0.266822010E+00    0.803414822E+00
    0.272248000E+00    0.806730986E+00
    0.277900010E+00    0.809986055E+00
    0.283551991E+00    0.813278914E+00
    0.289440006E+00    0.816504717E+00
    0.295325995E+00    0.819771349E+00
    0.301456004E+00    0.822970927E+00
    0.307586014E+00    0.826211333E+00
    0.313971996E+00    0.829381764E+00
    0.320356011E+00    0.832592964E+00
    0.327006012E+00    0.835734189E+00
    0.333656013E+00    0.838919222E+00
    0.340579987E+00    0.842028320E+00
    0.347505987E+00    0.845187068E+00
    0.354718000E+00    0.848264098E+00
    0.361930013E+00    0.851396620E+00
    0.369441986E+00    0.854444504E+00
    0.376951992E+00    0.857553661E+00
    0.384775996E+00    0.860569477E+00
    0.392598003E+00    0.863658190E+00
    0.400743991E+00    0.866650701E+00
    0.408892006E+00    0.869719029E+00
    0.417376012E+00    0.872688174E+00
    0.425862014E+00    0.875741839E+00
    0.443533987E+00    0.881738484E+00
    0.452737987E+00    0.884678543E+00
    0.461939991E+00    0.887720525E+00
    0.471524000E+00    0.890654743E+00
    0.481110007E+00    0.893708527E+00
    0.491090000E+00    0.896642625E+00
    0.501071989E+00    0.899710894E+00
    0.511467993E+00    0.902662635E+00
    0.521863997E+00    0.905757129E+00
    0.532689989E+00    0.908729196E+00
    0.543518007E+00    0.911864638E+00
    0.554791987E+00    0.914871693E+00
    0.566067994E+00    0.918056667E+00
    0.577812016E+00    0.921107471E+00
    0.589554012E+00    0.924353719E+00
    0.601783991E+00    0.927456975E+00
    0.614014029E+00    0.930770338E+00
    0.626752019E+00    0.933937848E+00
    0.639487982E+00    0.937324107E+00
    0.652754009E+00    0.940549910E+00
    0.666018009E+00    0.944011927E+00
    0.679831982E+00    0.947296083E+00
    0.693647981E+00    0.950825214E+00
    0.708036006E+00    0.954153121E+00
    0.722423971E+00    0.957728922E+00
    0.737407982E+00    0.961077273E+00
    0.752391994E+00    0.964670599E+00
    0.767997980E+00    0.967998505E+00
    0.783601999E+00    0.971556783E+00
    0.816107988E+00    0.978250563E+00
    0.833033979E+00    0.981312990E+00
    0.849960029E+00    0.984562099E+00
    0.885215998E+00    0.990223408E+00
    0.903576016E+00    0.992507100E+00
    0.921934009E+00    0.994895816E+00
    0.960174024E+00    0.998156667E+00
    0.980087996E+00    0.998821676E+00
ZONE T="FUN3D, grid 2 diagonal cut"
    0.173524004E-04    0.153751466E-05
    0.347048008E-04    0.447678576E-05
    0.535260006E-04    0.113237747E-04
    0.723470002E-04    0.198697635E-04
    0.927610017E-04    0.335492659E-04
    0.113175200E-03    0.492557665E-04
    0.135316994E-03    0.715487840E-04
    0.157458999E-03    0.962491904E-04
    0.181474796E-03    0.129283653E-03
    0.205489996E-03    0.165171717E-03
    0.231540005E-03    0.211497420E-03
    0.257587992E-03    0.261200592E-03
    0.285841990E-03    0.323871616E-03
    0.314094010E-03    0.390536472E-03
    0.344739994E-03    0.473208696E-03
    0.375383999E-03    0.560602930E-03
    0.408622000E-03    0.667643791E-03
    0.441860000E-03    0.780264556E-03
    0.477911992E-03    0.916894933E-03
    0.513963983E-03    0.106010924E-02
    0.553066027E-03    0.123255129E-02
    0.592169992E-03    0.141276792E-02
    0.634582015E-03    0.162843429E-02
    0.676993979E-03    0.185327895E-02
    0.722996017E-03    0.212100078E-02
    0.768999977E-03    0.239955564E-02
    0.818894012E-03    0.272983289E-02
    0.868790026E-03    0.307289301E-02
    0.922909996E-03    0.347819948E-02
    0.977028045E-03    0.389859406E-02
    0.103572803E-02    0.439378712E-02
    0.109442801E-02    0.490675308E-02
    0.115809601E-02    0.550937234E-02
    0.122176204E-02    0.613300316E-02
    0.129081996E-02    0.686397357E-02
    0.135987601E-02    0.761972088E-02
    0.143477600E-02    0.850381795E-02
    0.150967797E-02    0.941710081E-02
    0.159091805E-02    0.104836281E-01
    0.167216000E-02    0.115846200E-01
    0.176027603E-02    0.128684221E-01
    0.184839405E-02    0.141928755E-01
    0.194396800E-02    0.157351587E-01
    0.203954009E-02    0.173253920E-01
    0.214320002E-02    0.191749819E-01
    0.224687997E-02    0.210811608E-01
    0.235929992E-02    0.232957825E-01
    0.247173989E-02    0.255772080E-01
    0.259370008E-02    0.282250363E-01
    0.271566003E-02    0.309516043E-01
    0.284793996E-02    0.341128074E-01
    0.298021990E-02    0.373665243E-01
    0.312367990E-02    0.411338769E-01
    0.326715992E-02    0.450100862E-01
    0.342277996E-02    0.494895279E-01
    0.357837998E-02    0.540965013E-01
    0.374718010E-02    0.594038926E-01
    0.391595997E-02    0.648586601E-01
    0.409903983E-02    0.711116120E-01
    0.428210013E-02    0.775314942E-01
    0.448067999E-02    0.848318562E-01
    0.467923982E-02    0.923143178E-01
    0.489461981E-02    0.100716673E+00
    0.510997977E-02    0.109306082E+00
    0.534360018E-02    0.118775979E+00
    0.557720009E-02    0.128421560E+00
    0.583055988E-02    0.138796747E+00
    0.608394016E-02    0.149314627E+00
    0.635875994E-02    0.160296246E+00
    0.663358020E-02    0.171368048E+00
    0.693166023E-02    0.182565063E+00
    0.722973980E-02    0.193791240E+00
    0.755306007E-02    0.204807281E+00
    0.787635986E-02    0.215797961E+00
    0.822704006E-02    0.226320535E+00
