TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, vertical cut (y=0.5)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 vertical cut"
    0.400272012E-01    0.609094918E+00
    0.434495993E-01    0.616490185E+00
    0.471617989E-01    0.623937845E+00
    0.511882007E-01    0.631449878E+00
    0.555553995E-01    0.639031827E+00
    0.602924004E-01    0.646689653E+00
    0.654300004E-01    0.654438019E+00
    0.710026026E-01    0.662282646E+00
    0.770467967E-01    0.670232356E+00
    0.836028010E-01    0.678301692E+00
    0.907133967E-01    0.686502397E+00
    0.984259993E-01    0.694846094E+00
    0.106791198E+00    0.703344405E+00
    0.115864597E+00    0.712012052E+00
    0.125706002E+00    0.720866442E+00
    0.136380196E+00    0.729916453E+00
    0.147957802E+00    0.739182293E+00
    0.160515398E+00    0.748681724E+00
    0.174135998E+00    0.758426189E+00
    0.188909203E+00    0.768436313E+00
    0.204932004E+00    0.778729439E+00
    0.222312003E+00    0.789323211E+00
    0.241163999E+00    0.800229251E+00
    0.261610001E+00    0.811468005E+00
    0.283785999E+00    0.823048174E+00
    0.307839990E+00    0.834984422E+00
    0.333929986E+00    0.847273767E+00
    0.362228006E+00    0.859913349E+00
    0.392922014E+00    0.872885585E+00
    0.426212013E+00    0.886161327E+00
    0.462321997E+00    0.899682224E+00
    0.501486003E+00    0.913366616E+00
    0.543965995E+00    0.927083075E+00
    0.590041995E+00    0.940659463E+00
    0.640016019E+00    0.953844726E+00
    0.694220007E+00    0.966312110E+00
    0.753014028E+00    0.977632582E+00
    0.816781998E+00    0.987266183E+00
    0.885948002E+00    0.994573832E+00
    0.960968018E+00    0.998779237E+00
ZONE T="FUN3D, grid 3 vertical cut"
    0.361733983E-04    0.415668124E-02
    0.114902999E-03    0.132041750E-01
    0.207524005E-03    0.238475911E-01
    0.316485995E-03    0.363687351E-01
    0.444673991E-03    0.510991849E-01
    0.595480029E-03    0.684261993E-01
    0.772891974E-03    0.887969583E-01
    0.981610036E-03    0.112711705E+00
    0.122715195E-02    0.140687913E+00
    0.151601795E-02    0.173155531E+00
    0.185585197E-02    0.210207298E+00
    0.225563999E-02    0.251137435E+00
    0.272598001E-02    0.293886036E+00
    0.327929994E-02    0.335092247E+00
    0.393023994E-02    0.371488392E+00
    0.469603995E-02    0.401689768E+00
    0.559695996E-02    0.426363945E+00
    0.665683998E-02    0.447015137E+00
    0.790372025E-02    0.465042651E+00
    0.937059987E-02    0.481452256E+00
    0.110963201E-01    0.496891081E+00
    0.131265000E-01    0.511767328E+00
    0.155148804E-01    0.526328683E+00
    0.183246806E-01    0.540726781E+00
    0.216301996E-01    0.555054963E+00
    0.255190004E-01    0.569383144E+00
    0.300939996E-01    0.583757937E+00
    0.354762003E-01    0.598223031E+00
    0.418078005E-01    0.612831116E+00
