 -54.703   1.211  25.000  0.851  0.278  1.002 -16.906 -13.540  14.771  1
 -54.703   1.211  26.000  0.852  0.278  1.003 -16.906 -13.540  13.771  1
 -54.703   1.211  27.000  0.851  0.279  1.003 -16.906 -13.540  12.771  1
 -54.703   1.211  28.000  0.851  0.279  1.003 -16.906 -13.540  11.771  1
 -54.703   2.421   0.000  0.959  0.087  1.005 -17.116 -12.349  39.771  1
 -54.703   2.421   1.000  0.952  0.098  1.004 -17.116 -12.349  38.771  1
 -54.703   2.421   2.000  0.945  0.110  1.003 -17.116 -12.349  37.771  1
 -54.703   2.421   3.000  0.938  0.122  1.002 -17.116 -12.349  36.771  1
 -54.703   2.421   4.000  0.931  0.134  1.002 -17.116 -12.349  35.771  1
 -54.703   2.421   5.000  0.924  0.147  1.001 -17.116 -12.349  34.771  1
 -54.703   2.421   6.000  0.918  0.159  1.001 -17.116 -12.349  33.771  1
 -54.703   2.421   7.000  0.911  0.171  1.002 -17.116 -12.349  32.771  1
 -54.703   2.421   8.000  0.905  0.183  1.001 -17.116 -12.349  31.771  1
 -54.703   2.421   9.000  0.899  0.192  1.000 -17.116 -12.349  30.771  1
 -54.703   2.421  10.000  0.892  0.205  1.000 -17.116 -12.349  29.771  1
 -54.703   2.421  11.000  0.886  0.215  1.000 -17.116 -12.349  28.771  1
 -54.703   2.421  12.000  0.880  0.225  0.999 -17.116 -12.349  27.771  1
 -54.703   2.421  13.000  0.875  0.234  0.999 -17.116 -12.349  26.771  1
 -54.703   2.421  14.000  0.870  0.241  0.999 -17.116 -12.349  25.771  1
 -54.703   2.421  15.000  0.866  0.249  0.999 -17.116 -12.349  24.771  1
 -54.703   2.421  16.000  0.862  0.255  0.999 -17.116 -12.349  23.771  1
 -54.703   2.421  17.000  0.859  0.261  0.999 -17.116 -12.349  22.771  1
 -54.703   2.421  18.000  0.856  0.266  0.999 -17.116 -12.349  21.771  1
 -54.703   2.421  19.000  0.853  0.272  0.999 -17.116 -12.349  20.771  1
